Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-07-02,LSKUSD,4.11,4.11,4.11,4.11,0.0,0.0
2018-07-01,LSKUSD,5,5,4.11,4.11,26.8,114.47
2018-06-30,LSKUSD,5,5,5,5,0.0,0.0
2018-06-29,LSKUSD,5,5.01,5,5,25.61,128.1
2018-06-28,LSKUSD,5.45,5.45,5,5,39.42,203.61
2018-06-27,LSKUSD,6.15,6.15,5.21,5.45,316.17,1732.44
2018-06-26,LSKUSD,5.11,6.15,5.11,6.15,8.19,50.34
2018-06-25,LSKUSD,5.11,5.11,5.11,5.11,0.0,0.0
2018-06-24,LSKUSD,6.2,6.2,5.1,5.11,23.59,122.3
2018-06-23,LSKUSD,5.6,6.2,5.13,6.2,656.68,3576.55
2018-06-22,LSKUSD,6.2,6.23,5.59,5.6,866.22,5128.94
2018-06-21,LSKUSD,6.05,6.25,6.05,6.2,218.65,1356.4
2018-06-20,LSKUSD,7.94,7.94,6.05,6.05,1.4,8.46
2018-06-19,LSKUSD,6.02,7.94,6.02,7.94,27.05,195.94
2018-06-18,LSKUSD,6.4,6.4,6.02,6.02,14.7,88.84
2018-06-17,LSKUSD,6.4,6.4,6.4,6.4,0.0,0.0
2018-06-16,LSKUSD,6.4,6.4,6.4,6.4,0.0,0.0
2018-06-15,LSKUSD,6.4,6.4,6.4,6.4,0.0,0.0
2018-06-14,LSKUSD,6.4,6.4,6.4,6.4,0.0,0.0
2018-06-13,LSKUSD,6.96,6.96,6.4,6.4,148.04,964.69
2018-06-12,LSKUSD,7,7.01,6.96,6.96,14.74,103.11
2018-06-11,LSKUSD,7,7,7,7,44.12,308.84
2018-06-10,LSKUSD,7.4,7.62,7,7,215.1,1560.52
2018-06-09,LSKUSD,8.35,9.36,7.4,7.4,31.51,278.73
2018-06-08,LSKUSD,9.4,9.4,8.35,8.35,0.3831,3.2
2018-06-07,LSKUSD,8.35,9.4,8.35,9.4,1.02,9.6
2018-06-06,LSKUSD,9.5,9.61,8.35,8.35,0.1807,1.62
2018-06-05,LSKUSD,8.35,9.5,8.35,9.5,1.18,11.2
2018-06-04,LSKUSD,8.25,8.35,8.25,8.35,1.6,13.33
2018-06-03,LSKUSD,9.82,9.82,7.34,8.25,21.5,170.42
2018-06-02,LSKUSD,7.33,9.82,7.33,9.82,32.7,291.44
2018-06-01,LSKUSD,7.33,7.33,7.33,7.33,1.98,14.51
2018-05-31,LSKUSD,7.33,7.33,7.33,7.33,0.5297,3.88
2018-05-30,LSKUSD,7.22,7.33,7.22,7.33,1.2,8.8
2018-05-29,LSKUSD,8.21,9.89,7.22,7.22,5.61,43.38
