Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume ETH
2018-01-17,BTGETH,0.1826,0.2134,0.1745,0.1849,1950.32,364.78
2018-01-16,BTGETH,0.2083,0.2104,0.1684,0.1826,2261.24,438.19
2018-01-15,BTGETH,0.2035,0.2603,0.1918,0.2083,1701.67,379.26
2018-01-14,BTGETH,0.2386,0.2649,0.2033,0.2035,2178.92,514.06
2018-01-13,BTGETH,0.1765,0.263,0.17,0.2386,4356.46,899.56
2018-01-12,BTGETH,0.1841,0.1897,0.1728,0.1765,2042.65,363.93
2018-01-11,BTGETH,0.1965,0.1973,0.1737,0.1841,2264.81,412.46
2018-01-10,BTGETH,0.1867,0.2002,0.168,0.1965,2549.7,453.84
2018-01-09,BTGETH,0.2112,0.33,0.1817,0.1867,2754.33,557.13
2018-01-08,BTGETH,0.2218,0.2218,0.1929,0.2112,2441.66,508.45
2018-01-07,BTGETH,0.2522,0.2534,0.2212,0.2218,2041.15,485.61
2018-01-06,BTGETH,0.2421,0.255,0.2256,0.2522,2422.34,588.71
2018-01-05,BTGETH,0.2498,0.2651,0.2257,0.2421,2498.84,606.88
2018-01-04,BTGETH,0.256,0.2604,0.227,0.2498,1773.23,435.21
2018-01-03,BTGETH,0.291,0.2943,0.245,0.256,1888.38,508.6
2018-01-02,BTGETH,0.31,0.3127,0.2656,0.291,1887.23,539.49
2018-01-01,BTGETH,0.3264,0.35,0.3006,0.31,1775.34,560.71
2017-12-31,BTGETH,0.3149,0.332,0.3123,0.3264,1604.32,519.35
2017-12-30,BTGETH,0.3451,0.35,0.3125,0.3149,1762.4,578.17
2017-12-29,BTGETH,0.3443,0.3638,0.3133,0.3451,1384.21,472.39
2017-12-28,BTGETH,0.3639,0.3706,0.3201,0.3443,1391.83,480.84
2017-12-27,BTGETH,0.3593,0.3936,0.35,0.3639,1609.85,588.86
2017-12-26,BTGETH,0.3776,0.3844,0.351,0.3593,1724.44,625.12
2017-12-25,BTGETH,0.3905,0.3905,0.3571,0.3776,1471.06,548.99
2017-12-24,BTGETH,0.3964,0.403,0.3786,0.3905,1256.78,489.6
2017-12-23,BTGETH,0.3895,0.4268,0.3621,0.3964,1168.55,464.12
2017-12-22,BTGETH,0.4325,0.4417,0.3768,0.3895,2275.42,918.48
2017-12-21,BTGETH,0.4965,0.5024,0.4131,0.4325,1825.22,825.19
2017-12-20,BTGETH,0.3907,0.57,0.3847,0.4965,3415.2,1657.59
2017-12-19,BTGETH,0.3896,0.407,0.3573,0.3907,2364.92,902.66
2017-12-18,BTGETH,0.4089,0.4397,0.3758,0.3896,2793.04,1131.58
2017-12-17,BTGETH,0.4099,0.4229,0.3809,0.4089,1517.93,617.41
2017-12-16,BTGETH,0.4242,0.4371,0.3412,0.4099,1425.86,592.12
2017-12-15,BTGETH,0.4422,0.4493,0.405,0.4242,1571.38,666.59
2017-12-14,BTGETH,0.385,0.478,0.3549,0.4422,1393.29,583.59
2017-12-13,BTGETH,0.4224,0.4558,0.3615,0.385,1530.68,623.41
2017-12-12,BTGETH,0.4767,0.4983,0.3785,0.4224,1914.74,872.04
2017-12-11,BTGETH,0.5136,0.6224,0.4767,0.4767,3380.76,1844.03
2017-12-10,BTGETH,0.5015,0.5416,0.4555,0.5136,1990.07,970.37
2017-12-09,BTGETH,0.5374,0.5384,0.4804,0.5015,1791.69,916.91
2017-12-08,BTGETH,0.5211,0.6202,0.5152,0.5374,2842.71,1577.75
2017-12-07,BTGETH,0.602,0.6103,0.5191,0.5211,2785.38,1584.23
2017-12-06,BTGETH,0.6069,0.635,0.5805,0.602,2274.39,1394.14
2017-12-05,BTGETH,0.6668,0.6707,0.5851,0.6069,1486.73,952.8
2017-12-04,BTGETH,0.6572,0.6999,0.652,0.6668,1350.71,904.46
2017-12-03,BTGETH,0.6287,0.7285,0.6163,0.6572,1885.54,1257.55
2017-12-02,BTGETH,0.6536,0.657,0.617,0.6287,1305.32,825.12
2017-12-01,BTGETH,0.6561,0.6934,0.6369,0.6536,1646.02,1077.55
2017-11-30,BTGETH,0.6743,0.6845,0.6,0.6561,2374.9,1535.58
2017-11-29,BTGETH,0.7027,0.7109,0.6227,0.6743,3108.0,2072.96
2017-11-28,BTGETH,0.7585,0.7676,0.695,0.7027,1960.75,1433.85
2017-11-27,BTGETH,0.7824,0.8202,0.7456,0.7585,2588.9,2004.48
2017-11-26,BTGETH,0.7761,0.8074,0.72,0.7824,2717.3,2061.65
2017-11-25,BTGETH,0.8354,0.8565,0.6858,0.7761,4069.63,3178.85
2017-11-24,BTGETH,0.7185,0.9888,0.6909,0.8354,16849.5,14411.08
2017-11-23,BTGETH,0.6341,0.763,0.6309,0.7185,5228.37,3616.36
2017-11-22,BTGETH,0.7302,0.7592,0.62,0.6341,4946.05,3351.03
2017-11-21,BTGETH,0.5013,0.8141,0.344,0.7302,30720.6,19423.36
2017-11-20,BTGETH,0.3293,0.7,0.1724,0.5013,19804.53,6062.46
2017-11-19,BTGETH,0.3553,0.3695,0.3101,0.3293,4399.07,1490.55
2017-11-18,BTGETH,0.3967,0.439,0.341,0.3553,6047.5,2336.71
2017-11-17,BTGETH,0.3527,0.4928,0.3001,0.3967,6359.14,2470.68
2017-11-16,BTGETH,0.4533,0.499,0.3361,0.3527,4918.85,2152.31
2017-11-15,BTGETH,0.4171,0.58,0.38,0.4533,5444.98,2477.82
2017-11-14,BTGETH,0.7735,0.7939,0.3693,0.4171,5657.74,3033.82
2017-11-13,BTGETH,0.997,1.14,0.6395,0.7735,1826.64,1624.53
2017-11-12,BTGETH,1.45,1.95,0.8814,0.997,3473.1,4775.65
2017-11-11,BTGETH,0.8013,2.5,0.6838,1.45,3675.03,4496.22
2017-11-10,BTGETH,0.5031,0.8092,0.4941,0.8013,2421.9,1545.87
2017-11-09,BTGETH,0.4886,0.5108,0.4507,0.5031,1159.9,556.04
2017-11-08,BTGETH,0.5289,0.5671,0.4375,0.4886,1411.39,709.02
2017-11-07,BTGETH,0.5119,0.5434,0.5058,0.5289,849.58,443.97
2017-11-06,BTGETH,0.5584,0.607,0.5014,0.5119,1051.26,573.67
2017-11-05,BTGETH,0.4797,0.6163,0.475,0.5584,1888.54,1004.69
2017-11-04,BTGETH,0.4428,0.502,0.44,0.4797,1348.69,635.94
2017-11-03,BTGETH,0.4556,0.501,0.4308,0.4428,1279.21,579.59
2017-11-02,BTGETH,0.5807,0.5886,0.4337,0.4556,1503.32,740.42
2017-11-01,BTGETH,0.5307,0.6152,0.508,0.5807,1161.98,650.95
2017-10-31,BTGETH,0.4495,0.62,0.4307,0.5307,2328.49,1108.1
2017-10-30,BTGETH,0.4983,0.515,0.4215,0.4495,1870.36,852.61
2017-10-29,BTGETH,0.4215,0.501,0.4063,0.4983,4881.23,2143.17
2017-10-28,BTGETH,0.4446,0.4595,0.3851,0.4215,1809.91,754.15
2017-10-27,BTGETH,0.5215,0.5385,0.427,0.4446,1525.7,709.86
2017-10-26,BTGETH,0.6026,0.654,0.4166,0.5215,1695.69,941.2
2017-10-25,BTGETH,0.6354,0.9491,0.58,0.6026,959.37,645.49
