Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XTZ,Volume USD
2017-07-26,XTZUSD,1.43,1.57,1.4,1.44,152704.05,218575.81
2017-07-25,XTZUSD,1.68,1.71,1.4,1.43,140563.23,217998.96
2017-07-24,XTZUSD,1.77,1.77,1.62,1.68,53194.2,87897.27
2017-07-23,XTZUSD,1.64,2.1,1.62,1.77,33731.91,57610.63
2017-07-22,XTZUSD,1.77,1.81,1.62,1.64,7870.85,13099.17
2017-07-21,XTZUSD,1.69,1.83,1.62,1.77,7835.36,13550.91
2017-07-20,XTZUSD,1.89,2.5,1.39,1.69,38607.43,76950.03
2017-07-19,XTZUSD,1.39,1.9,1.31,1.89,22733.47,34830.68
2017-07-18,XTZUSD,0.9316,1.55,0.9153,1.39,47025.73,47257.25
2017-07-17,XTZUSD,0.8184,0.95,0.7236,0.9316,54989.69,47225.82
2017-07-16,XTZUSD,0.8645,0.899,0.61,0.8184,110555.99,82405.04
2017-07-15,XTZUSD,0.8498,0.899,0.62,0.8645,30549.04,23133.9
2017-07-14,XTZUSD,0.485,0.94,0.38,0.8498,65152.14,31682.13
2017-07-13,XTZUSD,0.8449,1,0.454,0.485,72194.59,37796.72
2017-07-12,XTZUSD,1.11,1.11,0.701,0.8449,11990.91,9541.04
2017-07-11,XTZUSD,1.11,1.11,1.11,1.11,0.0,0.0
2017-07-10,XTZUSD,1.3,1.5,1.07,1.11,10770.46,12759.76
2017-07-09,XTZUSD,1.1,1.55,1.02,1.3,16542.57,20017.53
2017-07-08,XTZUSD,0.9448,4,0.8394,1.1,6258.94,7176.97
2017-07-07,XTZUSD,0.6565,0.9448,0.605,0.9448,25673.08,18590.32
2017-07-06,XTZUSD,0.7175,0.854,0.564,0.6565,40857.67,27689.3
2017-07-05,XTZUSD,0.7894,0.95,0.61,0.7175,23972.1,19410.73
2017-07-04,XTZUSD,0.9278,0.9904,0.6,0.7894,35433.03,31303.96
