Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2018-01-25,REPETH,0.08455,0.08722,0.08232,0.08431,732.92,61.86
2018-01-24,REPETH,0.08974,0.092,0.08455,0.08455,3028.88,267.04
2018-01-23,REPETH,0.08441,0.09377,0.08334,0.08974,2559.49,224.45
2018-01-22,REPETH,0.08375,0.08487,0.07999,0.08441,3246.14,267.96
2018-01-21,REPETH,0.08399,0.09214,0.07975,0.08375,4731.2,410.45
2018-01-20,REPETH,0.07519,0.086,0.07243,0.08399,3150.6,249.83
2018-01-19,REPETH,0.06297,0.07877,0.0622,0.07519,5200.05,367.83
2018-01-18,REPETH,0.06417,0.06595,0.06123,0.06297,12180.59,768.72
2018-01-17,REPETH,0.06236,0.06543,0.059,0.06417,14026.21,857.66
2018-01-16,REPETH,0.07126,0.07217,0.0591,0.06236,4580.47,298.73
2018-01-15,REPETH,0.06954,0.0769,0.06696,0.07126,4458.49,315.46
2018-01-14,REPETH,0.07668,0.07668,0.06721,0.06954,4829.48,334.56
2018-01-13,REPETH,0.08335,0.08442,0.0712,0.07668,2833.11,218.46
2018-01-12,REPETH,0.08761,0.098,0.08335,0.08335,5540.07,501.73
2018-01-11,REPETH,0.08256,0.104,0.06905,0.08761,24803.11,2162.67
2018-01-10,REPETH,0.06964,0.09951,0.057,0.08256,14525.39,1071.12
2018-01-09,REPETH,0.088,0.09389,0.06791,0.06964,6090.32,505.61
2018-01-08,REPETH,0.07026,0.088,0.06191,0.088,11903.04,903.63
2018-01-07,REPETH,0.0765,0.0781,0.06967,0.07026,2904.99,213.6
2018-01-06,REPETH,0.07416,0.07929,0.07026,0.0765,2136.43,162.28
2018-01-05,REPETH,0.078,0.0905,0.07352,0.07416,5018.7,409.28
2018-01-04,REPETH,0.08162,0.08295,0.07406,0.078,2961.01,233.88
2018-01-03,REPETH,0.09226,0.09226,0.079,0.08162,3732.79,323.84
2018-01-02,REPETH,0.09951,0.1009,0.08447,0.09226,4196.86,392.87
2018-01-01,REPETH,0.09415,0.09999,0.09085,0.09951,1919.03,184.2
2017-12-31,REPETH,0.09294,0.096,0.09065,0.09415,613.82,57.51
2017-12-30,REPETH,0.1031,0.1032,0.09083,0.09294,1443.23,135.32
