Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2018-03-24,TRXETH,7.71e-05,9.92e-05,7.6e-05,9.43e-05,22115000.0,1969.64
2018-03-23,TRXETH,7.04e-05,7.74e-05,6.83e-05,7.71e-05,8422000.0,605.05
2018-03-22,TRXETH,6.62e-05,7.07e-05,6.52e-05,7.04e-05,5347000.0,360.43
2018-03-21,TRXETH,6.88e-05,7.17e-05,6.1e-05,6.62e-05,11196000.0,757.78
2018-03-20,TRXETH,5.9e-05,7.28e-05,5.89e-05,6.88e-05,10559000.0,680.62
2018-03-19,TRXETH,5.4e-05,6.14e-05,5.15e-05,5.9e-05,11613000.0,666.95
2018-03-18,TRXETH,5.13e-05,5.48e-05,5.02e-05,5.4e-05,10426000.0,537.78
2018-03-17,TRXETH,5.03e-05,5.14e-05,4.91e-05,5.13e-05,3633000.0,181.62
2018-03-16,TRXETH,4.97e-05,5.12e-05,4.81e-05,5.03e-05,4321000.0,214.9
2018-03-15,TRXETH,5.08e-05,5.11e-05,4.71e-05,4.97e-05,2508000.0,124.66
2018-03-14,TRXETH,5.24e-05,5.24e-05,4.98e-05,5.08e-05,2215000.0,113.4
2018-03-13,TRXETH,5.18e-05,5.27e-05,5.01e-05,5.24e-05,3544000.0,182.57
2018-03-12,TRXETH,5.38e-05,5.4e-05,5.08e-05,5.18e-05,1884000.0,99.1
2018-03-11,TRXETH,5.12e-05,5.43e-05,5.0e-05,5.38e-05,3996000.0,207.15
2018-03-10,TRXETH,5.1e-05,5.3e-05,4.88e-05,5.12e-05,7515000.0,384.26
2018-03-09,TRXETH,5.21e-05,5.25e-05,4.71e-05,5.1e-05,9089000.0,452.68
2018-03-08,TRXETH,5.18e-05,5.34e-05,5.0e-05,5.21e-05,9643000.0,495.69
2018-03-07,TRXETH,5.35e-05,5.55e-05,5.05e-05,5.18e-05,7853000.0,415.66
2018-03-06,TRXETH,5.49e-05,5.63e-05,5.2e-05,5.35e-05,5028000.0,273.55
2018-03-05,TRXETH,5.55e-05,5.65e-05,5.36e-05,5.49e-05,4802000.0,263.67
2018-03-04,TRXETH,5.72e-05,5.82e-05,5.46e-05,5.55e-05,5831000.0,328.32
2018-03-03,TRXETH,6.18e-05,6.18e-05,5.54e-05,5.72e-05,8607000.0,501.38
2018-03-02,TRXETH,5.59e-05,6.47e-05,5.41e-05,6.18e-05,17295000.0,1030.72
2018-03-01,TRXETH,5.07e-05,5.69e-05,4.53e-05,5.59e-05,10063000.0,524.09
2018-02-28,TRXETH,4.85e-05,5.42e-05,4.73e-05,5.07e-05,8308000.0,415.64
2018-02-27,TRXETH,4.84e-05,5.03e-05,4.5e-05,4.85e-05,6273000.0,299.87
2018-02-26,TRXETH,4.73e-05,4.88e-05,4.53e-05,4.84e-05,6933000.0,328.3
2018-02-25,TRXETH,4.85e-05,4.89e-05,4.7e-05,4.73e-05,7049000.0,338.78
2018-02-24,TRXETH,5.01e-05,5.29e-05,4.81e-05,4.85e-05,12167000.0,608.53
2018-02-23,TRXETH,4.99e-05,5.05e-05,4.73e-05,5.01e-05,11596000.0,567.41
2018-02-22,TRXETH,5.29e-05,5.41e-05,4.86e-05,4.99e-05,15112000.0,772.25
2018-02-21,TRXETH,5.27e-05,5.43e-05,5.06e-05,5.29e-05,17737000.0,920.8
2018-02-20,TRXETH,5.47e-05,5.54e-05,5.19e-05,5.27e-05,8700000.0,464.35
2018-02-19,TRXETH,5.42e-05,5.57e-05,5.32e-05,5.47e-05,5821000.0,318.56
2018-02-18,TRXETH,5.65e-05,5.68e-05,5.26e-05,5.42e-05,5979000.0,326.14
2018-02-17,TRXETH,5.63e-05,5.75e-05,5.43e-05,5.65e-05,6872000.0,381.4
2018-02-16,TRXETH,5.02e-05,5.78e-05,5.02e-05,5.63e-05,15118000.0,812.15
2018-02-15,TRXETH,5.01e-05,5.12e-05,4.88e-05,5.02e-05,4346000.0,216.83
2018-02-14,TRXETH,5.13e-05,5.24e-05,4.92e-05,5.01e-05,7834000.0,398.28
2018-02-13,TRXETH,5.32e-05,5.38e-05,5.06e-05,5.13e-05,5217000.0,270.8
2018-02-12,TRXETH,5.16e-05,5.54e-05,5.16e-05,5.32e-05,5851000.0,312.92
2018-02-11,TRXETH,5.69e-05,5.7e-05,5.03e-05,5.16e-05,9434000.0,495.76
2018-02-10,TRXETH,5.32e-05,6.18e-05,5.28e-05,5.69e-05,17366000.0,998.95
2018-02-09,TRXETH,4.66e-05,5.38e-05,4.46e-05,5.32e-05,11275000.0,560.64
2018-02-08,TRXETH,4.33e-05,4.8e-05,4.31e-05,4.66e-05,5931000.0,271.98
2018-02-07,TRXETH,4.61e-05,4.99e-05,4.32e-05,4.33e-05,9769000.0,444.25
2018-02-06,TRXETH,4.33e-05,4.74e-05,4.13e-05,4.61e-05,17419000.0,764.28
2018-02-05,TRXETH,4.58e-05,4.67e-05,4.27e-05,4.33e-05,12016000.0,535.56
2018-02-04,TRXETH,4.73e-05,4.86e-05,4.45e-05,4.58e-05,9980000.0,464.49
2018-02-03,TRXETH,4.51e-05,4.95e-05,4.21e-05,4.73e-05,12024000.0,549.78
2018-02-02,TRXETH,4.51e-05,4.85e-05,3.9e-05,4.51e-05,20984000.0,911.78
2018-02-01,TRXETH,4.92e-05,5.3e-05,3.99e-05,4.51e-05,22524000.0,1035.4
2018-01-31,TRXETH,5.06e-05,5.14e-05,4.6e-05,4.92e-05,16276000.0,787.42
2018-01-30,TRXETH,5.47e-05,5.5e-05,4.85e-05,5.06e-05,9546000.0,488.95
2018-01-29,TRXETH,5.32e-05,5.88e-05,5.25e-05,5.47e-05,7370000.0,402.73
2018-01-28,TRXETH,6.23e-05,6.3e-05,5.1e-05,5.32e-05,7902000.0,450.01
2018-01-27,TRXETH,6.29e-05,6.69e-05,6.0e-05,6.23e-05,7765000.0,488.92
2018-01-26,TRXETH,6.53e-05,6.7e-05,6.01e-05,6.29e-05,12247000.0,775.15
2018-01-25,TRXETH,6.78e-05,6.97e-05,6.0e-05,6.53e-05,5959000.0,393.3
2018-01-24,TRXETH,7.03e-05,7.38e-05,6.5e-05,6.78e-05,12598000.0,874.47
2018-01-23,TRXETH,7.18e-05,7.29e-05,6.5e-05,7.03e-05,13549000.0,949.12
2018-01-22,TRXETH,6.89e-05,7.7e-05,6.4e-05,7.18e-05,16136000.0,1144.74
2018-01-21,TRXETH,7.52e-05,7.7e-05,6.59e-05,6.89e-05,15758000.0,1121.88
2018-01-20,TRXETH,7.85e-05,8.49e-05,7.11e-05,7.52e-05,8322000.0,627.51
2018-01-19,TRXETH,8.67e-05,9.1e-05,7.67e-05,7.85e-05,6589000.0,549.53
2018-01-18,TRXETH,8.4e-05,0.0001098,7.89e-05,8.67e-05,15130000.0,1370.05
2018-01-17,TRXETH,5.44e-05,0.00011,5.32e-05,8.4e-05,18436000.0,1370.06
2018-01-16,TRXETH,5.98e-05,6.41e-05,4.63e-05,5.44e-05,13420000.0,738.54
2018-01-15,TRXETH,6.3e-05,7.96e-05,4.8e-05,5.98e-05,17815000.0,1103.13
2018-01-14,TRXETH,7.46e-05,8.29e-05,6.02e-05,6.3e-05,11724000.0,812.73
2018-01-13,TRXETH,8.68e-05,9.48e-05,7.05e-05,7.46e-05,13356000.0,1093.63
2018-01-12,TRXETH,9.57e-05,9.74e-05,8.39e-05,8.68e-05,11311000.0,1023.53
2018-01-11,TRXETH,0.0001073,0.0001082,8.05e-05,9.57e-05,15003000.0,1399.99
2018-01-10,TRXETH,9.79e-05,0.000119,7.17e-05,0.0001073,24750000.0,2285.61
2018-01-09,TRXETH,0.0001318,0.0001339,7.8e-05,9.79e-05,17008000.0,1822.31
2018-01-08,TRXETH,0.0001945,0.0001998,0.0001254,0.0001318,12871000.0,1847.61
2018-01-07,TRXETH,0.0001944,0.0002246,0.0001301,0.0001945,23080000.0,3741.06
2018-01-06,TRXETH,0.000328,0.000355,0.0001391,0.0001944,15846000.0,3329.32
2018-01-05,TRXETH,0.0002725,0.000415,0.0002331,0.000328,13480000.0,4272.33
2018-01-04,TRXETH,0.000145,0.0004749,0.0001316,0.0002725,21473000.0,5219.9
2018-01-03,TRXETH,0.0001179,0.00015,0.000105,0.000145,10560000.0,1289.78
2018-01-02,TRXETH,7.76e-05,0.000146,7.0e-05,0.0001179,17528000.0,1688.58
2018-01-01,TRXETH,6.48e-05,8.13e-05,6.0e-05,7.76e-05,8995000.0,630.53
2017-12-31,TRXETH,5.49e-05,6.9e-05,5.11e-05,6.48e-05,6155000.0,357.77
2017-12-30,TRXETH,4.79e-05,5.86e-05,4.47e-05,5.49e-05,11770000.0,590.68
2017-12-29,TRXETH,5.6e-05,6.0e-05,4.64e-05,4.79e-05,15202000.0,762.12
2017-12-28,TRXETH,4.84e-05,5.64e-05,4.32e-05,5.6e-05,11944000.0,577.41
2017-12-27,TRXETH,4.8e-05,5.42e-05,4.6e-05,4.84e-05,8675000.0,431.49
2017-12-26,TRXETH,4.55e-05,7.0e-05,4.29e-05,4.8e-05,17003000.0,887.12
2017-12-25,TRXETH,5.43e-05,5.9e-05,4.23e-05,4.55e-05,12383000.0,621.84
2017-12-24,TRXETH,7.09e-05,7.3e-05,5.22e-05,5.43e-05,17330000.0,1037.92
2017-12-23,TRXETH,5.33e-05,7.82e-05,4.95e-05,7.09e-05,20029000.0,1214.77
2017-12-22,TRXETH,5.86e-05,6.28e-05,4.06e-05,5.33e-05,19954000.0,1073.98
2017-12-21,TRXETH,6.3e-05,8.81e-05,5.43e-05,5.86e-05,20842000.0,1393.16
2017-12-20,TRXETH,5.18e-05,6.3e-05,3.64e-05,6.3e-05,16891000.0,793.36
2017-12-19,TRXETH,5.73e-05,6.5e-05,4.79e-05,5.18e-05,11370000.0,597.04
2017-12-18,TRXETH,4.81e-05,7.06e-05,4.4e-05,5.73e-05,14135000.0,822.49
2017-12-17,TRXETH,5.34e-05,5.88e-05,4.45e-05,4.81e-05,14950000.0,752.3
