Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-02-17,NEOUSDT,7.89,8.75,7.87,8.38,1219648.42,10202953.78
2019-02-16,NEOUSDT,8.09,8.29,7.85,7.89,507677.98,4103205.48
2019-02-15,NEOUSDT,7.89,8.4,7.83,8.09,508257.63,4107907.66
2019-02-14,NEOUSDT,8.22,8.26,7.71,7.89,618212.59,4913860.69
2019-02-13,NEOUSDT,8.19,8.49,8.05,8.22,616580.8,5096083.68
2019-02-12,NEOUSDT,8.13,8.44,7.84,8.19,1040780.87,8553345.69
2019-02-11,NEOUSDT,7.97,8.35,7.65,8.13,647602.08,5167739.67
2019-02-10,NEOUSDT,7.66,8.14,7.46,7.97,617877.83,4773111.43
2019-02-09,NEOUSDT,7.54,7.76,7.44,7.66,377007.13,2860377.7
2019-02-08,NEOUSDT,6.93,7.86,6.84,7.54,648201.86,4783441.56
2019-02-07,NEOUSDT,6.87,7,6.82,6.93,168117.01,1160078.14
2019-02-06,NEOUSDT,6.99,7.04,6.7,6.87,345982.24,2364709.36
2019-02-05,NEOUSDT,7.05,7.15,6.93,6.99,208828.73,1470688.92
2019-02-04,NEOUSDT,7.02,7.16,6.97,7.05,214260.45,1516839.21
2019-02-03,NEOUSDT,7.24,7.26,6.92,7.02,272646.89,1925417.55
2019-02-02,NEOUSDT,6.97,7.26,6.83,7.24,297707.72,2104762.85
2019-02-01,NEOUSDT,6.86,7.05,6.72,6.97,244348.49,1683698.53
2019-01-31,NEOUSDT,7.05,7.16,6.75,6.86,265374.03,1841721.33
2019-01-30,NEOUSDT,6.98,7.13,6.77,7.05,375031.73,2618811.32
2019-01-29,NEOUSDT,6.92,7.13,6.67,6.98,421942.42,2919408.05
2019-01-28,NEOUSDT,7.34,7.37,6.72,6.92,608947.93,4233596.22
2019-01-27,NEOUSDT,7.44,7.56,7.15,7.34,371436.6,2734697.23
2019-01-26,NEOUSDT,7.49,7.65,7.41,7.44,213123.37,1603183.98
2019-01-25,NEOUSDT,7.64,7.65,7.39,7.49,241268.26,1809833.53
2019-01-24,NEOUSDT,7.46,7.67,7.37,7.64,284521.76,2138695.59
2019-01-23,NEOUSDT,7.6,7.63,7.37,7.46,404950.37,3043095.95
