Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2017-11-14,TRXBTC,3.4e-07,4.3e-07,3.1e-07,4.0e-07,9930000.0,3.83
2017-11-13,TRXBTC,3.2e-07,3.6e-07,2.9e-07,3.4e-07,6268000.0,2.07
2017-11-12,TRXBTC,2.9e-07,3.2e-07,2.7e-07,3.2e-07,1733000.0,0.5209
2017-11-11,TRXBTC,3.3e-07,3.3e-07,2.8e-07,2.9e-07,2492000.0,0.7587
2017-11-10,TRXBTC,3.1e-07,3.7e-07,3.0e-07,3.3e-07,3978000.0,1.24
2017-11-09,TRXBTC,3.2e-07,3.7e-07,3.1e-07,3.1e-07,3970000.0,1.3
2017-11-08,TRXBTC,3.3e-07,3.5e-07,3.0e-07,3.2e-07,5583000.0,1.82
2017-11-07,TRXBTC,3.0e-07,3.3e-07,3.0e-07,3.3e-07,997000.0,0.3189
2017-11-06,TRXBTC,3.3e-07,3.3e-07,3.0e-07,3.0e-07,1225000.0,0.3882
2017-11-05,TRXBTC,3.0e-07,3.3e-07,2.8e-07,3.3e-07,2166000.0,0.6623
2017-11-04,TRXBTC,3.2e-07,3.5e-07,2.9e-07,3.0e-07,2754000.0,0.8748
2017-11-03,TRXBTC,3.4e-07,4.1e-07,2.8e-07,3.2e-07,4798000.0,1.59
2017-11-02,TRXBTC,3.6e-07,3.9e-07,2.7e-07,3.4e-07,6338000.0,2.15
2017-11-01,TRXBTC,4.2e-07,4.4e-07,3.5e-07,3.6e-07,7631000.0,3.04
2017-10-31,TRXBTC,4.2e-07,5.4e-07,4.0e-07,4.2e-07,13077000.0,6.06
2017-10-30,TRXBTC,4.8e-07,5.4e-07,3.8e-07,4.2e-07,11622000.0,5.2
2017-10-29,TRXBTC,5.2e-07,5.7e-07,4.8e-07,4.8e-07,8406000.0,4.46
2017-10-28,TRXBTC,5.3e-07,5.5e-07,4.9e-07,5.2e-07,7668000.0,4.0
2017-10-27,TRXBTC,5.1e-07,5.7e-07,4.5e-07,5.3e-07,16595000.0,8.59
