Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-13 12-PM,ZECUSD,168,168.39,167.31,167.31,0.5183,87.07
2018-08-13 11-AM,ZECUSD,169.11,169.11,167.65,168,0.7932,133.25
2018-08-13 10-AM,ZECUSD,168.02,169.11,167.27,169.11,1.29,216.0
2018-08-13 09-AM,ZECUSD,168.27,169,168.02,168.02,0.07596,12.77
2018-08-13 08-AM,ZECUSD,168.01,169.83,168.01,168.27,1.66,280.92
2018-08-13 07-AM,ZECUSD,169.23,169.23,168,168.01,0.3216,54.03
2018-08-13 06-AM,ZECUSD,169.23,169.23,168.03,169.23,0.1134,19.19
2018-08-13 05-AM,ZECUSD,169,169.23,168,169.23,0.8118,136.93
2018-08-13 04-AM,ZECUSD,169.02,170,169,169,0.2213,37.56
2018-08-13 03-AM,ZECUSD,169,169.03,169,169.02,0.3043,51.42
2018-08-13 02-AM,ZECUSD,169,169.99,169,169,0.3215,54.34
2018-08-13 01-AM,ZECUSD,169,169.92,169,169,0.03186,5.41
2018-08-13 12-AM,ZECUSD,169,169,169,169,0.01249,2.11
2018-08-12 11-PM,ZECUSD,169,169,169,169,0.5941,100.4
2018-08-12 10-PM,ZECUSD,169,169.94,169,169,0.1073,18.13
2018-08-12 09-PM,ZECUSD,169.5,169.5,169,169,0.2233,37.74
2018-08-12 08-PM,ZECUSD,169,169.8,168,169.5,6.15,1042.65
2018-08-12 07-PM,ZECUSD,172,172,169,169,0.1736,29.45
2018-08-12 06-PM,ZECUSD,173.99,173.99,168.03,172,4.62,788.34
2018-08-12 05-PM,ZECUSD,170,173.99,170,173.99,0.3503,60.11
2018-08-12 04-PM,ZECUSD,171.41,171.41,167,170,0.2837,48.13
2018-08-12 03-PM,ZECUSD,167.06,171.73,167.06,171.41,0.08083,13.87
2018-08-12 02-PM,ZECUSD,172.87,172.87,167.06,167.06,0.3711,62.56
2018-08-12 01-PM,ZECUSD,168.88,172.9,168.88,172.87,0.254,43.08
2018-08-12 12-PM,ZECUSD,170.5,173,168.84,168.88,1.45,246.49
2018-08-12 11-AM,ZECUSD,173.9,173.9,170,170.5,0.2158,36.73
2018-08-12 10-AM,ZECUSD,170,173.94,170,173.9,0.09384,16.28
2018-08-12 09-AM,ZECUSD,174.02,174.02,170,170,2.25,390.07
2018-08-12 08-AM,ZECUSD,172.05,174.02,171,174.02,5.08,875.67
2018-08-12 07-AM,ZECUSD,174.02,175.37,171.08,172.05,0.8282,144.38
2018-08-12 06-AM,ZECUSD,171,174.93,171,174.02,1.98,343.87
2018-08-12 05-AM,ZECUSD,170.55,175,170.55,171,8.03,1394.76
2018-08-12 04-AM,ZECUSD,170.37,170.55,166.46,170.55,2.46,419.23
2018-08-12 03-AM,ZECUSD,170,170.37,166.46,170.37,0.2719,46.29
2018-08-12 02-AM,ZECUSD,166,170,166,170,0.8546,145.18
2018-08-12 01-AM,ZECUSD,168.47,170,164.01,166,2.02,341.34
2018-08-12 12-AM,ZECUSD,169.5,169.5,167.13,168.47,0.1701,28.59
2018-08-11 11-PM,ZECUSD,173.9,173.9,168.37,169.5,0.1316,22.35
2018-08-11 10-PM,ZECUSD,170,173.9,167.13,173.9,3.33,566.25
2018-08-11 09-PM,ZECUSD,167.13,170.08,167.13,170,0.7695,130.74
2018-08-11 08-PM,ZECUSD,167.61,167.61,165.4,167.13,0.09083,15.16
2018-08-11 07-PM,ZECUSD,170.1,170.1,167.61,167.61,3.12,523.58
2018-08-11 06-PM,ZECUSD,173.94,173.94,170.1,170.1,5.24,908.37
2018-08-11 05-PM,ZECUSD,165.56,173.94,165,173.94,4.99,842.86
2018-08-11 04-PM,ZECUSD,162.03,166.92,161.31,165.56,4.08,673.73
2018-08-11 03-PM,ZECUSD,162.05,166.92,162,162.03,4.79,778.33
2018-08-11 02-PM,ZECUSD,165,166.92,162.05,162.05,1.02,165.86
2018-08-11 01-PM,ZECUSD,164.19,170,163.2,165,2.09,349.47
2018-08-11 12-PM,ZECUSD,164.67,170,164.19,164.19,7.11,1185.94
2018-08-11 11-AM,ZECUSD,169.4,169.4,164.67,164.67,2.61,429.7
2018-08-11 10-AM,ZECUSD,163.85,174.02,163.85,169.4,7.54,1278.02
2018-08-11 09-AM,ZECUSD,165.02,173.94,163.8,163.85,6.94,1157.55
2018-08-11 08-AM,ZECUSD,166.01,174.02,165,165.02,2.12,356.58
2018-08-11 07-AM,ZECUSD,168.66,175,165,166.01,11.43,1917.04
2018-08-11 06-AM,ZECUSD,178.08,178.08,167.87,168.66,5.95,1046.33
2018-08-11 05-AM,ZECUSD,169,178.26,165.6,178.08,6.51,1118.46
2018-08-11 04-AM,ZECUSD,171.99,171.99,169,169,0.03383,5.72
2018-08-11 03-AM,ZECUSD,168.23,172.05,168.23,171.99,0.3806,64.8
2018-08-11 02-AM,ZECUSD,177.68,177.68,168.13,168.23,1.59,267.74
2018-08-11 01-AM,ZECUSD,177,177.68,176.91,177.68,2.77,490.28
2018-08-11 12-AM,ZECUSD,170.27,177,167.94,177,1.0,174.42
2018-08-10 11-PM,ZECUSD,175,177,167.62,170.27,3.56,621.51
2018-08-10 10-PM,ZECUSD,167.4,175.88,167.4,175,5.3,922.63
2018-08-10 09-PM,ZECUSD,170.76,177.44,166.45,167.4,21.79,3688.2
2018-08-10 08-PM,ZECUSD,177.93,177.93,170.76,170.76,3.11,530.79
2018-08-10 07-PM,ZECUSD,173.26,177.93,173.23,177.93,0.8553,152.13
2018-08-10 06-PM,ZECUSD,173.21,173.26,173.21,173.26,0.01002,1.74
2018-08-10 05-PM,ZECUSD,180,180,173.21,173.21,0.5108,88.5
2018-08-10 04-PM,ZECUSD,175,180.48,175,180,0.2615,46.08
2018-08-10 03-PM,ZECUSD,177,180.53,173.15,175,6.66,1168.0
2018-08-10 02-PM,ZECUSD,175.5,177,175.5,177,0.5141,90.74
2018-08-10 01-PM,ZECUSD,180.53,180.53,175.5,175.5,0.5648,99.64
2018-08-10 12-PM,ZECUSD,173.11,191.05,173.11,180.53,17.47,3209.44
2018-08-10 11-AM,ZECUSD,174.79,175.89,172.78,173.11,10.16,1766.66
2018-08-10 10-AM,ZECUSD,174.36,176.49,173.47,174.79,9.61,1681.34
2018-08-10 09-AM,ZECUSD,177.57,177.57,174.05,174.36,5.54,974.21
