Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ILS
2016-06-18,LTCILS,20,20,20,20,0.0,0.0
2016-06-17,LTCILS,20,20,20,20,0.0,0.0
2016-06-16,LTCILS,19.99,20,19.99,20,16.4,327.9
2016-06-15,LTCILS,18,18,18,18,0.0,0.0
2016-06-14,LTCILS,18,18,18,18,0.0,0.0
2016-06-13,LTCILS,18,18,18,18,0.0,0.0
2016-06-12,LTCILS,18,18,18,18,0.6794,12.23
2016-06-11,LTCILS,18,18,18,18,0.0,0.0
2016-06-10,LTCILS,18,18,18,18,0.0,0.0
2016-06-09,LTCILS,18,18,18,18,0.0,0.0
2016-06-08,LTCILS,18,18,18,18,0.0,0.0
2016-06-07,LTCILS,18,18,18,18,0.0,0.0
2016-06-06,LTCILS,16.98,18,16.98,18,47.5,821.2
2016-06-05,LTCILS,16.98,17,11.04,11.04,40.0,560.6
2016-06-04,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-06-03,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-06-02,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-06-01,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-31,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-30,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-29,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-28,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-27,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-26,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-25,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-24,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-23,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-22,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-21,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-20,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-19,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-18,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-17,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-16,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-15,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-14,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-13,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-12,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-11,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-10,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-09,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-08,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-07,LTCILS,11.01,11.01,11.01,11.01,1.0,11.01
2016-05-06,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-05,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-04,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-03,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-02,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-05-01,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-30,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-29,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-28,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-27,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-26,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-25,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-24,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-23,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-22,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-21,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-20,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-19,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-18,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-17,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-16,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-15,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-14,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-13,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-12,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-11,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-10,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-09,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-08,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-07,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-06,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-05,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-04,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-03,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-02,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-04-01,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-31,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-30,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-29,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-28,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-27,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-26,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-25,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-24,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-23,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-22,LTCILS,11.01,11.01,11.01,11.01,0.0,0.0
2016-03-21,LTCILS,11.01,11.01,11.01,11.01,9.54,105.05
2016-03-20,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-19,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-18,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-17,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-16,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-15,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-14,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-13,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-12,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-11,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-10,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-09,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-08,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-07,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-06,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-05,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-04,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-03,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-02,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-03-01,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-29,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-28,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-27,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-26,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-25,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-24,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-23,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-22,LTCILS,13.28,13.28,13.28,13.28,0.0,0.0
2016-02-21,LTCILS,13.28,13.28,13.28,13.28,11.07,146.94
2016-02-20,LTCILS,14,16,14,16,10.0,157.75
2016-02-19,LTCILS,12,12,12,12,0.0,0.0
2016-02-18,LTCILS,12,12,12,12,0.0,0.0
2016-02-17,LTCILS,12,12,12,12,0.0,0.0
2016-02-16,LTCILS,12,12,12,12,10.0,120.0
2016-02-15,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-14,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-13,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-12,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-11,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-10,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-09,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-08,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-07,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-06,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-05,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-04,LTCILS,12.01,12.01,12.01,12.01,2.46,29.59
2016-02-03,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-02,LTCILS,12.01,12.01,12.01,12.01,0.0,0.0
2016-02-01,LTCILS,12.01,12.01,12.01,12.01,10.0,120.1
2016-01-31,LTCILS,15,15,15,15,0.0,0.0
2016-01-30,LTCILS,15,15,15,15,0.0,0.0
2016-01-29,LTCILS,15,15,15,15,0.0,0.0
2016-01-28,LTCILS,15,15,15,15,0.0,0.0
2016-01-27,LTCILS,15,15,15,15,0.0,0.0
2016-01-26,LTCILS,15,15,15,15,0.0,0.0
2016-01-25,LTCILS,15,15,15,15,0.0,0.0
2016-01-24,LTCILS,15,15,15,15,0.0,0.0
2016-01-23,LTCILS,15,15,15,15,0.0,0.0
2016-01-22,LTCILS,22,22,15,15,40.0,750.0
2016-01-21,LTCILS,10,10,10,10,0.0,0.0
2016-01-20,LTCILS,10,10,10,10,0.0,0.0
2016-01-19,LTCILS,10,10,10,10,0.0,0.0
2016-01-18,LTCILS,10,10,10,10,0.0,0.0
2016-01-17,LTCILS,10,10,10,10,0.0,0.0
2016-01-16,LTCILS,10,10,10,10,0.0,0.0
2016-01-15,LTCILS,10,10,10,10,0.0,0.0
2016-01-14,LTCILS,10,10,10,10,0.0,0.0
2016-01-13,LTCILS,10,10,10,10,0.0,0.0
2016-01-12,LTCILS,10,10,10,10,0.0,0.0
2016-01-11,LTCILS,10,10,10,10,0.0,0.0
2016-01-10,LTCILS,10,10,10,10,0.0,0.0
2016-01-09,LTCILS,10,10,10,10,0.0,0.0
2016-01-08,LTCILS,10,10,10,10,55.0,550.0
2016-01-07,LTCILS,10,10,10,10,0.0,0.0
2016-01-06,LTCILS,10,10,10,10,0.0,0.0
2016-01-05,LTCILS,10,10,10,10,0.0,0.0
2016-01-04,LTCILS,10,10,10,10,0.0,0.0
2016-01-03,LTCILS,10,10,10,10,0.0,0.0
2016-01-02,LTCILS,10,10,10,10,0.0,0.0
2016-01-01,LTCILS,10,10,10,10,0.0,0.0
2015-12-31,LTCILS,10,10,10,10,0.0,0.0
2015-12-30,LTCILS,10,10,10,10,0.0,0.0
2015-12-29,LTCILS,10,10,10,10,0.0,0.0
2015-12-28,LTCILS,10,10,10,10,0.0,0.0
2015-12-27,LTCILS,10,10,10,10,0.0,0.0
2015-12-26,LTCILS,10,10,10,10,0.0,0.0
2015-12-25,LTCILS,10,10,10,10,0.0,0.0
2015-12-24,LTCILS,10,10,10,10,0.0,0.0
2015-12-23,LTCILS,10,10,10,10,0.0,0.0
2015-12-22,LTCILS,10,10,10,10,1.2,12.01
2015-12-21,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-20,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-19,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-18,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-17,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-16,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-15,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-14,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-13,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-12,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-11,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-10,LTCILS,11.5,11.5,11.5,11.5,0.0,0.0
2015-12-09,LTCILS,15,40,11.5,11.5,128.76,2514.63
2015-12-08,LTCILS,15,15,15,15,0.0,0.0
2015-12-07,LTCILS,15,15,15,15,0.0,0.0
2015-12-06,LTCILS,14.99,15,14.99,15,58.02,870.2
2015-12-05,LTCILS,12,12,12,12,0.0,0.0
2015-12-04,LTCILS,12,12,12,12,0.0,0.0
2015-12-03,LTCILS,12,12,12,12,0.0,0.0
2015-12-02,LTCILS,12,12,12,12,0.0,0.0
2015-12-01,LTCILS,12,12,12,12,0.0,0.0
2015-11-30,LTCILS,12,12,12,12,0.0,0.0
2015-11-29,LTCILS,12,12,12,12,0.0,0.0
2015-11-28,LTCILS,12,12,12,12,0.0,0.0
2015-11-27,LTCILS,12,12,12,12,0.0,0.0
2015-11-26,LTCILS,12,12,12,12,0.0,0.0
2015-11-25,LTCILS,12,12,12,12,0.0,0.0
