Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume GBP
2018-04-13,BCHGBP,500,545,419,535,14.99,7684.87
2018-04-12,BCHGBP,455,500,413,500,18.77,8663.97
2018-04-11,BCHGBP,433,465,433,455,18.87,8575.16
2018-04-10,BCHGBP,433,433,433,433,0.0,0.0
2018-04-09,BCHGBP,450,460,426,433,7.43,3406.47
2018-04-08,BCHGBP,450,450,450,450,1.59,715.05
2018-04-07,BCHGBP,425,450,425,450,12.55,5541.7
2018-04-06,BCHGBP,499,499,425,425,36.92,16386.23
2018-04-05,BCHGBP,460,499,453,499,25.3,12128.26
2018-04-04,BCHGBP,485,520,460,460,17.01,8404.25
2018-04-03,BCHGBP,469,591,469,485,11.42,6014.05
2018-04-02,BCHGBP,491,491,469,469,5.73,2692.49
2018-04-01,BCHGBP,505,740,450,491,36.16,18427.44
2018-03-31,BCHGBP,495,532,495,505,27.35,14118.58
2018-03-30,BCHGBP,520,790,490,495,56.58,32203.28
2018-03-29,BCHGBP,584,610,420,520,104.75,54880.98
2018-03-28,BCHGBP,580,605,580,584,4.2,2536.8
2018-03-27,BCHGBP,625,698,580,580,19.95,12020.46
2018-03-26,BCHGBP,704,704,625,625,6.31,4140.8
2018-03-25,BCHGBP,704,704,704,704,0.0,0.0
2018-03-24,BCHGBP,704,704,704,704,0.0,0.0
2018-03-23,BCHGBP,650,704,650,704,48.85,32555.54
2018-03-22,BCHGBP,714,738,650,650,7.36,4838.52
2018-03-21,BCHGBP,736,750,681,714,18.91,13565.13
2018-03-20,BCHGBP,675,751,675,736,5.76,4136.0
2018-03-19,BCHGBP,649,685,566,675,25.56,16916.44
2018-03-18,BCHGBP,655,655,566,649,12.39,7629.12
2018-03-17,BCHGBP,682,717,655,655,4.59,3096.58
2018-03-16,BCHGBP,673,749,610,682,73.9,50362.12
2018-03-15,BCHGBP,700,700,630,673,8.16,5417.61
2018-03-14,BCHGBP,729,740,700,700,0.1041,75.26
2018-03-13,BCHGBP,763,763,729,729,12.98,9565.06
2018-03-12,BCHGBP,805,805,613,763,25.46,19016.74
2018-03-11,BCHGBP,734,832,734,805,32.74,25546.19
2018-03-10,BCHGBP,705,800,705,734,13.79,10799.19
2018-03-09,BCHGBP,748,748,660,705,17.17,12111.25
2018-03-08,BCHGBP,800,800,716,748,40.33,30142.21
2018-03-07,BCHGBP,883,883,770,800,86.67,70324.75
2018-03-06,BCHGBP,912,918,837,883,27.58,23944.6
2018-03-05,BCHGBP,909,937,909,912,4.09,3785.88
2018-03-04,BCHGBP,924,924,906,909,0.1998,181.77
2018-03-03,BCHGBP,922,924,908,924,0.7167,653.17
2018-03-02,BCHGBP,927,959,907,922,28.53,26542.12
2018-03-01,BCHGBP,884,949,884,927,24.53,22565.62
2018-02-28,BCHGBP,886,886,884,884,0.0996,88.05
2018-02-27,BCHGBP,872,924,872,886,6.51,5853.13
2018-02-26,BCHGBP,830,897,825,872,28.64,24578.35
2018-02-25,BCHGBP,832,836,819,830,0.363,299.5
2018-02-24,BCHGBP,900,900,802,832,12.99,11011.39
2018-02-23,BCHGBP,833,927,829,900,38.34,32595.26
2018-02-22,BCHGBP,920,980,832,833,38.18,33126.23
2018-02-21,BCHGBP,1001,1008,920,920,11.32,10579.41
2018-02-20,BCHGBP,1053,1130,1001,1001,55.54,59591.82
2018-02-19,BCHGBP,1054,1114,1053,1053,10.77,11606.33
2018-02-18,BCHGBP,1125,1190,1026,1054,24.72,26749.88
2018-02-17,BCHGBP,1069,1125,1069,1125,9.97,11089.19
2018-02-16,BCHGBP,968,1105,968,1069,17.32,18564.51
2018-02-15,BCHGBP,951,1005,930,968,43.84,42715.09
2018-02-14,BCHGBP,900,969,881,951,48.97,44826.75
2018-02-13,BCHGBP,933,933,820,900,46.92,40830.38
2018-02-12,BCHGBP,856,947,856,933,39.88,37037.31
2018-02-11,BCHGBP,911,921,852,856,37.06,33502.88
2018-02-10,BCHGBP,932,953,880,911,20.47,18499.26
2018-02-09,BCHGBP,907,950,851,932,14.48,13243.06
2018-02-08,BCHGBP,679,944,679,907,98.16,76602.83
2018-02-07,BCHGBP,670,748,650,679,65.42,46002.86
2018-02-06,BCHGBP,631,716,543,670,97.46,59940.37
2018-02-05,BCHGBP,820,820,604,631,185.57,127301.65
2018-02-04,BCHGBP,879,879,752,820,96.74,78825.07
2018-02-03,BCHGBP,806,879,740,879,39.35,31671.03
2018-02-02,BCHGBP,859,859,410,806,307.49,223728.6
2018-02-01,BCHGBP,970,1047,750,859,118.72,107878.02
2018-01-31,BCHGBP,1038,1051,970,970,41.92,42507.09
2018-01-30,BCHGBP,1132,1177,1000,1038,96.96,105282.7
2018-01-29,BCHGBP,1165,1197,1015,1132,77.47,88431.28
2018-01-28,BCHGBP,1123,1170,1013,1165,32.71,36918.37
2018-01-27,BCHGBP,1129,1129,1019,1123,15.6,16331.87
2018-01-26,BCHGBP,1067,1151,1012,1129,26.81,28195.94
2018-01-25,BCHGBP,1101,1160,1067,1067,16.56,18557.31
2018-01-24,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-23,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-22,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-21,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-20,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-19,BCHGBP,1246,1246,1246,1246,0.0,0.0
2018-01-18,BCHGBP,1240,1390,1240,1246,69.96,93828.85
2018-01-17,BCHGBP,1190,1350,951,1240,128.3,149819.02
2018-01-16,BCHGBP,1775,1780,1190,1190,259.77,394285.54
2018-01-15,BCHGBP,1825,2030,1749,1775,138.36,252097.97
2018-01-14,BCHGBP,1954,1954,1805,1825,46.07,85355.26
2018-01-13,BCHGBP,1852,2040,1852,1954,64.17,124856.46
2018-01-12,BCHGBP,1839,1925,1775,1852,72.14,132937.74
2018-01-11,BCHGBP,2125,2125,1775,1839,177.34,329875.92
2018-01-10,BCHGBP,1760,2125,1740,2125,185.04,348595.16
2018-01-09,BCHGBP,1777,1825,1740,1760,103.57,182709.12
