Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2017-10-03,ZECUSD,256.44,261.46,236.89,253.23,11739.64,2910557.1
2017-10-02,ZECUSD,264.45,279.7,254.6,256.44,10038.19,2631049.53
2017-10-01,ZECUSD,278.8,281.35,263.77,264.45,6060.67,1661286.33
2017-09-30,ZECUSD,288.91,294.29,275,278.8,6874.67,1961176.79
2017-09-29,ZECUSD,309.36,312.92,270.14,288.91,12996.0,3758156.67
2017-09-28,ZECUSD,286.01,426.99,281.79,309.36,17658.7,5683508.32
2017-09-27,ZECUSD,232.65,298.33,229.6,286.01,14581.9,4002956.55
2017-09-26,ZECUSD,230.74,236.11,227.4,232.65,7147.82,1657729.28
2017-09-25,ZECUSD,205.91,235.76,203.99,230.74,14578.15,3239585.64
2017-09-24,ZECUSD,204.44,208.82,200,205.91,8342.93,1691956.74
2017-09-23,ZECUSD,197.13,216.65,191.39,204.44,15812.77,3258933.98
2017-09-22,ZECUSD,175.41,204.84,175.24,197.13,20517.41,3917774.43
2017-09-21,ZECUSD,188.28,192.6,175.1,175.41,14941.32,2730470.38
2017-09-20,ZECUSD,188.77,194.14,184.08,188.28,9554.77,1809624.89
2017-09-19,ZECUSD,194.43,197.05,184.11,188.77,10091.02,1909087.01
2017-09-18,ZECUSD,176.85,196.44,176.57,194.43,11743.27,2223075.62
2017-09-17,ZECUSD,179.26,180,168.57,176.85,14551.42,2542257.87
2017-09-16,ZECUSD,188.22,190.41,168.56,179.26,6535.85,1170242.23
2017-09-15,ZECUSD,162.64,190.58,142.64,188.22,24640.37,4073483.4
2017-09-14,ZECUSD,199.49,206.5,160.63,162.64,37957.97,6826782.92
2017-09-13,ZECUSD,209.89,210.69,182.57,199.49,26390.73,5213967.47
2017-09-12,ZECUSD,213.6,224.92,205.05,209.89,20061.01,4329389.09
2017-09-11,ZECUSD,216.69,222.28,209.24,213.6,19102.41,4102305.49
2017-09-10,ZECUSD,219,227.62,197.71,216.69,26790.14,5670372.12
2017-09-09,ZECUSD,221.45,223.8,209.3,219,21299.74,4612871.11
2017-09-08,ZECUSD,248.35,249.18,211.73,221.45,18066.93,4150433.47
2017-09-07,ZECUSD,246.4,252.58,235,248.35,18991.68,4616198.03
2017-09-06,ZECUSD,232.66,250.61,228.92,246.4,8367.87,2039766.61
2017-09-05,ZECUSD,218.16,238.35,197.48,232.66,2516.86,551543.51
2017-09-04,ZECUSD,260.49,263.49,215.02,218.16,7449.09,1795758.6
2017-09-03,ZECUSD,255.31,269.6,239.68,260.49,10882.48,2776811.34
2017-09-02,ZECUSD,306.65,312.22,248.14,255.31,6329.56,1770613.98
2017-09-01,ZECUSD,286.25,312.87,282.16,306.65,11573.74,3399213.01
2017-08-31,ZECUSD,275.47,288.7,270.89,286.25,9940.45,2744380.9
2017-08-30,ZECUSD,271.71,282.38,267.92,275.47,11336.83,3107477.55
2017-08-29,ZECUSD,276.93,277.47,264.03,271.71,11691.45,3171213.13
2017-08-28,ZECUSD,275,283.25,252.88,276.93,8618.38,2331193.34
2017-08-27,ZECUSD,297.75,300.26,264.18,275,6386.58,1768371.88
2017-08-26,ZECUSD,236.97,299,235.25,297.75,6215.42,1646151.54
2017-08-25,ZECUSD,227.06,257.55,226.21,236.97,9258.21,2173792.7
2017-08-24,ZECUSD,228.6,233.22,222.76,227.06,6565.17,1490497.45
2017-08-23,ZECUSD,226.82,240,222.53,228.6,6785.18,1550671.05
2017-08-22,ZECUSD,236.48,239.31,205.67,226.82,7828.56,1742586.04
2017-08-21,ZECUSD,240.64,258.43,229.12,236.48,6779.17,1637413.29
2017-08-20,ZECUSD,232.79,253.37,223.68,240.64,7131.75,1666137.8
2017-08-19,ZECUSD,199.76,247,186.04,232.79,7840.46,1603382.37
2017-08-18,ZECUSD,209.65,211.53,198,199.76,8713.57,1791642.24
2017-08-17,ZECUSD,217.87,218.43,206,209.65,8897.58,1896304.91
2017-08-16,ZECUSD,210.82,218.24,203.85,217.87,7410.68,1566046.89
2017-08-15,ZECUSD,210.42,213.86,197.81,210.82,7322.01,1501220.21
2017-08-14,ZECUSD,213.52,218.72,200.98,210.42,8753.56,1851278.97
