Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-06-03 03-AM,XMRUSD,166.23,167.96,165.91,167.94,548.06,91429.56
2018-06-03 02-AM,XMRUSD,165.05,166.23,164.54,166.23,876.83,145197.16
2018-06-03 01-AM,XMRUSD,164.43,166.26,164.15,165.05,702.79,116206.6
2018-06-03 12-AM,XMRUSD,162.18,164.43,162.1,164.43,757.81,123920.65
2018-06-02 11-PM,XMRUSD,162.59,162.64,162.13,162.18,216.49,35148.37
2018-06-02 10-PM,XMRUSD,163.31,163.37,162.27,162.59,323.95,52686.57
2018-06-02 09-PM,XMRUSD,163.36,163.85,163.12,163.31,437.64,71518.14
2018-06-02 08-PM,XMRUSD,165.12,165.65,163.36,163.36,775.61,127835.68
2018-06-02 07-PM,XMRUSD,166.39,168.09,165.12,165.12,866.02,144050.86
2018-06-02 06-PM,XMRUSD,163.68,166.51,163.68,166.39,606.3,100108.22
2018-06-02 05-PM,XMRUSD,164.05,164.48,163.14,163.68,524.39,85873.45
2018-06-02 04-PM,XMRUSD,164.02,164.4,163.57,164.05,441.97,72476.82
2018-06-02 03-PM,XMRUSD,164.34,164.97,163.87,164.02,462.44,75998.61
2018-06-02 02-PM,XMRUSD,164.79,165.11,164,164.34,474.61,78131.3
2018-06-02 01-PM,XMRUSD,164.64,165.15,164.5,164.79,311.77,51383.17
2018-06-02 12-PM,XMRUSD,164.35,164.82,164.02,164.64,402.9,66236.93
2018-06-02 11-AM,XMRUSD,164.08,164.76,164.06,164.35,245.76,40403.09
2018-06-02 10-AM,XMRUSD,164.82,165.45,163.67,164.08,485.59,79881.24
2018-06-02 09-AM,XMRUSD,165.4,165.53,163.09,164.82,470.88,77149.31
2018-06-02 08-AM,XMRUSD,163.23,166.47,163.12,165.4,705.05,116516.66
2018-06-02 07-AM,XMRUSD,161.39,163.26,161.32,163.23,982.01,158939.53
2018-06-02 06-AM,XMRUSD,158.98,162.06,157.89,161.39,1715.73,272859.07
2018-06-02 05-AM,XMRUSD,157.68,158.98,157.68,158.98,653.15,103304.38
2018-06-02 04-AM,XMRUSD,158.12,158.38,157.67,157.68,343.19,54229.99
2018-06-02 03-AM,XMRUSD,158.16,158.32,157.99,158.12,241.2,38150.42
2018-06-02 02-AM,XMRUSD,158.25,158.38,157.91,158.16,281.41,44517.66
2018-06-02 01-AM,XMRUSD,156.98,158.37,156.63,158.25,324.94,51184.22
2018-06-02 12-AM,XMRUSD,157.82,158.44,156.87,156.98,670.48,105863.05
2018-06-01 11-PM,XMRUSD,158.9,158.97,157.57,157.82,649.25,102637.77
2018-06-01 10-PM,XMRUSD,157.47,159.04,157.38,158.9,774.64,122858.52
2018-06-01 09-PM,XMRUSD,157.08,157.58,157.02,157.47,231.36,36394.39
2018-06-01 08-PM,XMRUSD,157.19,157.32,156.59,157.08,1067.31,167556.85
2018-06-01 07-PM,XMRUSD,156.19,157.25,156.19,157.19,594.15,93148.45
2018-06-01 06-PM,XMRUSD,156.62,156.91,156.12,156.19,460.61,72096.42
2018-06-01 05-PM,XMRUSD,156.13,156.62,155.68,156.62,409.99,63980.83
2018-06-01 04-PM,XMRUSD,155.62,156.14,155.61,156.13,396.64,61842.53
2018-06-01 03-PM,XMRUSD,155.31,155.72,154.58,155.62,547.91,85016.8
2018-06-01 02-PM,XMRUSD,154.87,155.42,154.85,155.31,419.86,65125.25
2018-06-01 01-PM,XMRUSD,154.9,155.03,154.39,154.87,377.53,58426.23
2018-06-01 12-PM,XMRUSD,153.69,155.39,153.37,154.9,807.5,124615.93
2018-06-01 11-AM,XMRUSD,156.83,157.27,153.69,153.69,387.83,60716.84
2018-06-01 10-AM,XMRUSD,156.62,156.86,156.46,156.83,374.79,58719.62
2018-06-01 09-AM,XMRUSD,156.33,156.9,156.11,156.62,424.31,66337.6
2018-06-01 08-AM,XMRUSD,155.72,156.33,155.55,156.33,275.78,42974.07
2018-06-01 07-AM,XMRUSD,155.45,156.52,155.31,155.72,709.94,110705.35
2018-06-01 06-AM,XMRUSD,154.94,156.39,154.74,155.45,1045.67,162955.55
2018-06-01 05-AM,XMRUSD,155.08,155.15,154.73,154.94,174.47,27034.31
2018-06-01 04-AM,XMRUSD,155.46,155.7,155.01,155.08,310.69,48241.89
2018-06-01 03-AM,XMRUSD,155.57,155.9,155.11,155.46,479.37,74595.18
2018-06-01 02-AM,XMRUSD,155.92,156.96,155.47,155.57,916.37,142971.61
2018-06-01 01-AM,XMRUSD,156.24,156.34,155.64,155.92,485.62,75739.49
2018-06-01 12-AM,XMRUSD,155.78,156.56,155.56,156.24,416.45,65076.38
2018-05-31 11-PM,XMRUSD,155.98,156.32,155.52,155.78,559.82,87280.94
2018-05-31 10-PM,XMRUSD,157.58,157.69,155.49,155.98,1120.03,174852.64
2018-05-31 09-PM,XMRUSD,158.27,158.3,157.57,157.58,622.69,98273.26
2018-05-31 08-PM,XMRUSD,158.08,158.69,157.87,158.27,469.25,74285.2
2018-05-31 07-PM,XMRUSD,156.98,158.25,156.93,158.08,558.54,88031.74
2018-05-31 06-PM,XMRUSD,157.58,157.92,156.98,156.98,514.09,80857.84
2018-05-31 05-PM,XMRUSD,157.64,158.11,157.39,157.58,583.23,92027.97
2018-05-31 04-PM,XMRUSD,156.31,157.97,155.73,157.64,1071.55,168203.02
2018-05-31 03-PM,XMRUSD,156.35,156.83,156.06,156.31,761.29,119106.9
2018-05-31 02-PM,XMRUSD,156.73,157.16,156.28,156.35,765.08,119955.72
2018-05-31 01-PM,XMRUSD,157.65,157.68,156.02,156.73,634.52,99336.14
2018-05-31 12-PM,XMRUSD,155.42,157.95,155.32,157.65,1068.52,168051.67
2018-05-31 11-AM,XMRUSD,155.71,155.93,155.04,155.42,205.63,32004.66
2018-05-31 10-AM,XMRUSD,157.45,157.45,155.45,155.71,553.7,86437.38
2018-05-31 09-AM,XMRUSD,157.82,158.03,157.2,157.45,254.46,40102.6
2018-05-31 08-AM,XMRUSD,158.08,158.08,156.88,157.82,347.92,54739.8
2018-05-31 07-AM,XMRUSD,158.3,159.11,158.08,158.08,844.97,133978.93
2018-05-31 06-AM,XMRUSD,157.47,159.21,157.35,158.3,813.41,128972.46
2018-05-31 05-AM,XMRUSD,156.91,157.74,156.6,157.47,1288.46,202413.72
2018-05-31 04-AM,XMRUSD,155.86,157.28,155.42,156.91,1050.5,163939.24
2018-05-31 03-AM,XMRUSD,155.19,155.86,155.19,155.86,203.75,31689.36
2018-05-31 02-AM,XMRUSD,155.09,155.36,154.6,155.19,299.58,46450.69
2018-05-31 01-AM,XMRUSD,155.35,155.48,154.86,155.09,637.35,98871.57
2018-05-31 12-AM,XMRUSD,155.33,155.57,154.6,155.35,604.08,93646.11
2018-05-30 11-PM,XMRUSD,154.49,155.59,154.13,155.33,844.86,130973.8
2018-05-30 10-PM,XMRUSD,154.02,154.52,153.77,154.49,780.31,120288.84
2018-05-30 09-PM,XMRUSD,153.89,154.13,153.53,154.02,710.7,109358.25
2018-05-30 08-PM,XMRUSD,154.03,154.59,153.86,153.89,1117.12,172235.51
2018-05-30 07-PM,XMRUSD,153.78,154.12,153.38,154.03,1307.11,200926.71
2018-05-30 06-PM,XMRUSD,153.84,154.44,153.78,153.78,567.46,87343.14
2018-05-30 05-PM,XMRUSD,154.6,155,153.81,153.84,1071.66,165389.88
2018-05-30 04-PM,XMRUSD,156.05,156.78,154.46,154.6,831.53,129159.08
2018-05-30 03-PM,XMRUSD,156.72,156.72,155.17,156.05,1396.48,217571.15
2018-05-30 02-PM,XMRUSD,160.12,160.24,156.39,156.72,614.48,97620.39
2018-05-30 01-PM,XMRUSD,159.94,160.3,159.22,160.12,760.34,121517.32
2018-05-30 12-PM,XMRUSD,159.28,159.94,159.04,159.94,128.37,20472.44
2018-05-30 11-AM,XMRUSD,158.91,160,158.74,159.28,403.14,64318.63
2018-05-30 10-AM,XMRUSD,158.56,159.04,158.01,158.91,181.4,28788.03
2018-05-30 09-AM,XMRUSD,158.15,158.98,157.8,158.56,748.92,118430.34
2018-05-30 08-AM,XMRUSD,158.29,159.04,158.08,158.15,753.48,119373.57
2018-05-30 07-AM,XMRUSD,157.87,158.79,157.79,158.29,452.35,71575.28
2018-05-30 06-AM,XMRUSD,159.39,159.39,157.8,157.87,511.88,81041.14
2018-05-30 05-AM,XMRUSD,159.01,159.47,158.98,159.39,199.45,31760.52
2018-05-30 04-AM,XMRUSD,159.67,160.31,158.95,159.01,603.44,96158.86
2018-05-30 03-AM,XMRUSD,160.77,160.79,159.28,159.67,823.05,131790.84
2018-05-30 02-AM,XMRUSD,161.4,161.57,160.77,160.77,362.25,58443.19
2018-05-30 01-AM,XMRUSD,159.53,161.96,159.51,161.4,1224.95,197093.27
2018-05-30 12-AM,XMRUSD,157.92,159.55,157.51,159.53,281.46,44582.07
