Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume KRW
2018-08-26,ETHKRW,314000,314500,306500,310000,16665.79,5170006407.95
2018-08-25,ETHKRW,317000,320500,313000,314000,137639.76,43823692173.33
2018-08-24,ETHKRW,315000,321000,307000,317000,16614.64,5218660994.1
2018-08-23,ETHKRW,309000,321000,308000,315000,21474.57,6720502257.06
2018-08-22,ETHKRW,321500,339000,300000,309000,33626.39,10805424645.28
2018-08-21,ETHKRW,314000,328000,313000,321500,21325.43,6821084989.14
2018-08-20,ETHKRW,343500,349500,312500,314000,25617.42,8535648675.49
2018-08-19,ETHKRW,341000,353000,333000,343500,15969.14,5475012833.08
2018-08-18,ETHKRW,361500,368000,329000,341000,24532.22,8569183430.18
2018-08-17,ETHKRW,333000,366000,332000,361500,33918.69,11756062843.36
2018-08-16,ETHKRW,328000,345500,322500,333000,22861.32,7639076748.44
2018-08-15,ETHKRW,325000,351500,323500,328000,32574.46,10861356189.48
2018-08-14,ETHKRW,336000,336500,294000,325000,49513.2,15433808128.4
2018-08-13,ETHKRW,373000,376500,332500,336000,29361.52,10505924174.34
2018-08-12,ETHKRW,364500,364500,364500,364500,0.0,0.0
2018-08-11,ETHKRW,389500,392000,363000,364500,15877.76,5975595628.67
2018-08-10,ETHKRW,419500,423500,383000,389500,21547.78,8796389800.2
2018-08-09,ETHKRW,414500,427500,409000,419500,19743.11,8274344387.62
2018-08-08,ETHKRW,436500,443500,410000,414500,26575.49,11318761697.95
2018-08-07,ETHKRW,466000,472000,430000,436500,18347.88,8432217559.37
2018-08-06,ETHKRW,470500,475000,462000,466000,12737.38,5974613332.25
2018-08-05,ETHKRW,467500,475000,462000,470500,9486.82,4446983284.82
2018-08-04,ETHKRW,477500,482500,461500,467500,12320.24,5820915673.7
2018-08-03,ETHKRW,474000,478500,455000,477500,11521.83,5383472529.53
2018-08-02,ETHKRW,479500,487000,467500,474000,10633.92,5081441463.09
2018-08-01,ETHKRW,488500,490500,465000,479500,15439.13,7386990810.28
2018-07-31,ETHKRW,516000,516000,483000,488500,16755.45,8331158154.61
2018-07-30,ETHKRW,521000,522500,504500,516000,12608.81,6489827829.38
2018-07-29,ETHKRW,522500,525000,518000,521000,6223.55,3240169199.06
2018-07-28,ETHKRW,521500,525500,515000,522500,5184.77,2700282885.65
2018-07-27,ETHKRW,522500,527000,513500,521500,11111.49,5776276124.93
2018-07-26,ETHKRW,526500,539000,516500,522500,22467.76,11946035404.76
2018-07-25,ETHKRW,532000,539000,520000,526500,10193.63,5384634688.63
2018-07-24,ETHKRW,510500,543500,508000,532000,29136.9,15431134443.16
2018-07-23,ETHKRW,512000,524000,508000,510500,20412.38,10578219888.85
2018-07-22,ETHKRW,521000,531000,511500,512000,18037.17,9436048430.08
2018-07-21,ETHKRW,512000,528000,503000,521000,12460.82,6462240956.81
2018-07-20,ETHKRW,528500,529500,505000,512000,19776.22,10263288425.73
2018-07-19,ETHKRW,534000,537500,520000,528500,19697.66,10410582823.37
2018-07-18,ETHKRW,548500,561500,526500,534000,34643.56,18956892314.54
2018-07-17,ETHKRW,531000,555000,515000,548500,36310.52,19325543394.36
2018-07-16,ETHKRW,508500,532000,501500,531000,40108.14,20836344754.61
2018-07-15,ETHKRW,494500,515000,492000,508500,24795.38,12487673777.94
2018-07-14,ETHKRW,492000,499500,488500,494500,13990.24,6904145066.69
2018-07-13,ETHKRW,490500,501000,483000,492000,24218.86,11971089628.86
2018-07-12,ETHKRW,504000,505500,477000,490500,25824.68,12692343352.28
2018-07-11,ETHKRW,490000,507500,485000,504000,29099.38,14455510221.01
2018-07-10,ETHKRW,530000,533500,487000,490000,48198.47,24360600345.36
2018-07-09,ETHKRW,539000,541000,528000,530000,22000.31,11807125135.61
2018-07-08,ETHKRW,536000,546000,534000,539000,35954.62,19421583426.79
2018-07-07,ETHKRW,530500,537000,519500,536000,23282.8,12272802519.23
2018-07-06,ETHKRW,519000,531000,508000,530500,28248.07,14689477691.19
2018-07-05,ETHKRW,515500,523000,510500,519000,37931.7,19647976888.72
