Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-07-27 08-PM,ETHMXN,3960.09,4027.47,3960.09,4000,6.81,27274.29
2019-07-27 07-PM,ETHMXN,3949.48,4036.78,3949.48,3960.09,6.669,26522.63
2019-07-27 06-PM,ETHMXN,4043.11,4055.38,3948.1,3949.48,19.69,78837.13
2019-07-27 05-PM,ETHMXN,3948.03,4050.41,3948.03,4043.11,24.06,97054.22
2019-07-27 04-PM,ETHMXN,3934.56,4051.42,3907.24,3948.03,14.33,57698.02
2019-07-27 03-PM,ETHMXN,4111.41,4111.41,3890.01,3934.56,19.77,77725.13
2019-07-27 02-PM,ETHMXN,4008.73,4111.41,3940.01,4111.41,15.38,60812.39
2019-07-27 01-PM,ETHMXN,4076,4076,3910.9,4008.73,18.05,72529.48
2019-07-27 12-PM,ETHMXN,3932.54,4104.38,3900.03,4076,15.24,59875.73
2019-07-27 11-AM,ETHMXN,4005,4164.89,3932.54,3932.54,15.62,61795.39
2019-07-27 10-AM,ETHMXN,4200,4217.9,3968.01,4005,170.25,695902.22
2019-07-27 09-AM,ETHMXN,4248.77,4248.77,4200,4200,5.042,21190.9
2019-07-27 08-AM,ETHMXN,4249.99,4249.99,4208.1,4248.77,0.9657,4102.6
2019-07-27 07-AM,ETHMXN,4249.63,4249.99,4208.1,4249.99,0.6845,2894.65
2019-07-27 06-AM,ETHMXN,4249.97,4249.99,4214,4249.63,2.605,11045.6
2019-07-27 05-AM,ETHMXN,4214.07,4268.7,4214,4249.97,0.9608,4076.58
2019-07-27 04-AM,ETHMXN,4216.52,4270,4214.07,4214.07,1.856,7881.41
2019-07-27 03-AM,ETHMXN,4281,4288.54,4216.52,4216.52,2.321,9839.76
2019-07-27 02-AM,ETHMXN,4235,4288.89,4214.68,4281,10.14,43344.84
2019-07-27 01-AM,ETHMXN,4250,4294.99,4211.62,4235,26.4,112872.42
2019-07-27 12-AM,ETHMXN,4199.25,4250,4112.19,4250,13.7,57434.32
2019-07-26 11-PM,ETHMXN,4209.83,4209.83,4130.04,4199.25,6.139,25437.05
2019-07-26 10-PM,ETHMXN,4187.33,4231.12,4119.78,4209.83,6.326,26521.25
2019-07-26 09-PM,ETHMXN,4191,4213.24,4111.23,4187.33,20.04,83201.99
2019-07-26 08-PM,ETHMXN,4190.09,4237.75,4190.02,4191,10.9,45897.04
2019-07-26 07-PM,ETHMXN,4218.99,4247.25,4163.22,4190.09,20.93,87888.28
2019-07-26 06-PM,ETHMXN,4191.88,4219,4120.49,4218.99,22.2,93412.24
2019-07-26 05-PM,ETHMXN,4150.95,4191.88,4112.88,4191.88,11.04,45988.03
2019-07-26 04-PM,ETHMXN,4101.92,4191.88,4101.92,4150.95,16.95,70602.12
2019-07-26 03-PM,ETHMXN,4096.6,4148.73,4083.71,4101.92,3.977,16357.01
2019-07-26 02-PM,ETHMXN,4100,4148.75,4080.14,4096.6,9.32,38214.37
2019-07-26 01-PM,ETHMXN,4107.07,4170.37,4080.01,4100,31.82,130743.12
2019-07-26 12-PM,ETHMXN,4191.16,4191.16,4107.07,4107.07,2.7,11298.63
2019-07-26 11-AM,ETHMXN,4111.26,4191.87,4111.26,4191.16,6.006,24856.87
2019-07-26 10-AM,ETHMXN,4105.43,4111.26,4105.43,4111.26,1.189,4888.3
2019-07-26 09-AM,ETHMXN,4150.99,4150.99,4105.43,4105.43,0.0838,344.03
2019-07-26 08-AM,ETHMXN,4084.39,4150.99,4084.39,4150.99,0.5149,2136.6
2019-07-26 07-AM,ETHMXN,4189.06,4189.06,4073.4,4084.39,0.5269,2147.75
2019-07-26 06-AM,ETHMXN,4085.29,4189.06,4070.06,4189.06,10.94,45166.7
2019-07-26 05-AM,ETHMXN,4148.26,4154.62,4071.88,4085.29,3.373,13818.24
2019-07-26 04-AM,ETHMXN,4078.03,4157.28,4078.03,4148.26,7.847,32039.35
2019-07-26 03-AM,ETHMXN,4102,4174.5,4062.23,4078.03,21.62,88430.4
2019-07-26 02-AM,ETHMXN,4080.92,4152.82,4080.92,4102,4.669,19180.44
2019-07-26 01-AM,ETHMXN,4119,4165.22,4060.24,4080.92,7.916,32385.88
2019-07-26 12-AM,ETHMXN,4200.57,4235.42,4119,4119,7.12,29508.35
2019-07-25 11-PM,ETHMXN,4229.77,4248.99,4166.78,4200.57,30.14,126523.24
2019-07-25 10-PM,ETHMXN,4153.81,4229.99,4153.81,4229.77,5.988,25029.43
2019-07-25 09-PM,ETHMXN,4209.65,4216.27,4147.83,4153.81,7.441,31167.36
