Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume INR
2017-11-17,BTCINR,521932,530925,412478,503844,123.56,63009823.35
2017-11-16,BTCINR,495876,530597,462154,521932,101.49,50894701.02
2017-11-15,BTCINR,478722,511557,471331,495876,103.66,51209991.23
2017-11-14,BTCINR,490541,503925,464415,478722,71.18,34417801.6
2017-11-13,BTCINR,449252,502601,423808,490541,87.53,41377243.33
2017-11-12,BTCINR,479842,496915,404253,449252,147.43,65587307.7
2017-11-11,BTCINR,492565,510820,445743,479842,104.43,49878942.92
2017-11-10,BTCINR,499385,512904,463416,492565,134.72,66111815.21
2017-11-09,BTCINR,495586,511175,482030,499385,171.34,85562569.3
2017-11-08,BTCINR,496885,535805,471838,495586,145.62,73576845.82
2017-11-07,BTCINR,490547,512913,476752,496885,77.75,38781950.07
2017-11-06,BTCINR,506384,514853,473308,490547,126.01,62633875.54
2017-11-05,BTCINR,516647,525239,480224,506384,70.71,35975645.92
2017-11-04,BTCINR,498216,525544,464530,516647,82.33,40964151.2
2017-11-03,BTCINR,488583,514370,453757,498216,124.47,61946538.22
2017-11-02,BTCINR,481483,510595,446719,488583,142.88,68275025.9
2017-11-01,BTCINR,465759,490376,432917,481483,189.14,86866168.91
2017-10-31,BTCINR,422020,470362,403928,465759,109.76,47990383.32
2017-10-30,BTCINR,410245,423452,392391,422020,87.42,35844829.14
2017-10-29,BTCINR,387030,432042,383674,410245,71.27,28678572.07
2017-10-28,BTCINR,393336,401305,373473,387030,39.56,15481048.7
2017-10-27,BTCINR,391458,397807,377281,393336,64.2,24927236.16
2017-10-26,BTCINR,392193,402915,373473,391458,63.02,24454244.71
2017-10-25,BTCINR,375758,402249,352402,392193,70.28,26480941.15
2017-10-24,BTCINR,383642,396445,359437,375758,57.98,21876473.41
2017-10-23,BTCINR,387930,402767,357977,383642,110.87,41988568.35
2017-10-22,BTCINR,362513,390643,225538,387930,36.35,13122429.6
2017-10-21,BTCINR,375938,390787,350757,362513,93.94,35423119.95
2017-10-20,BTCINR,346050,382474,341501,375938,58.62,21251650.76
2017-10-19,BTCINR,372268,377764,341936,346050,44.15,15885204.74
2017-10-18,BTCINR,344555,373751,326513,372268,72.74,25261941.91
2017-10-17,BTCINR,361141,361803,332747,344555,83.66,29307674.52
2017-10-16,BTCINR,365114,366823,330950,361141,48.31,16857692.78
2017-10-15,BTCINR,343345,367550,324892,365114,34.27,11828700.21
2017-10-14,BTCINR,355487,364804,329421,343345,36.38,12643467.02
2017-10-13,BTCINR,336535,383030,324733,355487,128.88,45270573.6
2017-10-12,BTCINR,324200,355406,312951,336535,96.3,31943003.8
2017-10-11,BTCINR,322012,327742,307119,324200,82.22,26029423.37
2017-10-10,BTCINR,318282,333054,279740,322012,93.89,29977125.05
2017-10-09,BTCINR,311179,324174,291151,318282,95.74,29262132.59
2017-10-08,BTCINR,301029,311956,289734,311179,41.69,12462505.57
2017-10-07,BTCINR,296483,302141,283767,301029,35.74,10406115.45
2017-10-06,BTCINR,288139,298889,282307,296483,45.97,13451855.24
2017-10-05,BTCINR,286321,296229,270786,288139,49.22,14022666.54
2017-10-04,BTCINR,288016,290429,269984,286321,58.54,16522331.71
2017-10-03,BTCINR,278563,296350,271891,288016,76.98,21687515.08
2017-10-02,BTCINR,291028,296878,276648,278563,50.08,14423883.22
2017-10-01,BTCINR,273924,291128,269699,291028,29.48,8179912.22
2017-09-30,BTCINR,279489,288785,266536,273924,34.42,9660822.25
2017-09-29,BTCINR,266777,282918,256961,279489,50.35,13622805.56
2017-09-28,BTCINR,270185,287795,262900,266777,79.21,22070000.05
2017-09-27,BTCINR,257569,285378,257569,270185,82.45,22272593.16
2017-09-26,BTCINR,268986,270896,255189,257569,45.89,12118470.41
2017-09-25,BTCINR,261602,272387,247380,268986,55.46,14419896.18
2017-09-24,BTCINR,255292,271836,245672,261602,18.27,4712057.32
2017-09-23,BTCINR,247093,277473,244796,255292,26.66,6979646.46
2017-09-22,BTCINR,257770,268027,240118,247093,67.32,17210569.5
2017-09-21,BTCINR,268673,272664,242938,257770,89.15,23168252.74
2017-09-20,BTCINR,256624,281663,252262,268673,82.6,22251476.15
2017-09-19,BTCINR,294133,295033,253919,256624,42.33,11660857.56
2017-09-18,BTCINR,249892,295849,249892,294133,86.01,23717897.67
2017-09-17,BTCINR,261155,284474,243787,249892,58.67,15224891.57
2017-09-16,BTCINR,279009,298293,250092,261155,123.95,34727387.63
2017-09-15,BTCINR,233849,284417,195861,279009,226.32,53438713.65
2017-09-14,BTCINR,274104,285704,209825,233849,187.31,46184539.22
2017-09-13,BTCINR,286452,327403,70883,274104,117.37,32622404.08
2017-09-12,BTCINR,307790,317145,280670,286452,79.39,23993106.33
2017-09-11,BTCINR,290553,326986,283547,307790,72.34,21906660.81
2017-09-10,BTCINR,298130,325489,276618,290553,55.78,16804480.8
2017-09-09,BTCINR,301672,331666,289943,298130,36.13,11262384.45
2017-09-08,BTCINR,335869,335914,288561,301672,122.09,38683894.49
2017-09-07,BTCINR,322175,340818,313651,335869,83.8,27635966.66
2017-09-06,BTCINR,321483,343710,318490,322175,84.19,27906090.68
2017-09-05,BTCINR,331773,340163,299417,321483,156.24,50410765.03
2017-09-04,BTCINR,331554,365000,309009,331773,177.48,58270722.19
2017-09-03,BTCINR,335715,346451,313059,331554,49.7,16486517.18
2017-09-02,BTCINR,361893,367186,265000,335715,112.36,37886229.88
2017-09-01,BTCINR,345024,362034,329138,361893,123.96,42640191.97
2017-08-31,BTCINR,319912,346534,303584,345024,120.2,39814417.17
2017-08-30,BTCINR,298805,320401,293677,319912,70.68,22130990.8
2017-08-29,BTCINR,277321,321438,277321,298805,39.98,12145793.91
2017-08-28,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-27,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-26,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-25,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-24,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-23,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-22,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-21,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-20,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-19,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-18,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-17,BTCINR,277321,277321,277321,277321,0.0,0.0
2017-08-16,BTCINR,273108,293180,273108,277321,1.01,285581.88
2017-08-15,BTCINR,273108,273108,273108,273108,0.0,0.0
2017-08-14,BTCINR,229929,292877,229929,273108,0.5654,160998.2
2017-08-13,BTCINR,229929,229929,229929,229929,0.0,0.0
2017-08-12,BTCINR,229929,229929,229929,229929,0.0,0.0
2017-08-11,BTCINR,229929,229929,229929,229929,0.0,0.0
2017-08-10,BTCINR,210736,230952,209589,229929,71.73,15986486.27
2017-08-09,BTCINR,211995,227085,204959,210736,98.77,21367921.92
2017-08-08,BTCINR,218830,230924,200875,211995,172.38,37717308.69
2017-08-07,BTCINR,210786,219481,199282,218830,36.09,7488274.62
2017-08-06,BTCINR,204934,213093,184633,210786,39.89,7908824.71
