Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-06-25 06-AM,BTCNGN,4070210,4097000,4070210,4096500,4.183,17111571.93
2019-06-25 05-AM,BTCNGN,4019999,4092800,4019999,4070210,2.712,10973352.91
2019-06-25 04-AM,BTCNGN,4003213,4020000,4003212,4019999,2.447,9827916.89
2019-06-25 03-AM,BTCNGN,4020000,4027999,4002209,4003213,3.2,12833685.3
2019-06-25 02-AM,BTCNGN,3980777,4020000,3980777,4020000,7.935,31738702.32
2019-06-25 01-AM,BTCNGN,3976500,3980777,3976499,3980777,8.96,35636631.24
2019-06-25 12-AM,BTCNGN,3976000,3976500,3976000,3976500,1.52,6041825.96
2019-06-24 11-PM,BTCNGN,3966219,3976800,3956899,3976000,1.813,7205970.33
2019-06-24 10-PM,BTCNGN,3949989,3977000,3949989,3966219,1.319,5216849.19
2019-06-24 09-PM,BTCNGN,3950000,3950000,3928050,3949989,1.746,6882991.97
2019-06-24 08-PM,BTCNGN,3947800,3950000,3928109,3950000,1.133,4471258.61
2019-06-24 07-PM,BTCNGN,3977777,3977778,3923139,3947800,1.749,6906955.29
2019-06-24 06-PM,BTCNGN,3977999,3978000,3977777,3977777,1.074,4273246.5
2019-06-24 05-PM,BTCNGN,3979999,3979999,3960000,3977999,1.726,6865994.53
2019-06-24 04-PM,BTCNGN,3950000,3980000,3949999,3979999,9.154,36184329.2
2019-06-24 03-PM,BTCNGN,3940300,3950000,3940299,3950000,4.847,19130314.62
2019-06-24 02-PM,BTCNGN,3943730,3943731,3920007,3940300,2.975,11699685.72
2019-06-24 01-PM,BTCNGN,3943730,3943731,3943730,3943730,2.187,8623277.41
2019-06-24 12-PM,BTCNGN,3943731,3943731,3943730,3943730,2.754,10860666.29
2019-06-24 11-AM,BTCNGN,3949999,3950000,3920000,3943731,3.569,14069605.12
2019-06-24 10-AM,BTCNGN,3934499,3950000,3934499,3949999,3.532,13918536.46
2019-06-24 09-AM,BTCNGN,3919999,3935000,3919999,3934499,5.606,22006112.69
2019-06-24 08-AM,BTCNGN,3897999,3920000,3897999,3919999,5.177,20247398.87
2019-06-24 07-AM,BTCNGN,3886629,3898000,3886629,3897999,3.509,13646183.85
2019-06-24 06-AM,BTCNGN,3886384,3897999,3868101,3886629,1.876,7289751.32
2019-06-24 05-AM,BTCNGN,3847999,3898700,3847999,3886384,2.459,9552989.87
2019-06-24 04-AM,BTCNGN,3846000,3847999,3845999,3847999,1.121,4313369.79
2019-06-24 03-AM,BTCNGN,3826000,3846000,3826000,3846000,0.7864,3021678.59
