Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-06-21 12-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-21 11-AM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-21 10-AM,LSKUSD,1.96,2.04,1.96,2.04,6.0,12.24
2019-06-21 09-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 08-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 07-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 06-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 05-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 04-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 03-AM,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-21 02-AM,LSKUSD,2.05,2.05,1.96,1.96,19.81,39.61
2019-06-21 01-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 12-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 11-PM,LSKUSD,2.05,2.05,2.05,2.05,112.41,230.45
2019-06-20 10-PM,LSKUSD,2.15,2.15,2.05,2.05,230.02,471.53
2019-06-20 09-PM,LSKUSD,2.04,2.15,2.04,2.15,32.14,69.1
2019-06-20 08-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-20 07-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-20 06-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-20 05-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-20 04-PM,LSKUSD,2.03,2.04,2.03,2.04,5.984,12.21
2019-06-20 03-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-20 02-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-20 01-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-20 12-PM,LSKUSD,2.05,2.05,2.03,2.03,10.0,20.46
2019-06-20 11-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 10-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 09-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 08-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 07-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 06-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 05-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-20 04-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
