Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-05-31 10-PM,DIMUSD,0.0067,0.0069,0.0067,0.0069,61575.0,422.74
2018-05-31 09-PM,DIMUSD,0.007,0.007,0.0067,0.0067,124888.0,840.59
2018-05-31 08-PM,DIMUSD,0.0066,0.007,0.0066,0.007,609646.0,4202.07
2018-05-31 07-PM,DIMUSD,0.0066,0.0068,0.0065,0.0066,511449.0,3349.54
2018-05-31 06-PM,DIMUSD,0.0062,0.0067,0.0062,0.0066,272414.0,1772.6
2018-05-31 05-PM,DIMUSD,0.0064,0.0064,0.0061,0.0062,273949.0,1694.46
2018-05-31 04-PM,DIMUSD,0.0063,0.0065,0.0063,0.0064,624547.0,4047.61
2018-05-31 03-PM,DIMUSD,0.0063,0.0063,0.0061,0.0063,96591.0,601.53
2018-05-31 02-PM,DIMUSD,0.0063,0.0064,0.0063,0.0063,19204.0,120.99
2018-05-31 01-PM,DIMUSD,0.0064,0.0065,0.0063,0.0063,177980.0,1121.73
2018-05-31 12-PM,DIMUSD,0.0064,0.0064,0.0062,0.0064,271081.0,1713.54
2018-05-31 11-AM,DIMUSD,0.0064,0.0064,0.0063,0.0064,10814.0,68.19
2018-05-31 10-AM,DIMUSD,0.0063,0.0064,0.0063,0.0064,240.0,1.51
2018-05-31 09-AM,DIMUSD,0.0062,0.0065,0.0061,0.0063,446945.0,2799.99
2018-05-31 08-AM,DIMUSD,0.0062,0.0064,0.0061,0.0062,16144.0,100.88
2018-05-31 07-AM,DIMUSD,0.0064,0.0064,0.006,0.0062,293981.0,1788.45
2018-05-31 06-AM,DIMUSD,0.0065,0.0065,0.0062,0.0064,158601.0,998.93
2018-05-31 05-AM,DIMUSD,0.0065,0.0065,0.0064,0.0065,38.0,0.2446
2018-05-31 04-AM,DIMUSD,0.0065,0.0065,0.0065,0.0065,3810.0,24.77
2018-05-31 03-AM,DIMUSD,0.0063,0.0065,0.0063,0.0065,3736.0,23.92
2018-05-31 02-AM,DIMUSD,0.0064,0.0065,0.0063,0.0063,7.0,0.0445
2018-05-31 01-AM,DIMUSD,0.0064,0.0064,0.0064,0.0064,20378.0,130.42
2018-05-31 12-AM,DIMUSD,0.0064,0.0064,0.0064,0.0064,0.0,0.0
2018-05-30 11-PM,DIMUSD,0.0064,0.0064,0.0064,0.0064,11002.0,70.41
2018-05-30 10-PM,DIMUSD,0.0063,0.0065,0.0063,0.0064,28.0,0.1798
2018-05-30 09-PM,DIMUSD,0.0063,0.0065,0.0063,0.0063,39330.0,254.78
2018-05-30 08-PM,DIMUSD,0.0062,0.0065,0.0062,0.0063,118417.0,763.3
2018-05-30 07-PM,DIMUSD,0.0065,0.0065,0.0062,0.0062,10316.0,64.97
2018-05-30 06-PM,DIMUSD,0.0063,0.0065,0.0061,0.0065,128110.0,818.0
2018-05-30 05-PM,DIMUSD,0.0063,0.0064,0.006,0.0063,361636.0,2221.64
2018-05-30 04-PM,DIMUSD,0.0065,0.0065,0.0063,0.0063,113670.0,720.03
2018-05-30 03-PM,DIMUSD,0.0064,0.0065,0.0064,0.0065,680.0,4.42
2018-05-30 02-PM,DIMUSD,0.0066,0.0066,0.0064,0.0064,177009.0,1147.54
2018-05-30 01-PM,DIMUSD,0.0064,0.0066,0.0064,0.0066,104381.0,688.68
2018-05-30 12-PM,DIMUSD,0.0065,0.0065,0.0064,0.0064,17398.0,111.38
2018-05-30 11-AM,DIMUSD,0.0065,0.0066,0.0063,0.0065,7493.0,47.99
2018-05-30 10-AM,DIMUSD,0.0066,0.0066,0.0064,0.0065,56599.0,369.58
2018-05-30 09-AM,DIMUSD,0.0068,0.0068,0.0064,0.0066,1001275.0,6449.16
2018-05-30 08-AM,DIMUSD,0.0068,0.0068,0.0067,0.0068,2440.0,16.55
2018-05-30 07-AM,DIMUSD,0.0067,0.0068,0.0067,0.0068,18843.0,126.25
2018-05-30 06-AM,DIMUSD,0.0065,0.0067,0.0065,0.0067,12.0,0.0803
