Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-06-20 02-PM,ETHAUD,389.81,391.74,389.2,391.35,27.58,10762.81
2019-06-20 01-PM,ETHAUD,388.86,390.82,387.48,389.81,66.89,26105.61
2019-06-20 12-PM,ETHAUD,388.15,389.06,386.81,388.86,32.73,12678.58
2019-06-20 11-AM,ETHAUD,388.96,389.91,387,388.15,24.45,9506.07
2019-06-20 10-AM,ETHAUD,388.11,389.05,386.19,388.96,30.98,12018.68
2019-06-20 09-AM,ETHAUD,387.88,389.32,387.44,388.11,19.36,7515.08
2019-06-20 08-AM,ETHAUD,390,390,387.37,387.88,73.47,28505.76
2019-06-20 07-AM,ETHAUD,391.04,391.6,390,390,59.65,23307.14
2019-06-20 06-AM,ETHAUD,390.31,391.27,390.04,391.04,13.96,5462.15
2019-06-20 05-AM,ETHAUD,392.28,392.28,390,390.31,100.77,39344.16
