Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2018-02-13,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-12,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-11,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-10,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-09,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-08,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-07,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-06,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-05,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-04,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-03,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-02,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-01,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-31,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-30,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-29,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-28,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-27,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-26,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-25,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-24,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-23,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-22,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-21,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-20,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-19,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-18,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-17,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-16,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-15,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-14,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-13,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-12,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-11,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-10,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-09,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-08,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-07,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-01-06,PIVXLTC,0.04001,0.04001,0.04001,0.04001,1.18,0.04718
2018-01-05,PIVXLTC,0.045,0.04764,0.04001,0.04001,2362.75,101.98
2018-01-04,PIVXLTC,0.04444,0.047,0.04401,0.045,2230.29,100.73
2018-01-03,PIVXLTC,0.0487,0.05,0.04401,0.04444,2081.12,95.91
2018-01-02,PIVXLTC,0.04654,0.05,0.04368,0.0487,1848.77,88.9
2018-01-01,PIVXLTC,0.046,0.05131,0.04268,0.04654,994.85,46.48
2017-12-31,PIVXLTC,0.04768,0.04768,0.04768,0.04768,0.0,0.0
2017-12-30,PIVXLTC,0.04942,0.04942,0.0401,0.04768,2463.23,111.0
2017-12-29,PIVXLTC,0.04989,0.04989,0.04455,0.04942,3964.36,188.33
2017-12-28,PIVXLTC,0.046,0.05,0.04424,0.04989,1740.18,83.71
2017-12-27,PIVXLTC,0.04531,0.0586,0.0405,0.046,2075.48,95.24
2017-12-26,PIVXLTC,0.04856,0.0527,0.042,0.04531,2213.49,107.12
2017-12-25,PIVXLTC,0.045,0.07,0.04243,0.04856,2210.91,106.81
2017-12-24,PIVXLTC,0.041,0.05,0.0405,0.045,2054.11,95.19
2017-12-23,PIVXLTC,0.03272,0.05,0.031,0.041,6416.81,236.37
2017-12-22,PIVXLTC,0.0355,0.045,0.02799,0.03272,4333.34,147.11
2017-12-21,PIVXLTC,0.028,0.05,0.02746,0.0355,7525.34,263.82
2017-12-20,PIVXLTC,0.02324,0.037,0.0209,0.028,1725.36,44.66
2017-12-19,PIVXLTC,0.02303,0.04,0.0141,0.02324,1404.21,30.35
2017-12-18,PIVXLTC,0.0231,0.05,0.023,0.02303,1396.98,35.2
2017-12-17,PIVXLTC,0.02051,0.0425,0.02051,0.0231,2032.76,53.31
2017-12-16,PIVXLTC,0.02965,0.02965,0.018,0.02051,459.58,10.17
2017-12-15,PIVXLTC,0.0296,0.02965,0.0178,0.02965,1108.49,23.06
2017-12-14,PIVXLTC,0.0165,0.02965,0.0165,0.0296,380.0,8.79
2017-12-13,PIVXLTC,0.01649,0.02705,0.0141,0.0165,367.59,6.36
2017-12-12,PIVXLTC,0.022,0.02267,0.01414,0.01649,475.25,8.51
2017-12-11,PIVXLTC,0.03313,0.03313,0.022,0.022,413.31,10.09
2017-12-10,PIVXLTC,0.03451,0.04,0.028,0.03313,295.28,9.59
2017-12-09,PIVXLTC,0.073,0.073,0.03205,0.03451,57.15,2.21
2017-12-08,PIVXLTC,0.04484,0.135,0.035,0.073,733.39,34.83
2017-12-07,PIVXLTC,0.05352,0.05777,0.04484,0.04484,332.09,16.61
2017-12-06,PIVXLTC,0.05001,0.065,0.04,0.05352,308.98,15.14
2017-12-05,PIVXLTC,0.054,0.055,0.05001,0.05001,59.43,3.26
2017-12-04,PIVXLTC,0.058,0.058,0.054,0.054,39.42,2.17
2017-12-03,PIVXLTC,0.04919,0.061,0.04919,0.058,144.37,7.32
