Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-06-22 05-AM,BTCILS,33899,34000,33898.9,33999.99,0.412,14004.78
2019-06-22 04-AM,BTCILS,33899,33899,32600.01,33899,0.4879,16381.11
2019-06-22 03-AM,BTCILS,33899,33899,33899,33899,1.039,35236.88
2019-06-22 02-AM,BTCILS,33899,33899,33899,33899,0.02673,906.15
2019-06-22 01-AM,BTCILS,33699.25,33899,33699.25,33899,1.488,50262.14
2019-06-22 12-AM,BTCILS,33699.25,33699.25,33699.25,33699.25,0.0,0.0
2019-06-21 11-PM,BTCILS,33699.25,33699.25,33695,33699.25,0.9622,32424.82
2019-06-21 10-PM,BTCILS,33699.25,33699.25,33699.25,33699.25,0.0,0.0
2019-06-21 09-PM,BTCILS,33699.25,33699.25,33699.25,33699.25,0.0,0.0
2019-06-21 08-PM,BTCILS,33699.25,33699.25,33699.25,33699.25,0.0,0.0
2019-06-21 07-PM,BTCILS,33698.99,33699.25,33698.99,33699.25,0.8759,29517.01
2019-06-21 06-PM,BTCILS,33698.99,33698.99,33698.99,33698.99,0.06169,2078.94
2019-06-21 05-PM,BTCILS,32700,33698.99,32700,33698.99,0.05757,1940.0
2019-06-21 04-PM,BTCILS,33697,33697,32700,32700,0.5108,16794.62
2019-06-21 03-PM,BTCILS,33697,33697,33697,33697,0.0,0.0
2019-06-21 02-PM,BTCILS,33499.84,33697,33499.84,33697,0.4259,14332.29
2019-06-21 01-PM,BTCILS,33500,33500,33499.84,33499.84,0.07559,2532.15
2019-06-21 12-PM,BTCILS,33500,33500,33100,33500,0.1237,4138.61
2019-06-21 11-AM,BTCILS,33402,33500,33400,33500,0.2947,9857.64
2019-06-21 10-AM,BTCILS,33248.99,33402,32776.37,33402,0.3534,11785.65
2019-06-21 09-AM,BTCILS,32322.05,33248.99,32322.05,33248.99,0.1066,3543.23
2019-06-21 08-AM,BTCILS,33249,33249,32322.05,32322.05,1.768,57496.42
2019-06-21 07-AM,BTCILS,33249,33249,33249,33249,0.1673,5562.56
2019-06-21 06-AM,BTCILS,33249,33249,33249,33249,0.1142,3796.71
2019-06-21 05-AM,BTCILS,33200,33249,33200,33249,0.4356,14483.64
2019-06-21 04-AM,BTCILS,33200,33200,33200,33200,0.0,0.0
