Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2017-12-16,DASHBTC,0.05109,0.05285,0.0465,0.05165,47443.24,2352.77
2017-12-15,DASHBTC,0.05683,0.05705,0.04716,0.05109,44656.14,2251.63
2017-12-14,DASHBTC,0.05436,0.05986,0.05283,0.05683,38573.72,2163.94
2017-12-13,DASHBTC,0.05469,0.05538,0.04904,0.05436,43426.13,2311.15
2017-12-12,DASHBTC,0.04541,0.0559,0.04417,0.05469,52134.9,2551.44
2017-12-11,DASHBTC,0.04528,0.04603,0.04227,0.04541,51426.59,2253.97
2017-12-10,DASHBTC,0.04794,0.05079,0.04376,0.04528,54998.94,2584.77
2017-12-09,DASHBTC,0.04401,0.05286,0.04346,0.04794,52128.36,2582.29
2017-12-08,DASHBTC,0.03973,0.05397,0.03659,0.04401,59178.86,2600.86
2017-12-07,DASHBTC,0.04906,0.05069,0.03953,0.03973,52355.59,2320.03
2017-12-06,DASHBTC,0.06295,0.06467,0.04873,0.04906,52778.46,2976.97
2017-12-05,DASHBTC,0.06621,0.06647,0.06263,0.06295,37501.09,2415.24
2017-12-04,DASHBTC,0.06793,0.0682,0.06589,0.06621,31464.77,2094.09
2017-12-03,DASHBTC,0.07032,0.0704,0.06587,0.06793,39995.53,2736.72
2017-12-02,DASHBTC,0.0724,0.07269,0.06897,0.07032,29746.02,2085.88
2017-12-01,DASHBTC,0.07639,0.07964,0.0712,0.0724,32907.21,2467.07
2017-11-30,DASHBTC,0.07061,0.08158,0.06508,0.07639,32150.89,2414.48
2017-11-29,DASHBTC,0.06176,0.0761,0.058,0.07061,40536.48,2635.14
2017-11-28,DASHBTC,0.0642,0.06793,0.06064,0.06176,30053.77,1888.35
2017-11-27,DASHBTC,0.06646,0.06682,0.06348,0.0642,27666.4,1800.82
2017-11-26,DASHBTC,0.07299,0.07299,0.065,0.06646,28786.27,1976.0
2017-11-25,DASHBTC,0.06827,0.07509,0.06826,0.07299,32859.6,2367.98
2017-11-24,DASHBTC,0.07011,0.0712,0.0655,0.06827,25803.23,1760.56
2017-11-23,DASHBTC,0.06988,0.07078,0.06778,0.07011,27097.14,1879.0
2017-11-22,DASHBTC,0.06091,0.07223,0.06081,0.06988,35116.63,2338.23
2017-11-21,DASHBTC,0.05769,0.0637,0.05667,0.06091,28086.6,1682.95
2017-11-20,DASHBTC,0.05473,0.05991,0.05376,0.05769,32252.36,1777.91
2017-11-19,DASHBTC,0.0585,0.0595,0.0535,0.05473,32375.08,1836.37
2017-11-18,DASHBTC,0.05518,0.0632,0.0551,0.0585,39270.14,2288.42
2017-11-17,DASHBTC,0.05327,0.05682,0.05204,0.05518,37563.68,2021.36
2017-11-16,DASHBTC,0.05799,0.05919,0.05215,0.05327,35909.08,1993.33
2017-11-15,DASHBTC,0.06416,0.0644,0.05707,0.058,37112.04,2253.98
2017-11-14,DASHBTC,0.06499,0.06825,0.06068,0.06416,28240.02,1811.27
2017-11-13,DASHBTC,0.08394,0.0854,0.0607,0.06499,37441.36,2537.24
2017-11-12,DASHBTC,0.05435,0.0872,0.05368,0.08394,52053.69,3289.28
2017-11-11,DASHBTC,0.05007,0.05527,0.0493,0.05435,37942.81,1977.39
2017-11-10,DASHBTC,0.04551,0.0509,0.0446,0.05007,46520.22,2199.88
2017-11-09,DASHBTC,0.04231,0.04699,0.04215,0.04551,55490.86,2511.27
2017-11-08,DASHBTC,0.04077,0.04398,0.03875,0.04231,58338.82,2383.12
2017-11-07,DASHBTC,0.03936,0.04208,0.03918,0.04077,50748.14,2056.45
2017-11-06,DASHBTC,0.0369,0.03984,0.03646,0.03936,54912.85,2083.19
2017-11-05,DASHBTC,0.03721,0.0375,0.03565,0.0369,38665.77,1410.57
2017-11-04,DASHBTC,0.03886,0.03944,0.03622,0.03721,43386.49,1638.96
2017-11-03,DASHBTC,0.03741,0.03915,0.0357,0.03886,54576.89,2031.48
2017-11-02,DASHBTC,0.04017,0.04038,0.03422,0.03741,51783.74,1948.78
2017-11-01,DASHBTC,0.04291,0.04376,0.04003,0.04017,44935.28,1889.58
2017-10-31,DASHBTC,0.04651,0.04658,0.04289,0.04291,41851.23,1881.83
2017-10-30,DASHBTC,0.046,0.04706,0.04585,0.04651,37238.93,1731.87
2017-10-29,DASHBTC,0.04776,0.04936,0.04551,0.046,57635.03,2770.5
2017-10-28,DASHBTC,0.04864,0.0499,0.04662,0.04776,36939.01,1800.7
