Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-27 12-PM,BTCEUR,5550.03,5583.48,5541,5574.39,89.02,495443.94
2018-09-27 11-AM,BTCEUR,5530.45,5551,5526.01,5550.03,30.96,171574.37
2018-09-27 10-AM,BTCEUR,5524.98,5535.16,5524.97,5530.45,36.6,202505.19
2018-09-27 09-AM,BTCEUR,5522.45,5534.9,5522.44,5524.98,35.49,196194.31
2018-09-27 08-AM,BTCEUR,5531.85,5531.85,5506,5522.45,45.05,248548.7
2018-09-27 07-AM,BTCEUR,5536.03,5545.98,5526.68,5531.85,31.87,176383.61
2018-09-27 06-AM,BTCEUR,5536.01,5539.49,5520,5536.03,21.0,116236.64
2018-09-27 05-AM,BTCEUR,5521.12,5547.92,5520.01,5536.01,14.93,82676.23
2018-09-27 04-AM,BTCEUR,5537.47,5539.03,5520,5521.12,8.03,44356.26
2018-09-27 03-AM,BTCEUR,5534.75,5539.4,5529.01,5537.47,2.01,11131.65
2018-09-27 02-AM,BTCEUR,5539.01,5540.41,5523.76,5534.75,2.5,13858.43
2018-09-27 01-AM,BTCEUR,5534.52,5547.13,5534.52,5539.01,3.31,18339.57
2018-09-27 12-AM,BTCEUR,5509.02,5536.51,5509.01,5534.52,6.78,37507.75
2018-09-26 11-PM,BTCEUR,5505.01,5522.25,5505,5509.02,5.87,32386.11
2018-09-26 10-PM,BTCEUR,5512,5512.01,5480.1,5505.01,37.37,205452.87
2018-09-26 09-PM,BTCEUR,5545.82,5551.92,5512,5512,27.85,154076.19
2018-09-26 08-PM,BTCEUR,5539,5550,5539,5545.82,21.27,117898.49
2018-09-26 07-PM,BTCEUR,5551.31,5551.31,5521.69,5539,32.51,179851.83
2018-09-26 06-PM,BTCEUR,5557.33,5562.33,5542,5551.31,33.27,184776.92
2018-09-26 05-PM,BTCEUR,5561,5569.97,5552.1,5557.33,38.03,211413.27
2018-09-26 04-PM,BTCEUR,5565.44,5577.65,5560,5561,62.88,350047.04
2018-09-26 03-PM,BTCEUR,5554.65,5570,5549.24,5565.44,47.23,262568.13
2018-09-26 02-PM,BTCEUR,5534.2,5560,5532.64,5554.65,46.4,257333.23
2018-09-26 01-PM,BTCEUR,5547.92,5564.5,5532,5534.2,43.56,241696.13
2018-09-26 12-PM,BTCEUR,5572.94,5580,5539.37,5547.92,46.05,256412.22
2018-09-26 11-AM,BTCEUR,5520.07,5576.87,5520.07,5572.94,74.01,411022.01
2018-09-26 10-AM,BTCEUR,5500.01,5525.12,5500,5520.07,40.06,220900.2
2018-09-26 09-AM,BTCEUR,5493.72,5503.01,5493.72,5500.01,27.83,153021.33
2018-09-26 08-AM,BTCEUR,5500,5505,5492,5493.72,46.7,256822.54
2018-09-26 07-AM,BTCEUR,5478.04,5503.73,5478.04,5500,44.72,245677.84
2018-09-26 06-AM,BTCEUR,5490.04,5504.9,5478,5478.04,41.03,225330.61
2018-09-26 05-AM,BTCEUR,5449.55,5492.52,5449.37,5490.04,24.21,132614.99
2018-09-26 04-AM,BTCEUR,5440.92,5450.09,5440.91,5449.55,8.22,44779.96
2018-09-26 03-AM,BTCEUR,5457.56,5457.56,5440.91,5440.92,10.35,56387.79
2018-09-26 02-AM,BTCEUR,5450.03,5458.65,5450.03,5457.56,4.92,26856.22
2018-09-26 01-AM,BTCEUR,5464.85,5464.86,5450.02,5450.03,8.06,44009.15
2018-09-26 12-AM,BTCEUR,5478.13,5478.57,5464.85,5464.85,9.58,52399.66
2018-09-25 11-PM,BTCEUR,5454.65,5492.53,5454.6,5478.13,17.37,94992.22
2018-09-25 10-PM,BTCEUR,5452.76,5468,5441.01,5454.65,24.28,132461.33
2018-09-25 09-PM,BTCEUR,5450.68,5456.6,5440,5452.76,21.53,117293.7
2018-09-25 08-PM,BTCEUR,5420.01,5465.28,5420,5450.68,63.51,345739.3
2018-09-25 07-PM,BTCEUR,5411.41,5428.2,5411.4,5420.01,31.3,169538.31
2018-09-25 06-PM,BTCEUR,5449,5449,5402,5411.41,54.78,296983.49
2018-09-25 05-PM,BTCEUR,5450,5460,5433.56,5449,36.6,199395.02
2018-09-25 04-PM,BTCEUR,5452.11,5466.59,5445.18,5450,49.46,269928.9
2018-09-25 03-PM,BTCEUR,5458.66,5461.92,5430,5452.11,60.08,327375.13
2018-09-25 02-PM,BTCEUR,5460.41,5464.55,5435.49,5458.66,36.41,198588.12
2018-09-25 01-PM,BTCEUR,5476.55,5476.56,5452,5460.41,95.33,521023.37
2018-09-25 12-PM,BTCEUR,5445.88,5489.34,5434.57,5476.55,70.39,384182.91
2018-09-25 11-AM,BTCEUR,5457.53,5458.06,5425,5445.88,59.92,325867.86
2018-09-25 10-AM,BTCEUR,5457.88,5464.23,5447.2,5457.53,27.37,149301.23
2018-09-25 09-AM,BTCEUR,5462.01,5476.01,5452.63,5457.88,46.05,251479.49
2018-09-25 08-AM,BTCEUR,5439.56,5467.66,5433.14,5462.01,78.32,426737.03
2018-09-25 07-AM,BTCEUR,5475.01,5489.93,5431,5439.56,129.0,704828.4
2018-09-25 06-AM,BTCEUR,5521.32,5527.82,5475,5475.01,32.59,179326.84
2018-09-25 05-AM,BTCEUR,5522.01,5529.1,5511.78,5521.32,27.88,153921.6
2018-09-25 04-AM,BTCEUR,5510.95,5527.93,5510.95,5522.01,7.17,39628.32
2018-09-25 03-AM,BTCEUR,5487.54,5536.17,5487.53,5510.95,20.72,114283.49
2018-09-25 02-AM,BTCEUR,5500.04,5500.04,5474.44,5487.54,15.16,83121.21
2018-09-25 01-AM,BTCEUR,5561.5,5561.51,5488,5500.04,64.71,356669.82
2018-09-25 12-AM,BTCEUR,5605.8,5605.8,5550,5561.5,51.14,284744.39
2018-09-24 11-PM,BTCEUR,5621,5621,5600.02,5605.8,45.35,254199.77
2018-09-24 10-PM,BTCEUR,5649.29,5649.29,5620,5621,28.23,159012.06
2018-09-24 09-PM,BTCEUR,5655.61,5655.61,5640.05,5649.29,15.04,84992.66
2018-09-24 08-PM,BTCEUR,5646.67,5658.41,5640.04,5655.61,20.87,117876.17
2018-09-24 07-PM,BTCEUR,5659.87,5659.88,5645,5646.67,20.67,116807.16
2018-09-24 06-PM,BTCEUR,5650,5667.78,5649.99,5659.87,32.18,182067.12
2018-09-24 05-PM,BTCEUR,5628.34,5650,5625,5650,32.13,181234.06
2018-09-24 04-PM,BTCEUR,5620.01,5628.65,5617.2,5628.34,39.45,221808.67
2018-09-24 03-PM,BTCEUR,5622.25,5623.81,5618.46,5620.01,24.01,134962.72
2018-09-24 02-PM,BTCEUR,5614.99,5623.17,5614.99,5622.25,45.76,257182.66
2018-09-24 01-PM,BTCEUR,5642.65,5644.12,5610,5614.99,54.66,307259.07
2018-09-24 12-PM,BTCEUR,5605.49,5649,5602.01,5642.65,58.77,330481.39
2018-09-24 11-AM,BTCEUR,5633.37,5636.71,5605.49,5605.49,39.95,224487.55
2018-09-24 10-AM,BTCEUR,5612,5636.83,5612,5633.37,41.97,236039.38
2018-09-24 09-AM,BTCEUR,5653,5655.14,5605.64,5612,123.2,692636.33
2018-09-24 08-AM,BTCEUR,5691.57,5693.48,5653,5653,37.19,210947.5
2018-09-24 07-AM,BTCEUR,5673.22,5695.72,5666.36,5691.57,33.42,189904.49
2018-09-24 06-AM,BTCEUR,5708.84,5709,5661.05,5673.22,46.28,263223.65
2018-09-24 05-AM,BTCEUR,5710.94,5711.06,5696.27,5708.84,10.72,61163.25
2018-09-24 04-AM,BTCEUR,5720.15,5720.15,5707.55,5710.94,6.26,35754.06
2018-09-24 03-AM,BTCEUR,5722.69,5722.69,5720.14,5720.15,1.81,10378.4
2018-09-24 02-AM,BTCEUR,5726.56,5729.66,5720.01,5722.69,7.14,40866.94
2018-09-24 01-AM,BTCEUR,5709.99,5726.56,5708.17,5726.56,2.3,13174.07
2018-09-24 12-AM,BTCEUR,5722.87,5722.87,5708.17,5709.99,4.23,24170.42
2018-09-23 11-PM,BTCEUR,5726.56,5726.56,5710.01,5722.87,7.9,45155.08
2018-09-23 10-PM,BTCEUR,5702.27,5730,5695.06,5726.56,19.54,111581.66
2018-09-23 09-PM,BTCEUR,5700.5,5705.01,5688.15,5702.27,18.53,105551.67
2018-09-23 08-PM,BTCEUR,5703.54,5704.95,5695.67,5700.5,9.14,52109.99
2018-09-23 07-PM,BTCEUR,5704.49,5710,5700.01,5703.54,13.77,78562.36
2018-09-23 06-PM,BTCEUR,5700.34,5710,5690.65,5704.49,20.94,119402.64
2018-09-23 05-PM,BTCEUR,5699.83,5709.14,5692.22,5700.34,17.99,102583.38
2018-09-23 04-PM,BTCEUR,5699.96,5700,5677.52,5699.83,23.19,131987.24
2018-09-23 03-PM,BTCEUR,5695,5715.01,5677.52,5699.96,40.83,232845.12
2018-09-23 02-PM,BTCEUR,5737.41,5747.12,5677.52,5695,52.08,297563.19
2018-09-23 01-PM,BTCEUR,5733,5739,5723.37,5737.41,16.93,97054.06
2018-09-23 12-PM,BTCEUR,5748.94,5748.94,5724.77,5733,19.93,114311.67
2018-09-23 11-AM,BTCEUR,5759.47,5759.87,5746.1,5748.94,26.6,153055.22
2018-09-23 10-AM,BTCEUR,5767.98,5767.98,5754.98,5759.47,15.76,90724.79
2018-09-23 09-AM,BTCEUR,5731.99,5768,5723.37,5767.98,60.56,348275.89
2018-09-23 08-AM,BTCEUR,5722.14,5735,5722.11,5731.99,19.76,113202.97
2018-09-23 07-AM,BTCEUR,5715.01,5745.99,5714.01,5722.14,38.21,218812.37
2018-09-23 06-AM,BTCEUR,5725.02,5725.03,5715,5715.01,8.49,48588.09
2018-09-23 05-AM,BTCEUR,5725,5725.03,5725,5725.02,3.28,18749.7
2018-09-23 04-AM,BTCEUR,5711.7,5725.03,5711.69,5725,3.72,21248.39
