Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume LTC
2018-09-15,NEOLTC,0.3124,0.3643,0.3124,0.333,33.28,11.06
2018-09-14,NEOLTC,0.3336,0.3508,0.3124,0.3124,8.96,2.95
2018-09-13,NEOLTC,0.3416,0.3544,0.328,0.3336,10.89,3.68
2018-09-12,NEOLTC,0.3552,0.3552,0.3377,0.3416,18.2,6.22
2018-09-11,NEOLTC,0.3518,0.3552,0.3384,0.3552,208.44,72.22
2018-09-10,NEOLTC,0.339,0.3518,0.3343,0.3518,27.8,9.44
2018-09-09,NEOLTC,0.3387,0.3445,0.3352,0.339,21.53,7.37
2018-09-08,NEOLTC,0.3496,0.3534,0.3387,0.3387,5.0,1.74
2018-09-07,NEOLTC,0.3567,0.3626,0.3421,0.3496,50.41,17.98
2018-09-06,NEOLTC,0.3493,0.3593,0.3468,0.3567,25.03,8.89
2018-09-05,NEOLTC,0.3558,0.3592,0.3414,0.3493,77.6,27.54
2018-09-04,NEOLTC,0.3522,0.3692,0.341,0.3558,15.95,5.65
2018-09-03,NEOLTC,0.341,0.3557,0.3265,0.3522,23.32,8.06
2018-09-02,NEOLTC,0.3385,0.3467,0.3312,0.341,48.07,16.32
2018-09-01,NEOLTC,0.3258,0.3447,0.3219,0.3385,35.92,11.97
2018-08-31,NEOLTC,0.3191,0.3291,0.3151,0.3258,8.61,2.76
2018-08-30,NEOLTC,0.3233,0.3321,0.314,0.3191,11.76,3.77
2018-08-29,NEOLTC,0.3368,0.3425,0.3233,0.3233,21.8,7.14
2018-08-28,NEOLTC,0.33,0.3467,0.3273,0.3368,3.2,1.06
2018-08-27,NEOLTC,0.3056,0.3416,0.3056,0.33,8.03,2.59
2018-08-26,NEOLTC,0.3035,0.3056,0.2966,0.3056,11.91,3.58
2018-08-25,NEOLTC,0.3121,0.3121,0.3,0.3035,11.76,3.58
2018-08-24,NEOLTC,0.3085,0.3331,0.3,0.3121,43.11,13.19
2018-08-23,NEOLTC,0.318,0.324,0.3062,0.3085,14.4,4.52
2018-08-22,NEOLTC,0.3234,0.338,0.31,0.318,54.5,17.45
2018-08-21,NEOLTC,0.3341,0.3361,0.3168,0.3234,21.64,7.11
2018-08-20,NEOLTC,0.3331,0.3517,0.3202,0.3341,38.49,12.95
