Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MUSD
2018-10-22,QTUMUSD,3.88,4,3.88,4,6.15,24.08
2018-10-21,QTUMUSD,3.88,3.88,3.5,3.88,11.16,41.57
2018-10-20,QTUMUSD,3.88,3.88,3.88,3.88,0.0,0.0
2018-10-19,QTUMUSD,0.204,3.88,0.204,3.88,2.71,10.49
2018-10-18,QTUMUSD,0.204,0.204,0.204,0.204,0.0,0.0
2018-10-17,QTUMUSD,5,5,0.204,0.204,1.64,4.27
2018-10-16,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-15,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-14,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-13,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-12,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-11,QTUMUSD,5,5,5,5,0.0,0.0
2018-10-10,QTUMUSD,380,380,5,5,21.03,105.15
2018-10-09,QTUMUSD,380,380,380,380,0.0,0.0
2018-10-08,QTUMUSD,380,380,380,380,0.0,0.0
2018-10-07,QTUMUSD,380,380,380,380,0.0,0.0
2018-10-06,QTUMUSD,380,380,380,380,0.0,0.0
2018-10-05,QTUMUSD,2,380,2,380,21.2,556.0
2018-10-04,QTUMUSD,2,2,2,2,0.0,0.0
2018-10-03,QTUMUSD,2,2,2,2,0.0,0.0
2018-10-02,QTUMUSD,2,2,2,2,0.0,0.0
2018-10-01,QTUMUSD,2,2,2,2,0.0,0.0
2018-09-30,QTUMUSD,2,2,2,2,0.0,0.0
2018-09-29,QTUMUSD,2,2,2,2,0.0,0.0
2018-09-28,QTUMUSD,2,2,2,2,0.0,0.0
2018-09-27,QTUMUSD,0.4,2,0.4,2,11.84,23.7
2018-09-26,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-25,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-24,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-23,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-22,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-21,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-20,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-19,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-18,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-17,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
