Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume KRW
2018-10-03,XRPKRW,583,609,570,600,86806545.16,51487291104.13
2018-10-02,XRPKRW,643,647,581,583,80513080.98,49900257197.25
2018-10-01,XRPKRW,648,674,597,643,154829381.78,99113463563.58
2018-09-30,XRPKRW,636,693,628,648,144018501.77,94837619290.65
2018-09-29,XRPKRW,601,666,590,636,100317361.78,62879912103.33
2018-09-28,XRPKRW,605,614,576,601,80321480.67,47906105309.06
2018-09-27,XRPKRW,580,619,571,605,98427380.95,58537245333.67
2018-09-26,XRPKRW,593,644,550,580,238067300.74,141608636276.73
2018-09-25,XRPKRW,557,620,498,593,200256475.46,106575796231.4
2018-09-24,XRPKRW,640,653,545,557,120822215.97,72141336270.59
2018-09-23,XRPKRW,640,670,620,640,110237732.25,71166291165.39
2018-09-22,XRPKRW,625,699,547,640,273330392.52,171503143951.63
2018-09-21,XRPKRW,503,872,481,625,352029996.59,211455992850.47
2018-09-20,XRPKRW,371,550,362,503,155382894.25,67809232078.5
2018-09-19,XRPKRW,365,384,354,371,73365482.31,27046796830.38
2018-09-18,XRPKRW,310,385,310,365,107583001.76,37987010786.58
2018-09-17,XRPKRW,316,320,306,310,29474368.74,9294236535.2
2018-09-16,XRPKRW,317,318,310,316,28462657.45,8979633174.61
2018-09-15,XRPKRW,313,319,312,317,19883610.85,6287690593.26
2018-09-14,XRPKRW,317,323,309,313,31058206.81,9811559235.02
2018-09-13,XRPKRW,308,323,305,317,41670189.23,13071086416.16
2018-09-12,XRPKRW,302,314,292,308,55160080.29,16529008532.52
2018-09-11,XRPKRW,311,316,293,302,43642464.4,13346892591.64
2018-09-10,XRPKRW,320,326,302,311,49644760.43,15728071150.15
2018-09-09,XRPKRW,323,336,314,320,31701158.68,10266159896.84
2018-09-08,XRPKRW,333,338,313,323,22906604.46,7534429150.1
2018-09-07,XRPKRW,347,351,325,333,37539367.97,12804258758.76
2018-09-06,XRPKRW,320,351,310,347,58163538.0,19192856932.37
2018-09-05,XRPKRW,372,375,318,320,75581352.19,26618533725.95
2018-09-04,XRPKRW,375,382,371,372,57838283.43,21720839203.62
2018-09-03,XRPKRW,380,382,373,375,39152386.37,14801614693.86
2018-09-02,XRPKRW,386,388,376,380,44977362.38,17142871008.18
2018-09-01,XRPKRW,375,391,375,386,53258403.18,20283559721.76
2018-08-31,XRPKRW,378,382,369,375,44378855.72,16554108435.26
2018-08-30,XRPKRW,382,387,363,378,50892014.59,19189700735.1
2018-08-29,XRPKRW,389,396,379,382,53920346.77,20873074814.03
2018-08-28,XRPKRW,377,395,373,389,70213096.07,26898787833.5
2018-08-27,XRPKRW,364,380,362,377,43541395.41,16012718719.17
2018-08-26,XRPKRW,369,371,360,364,32172609.68,11817501556.32
2018-08-25,XRPKRW,370,377,365,369,50299776.63,18731167692.83
2018-08-24,XRPKRW,373,374,361,370,29150160.06,10732465578.59
2018-08-23,XRPKRW,364,376,362,373,31212506.33,11495170820.04
2018-08-22,XRPKRW,381,402,357,364,62608380.61,23913992354.28
2018-08-21,XRPKRW,367,387,364,381,37287707.85,14064369019.39
2018-08-20,XRPKRW,394,403,362,367,50883352.12,19555992928.96
2018-08-19,XRPKRW,380,410,369,394,60791956.32,23771672354.19
2018-08-18,XRPKRW,419,423,364,380,82472713.91,32244971961.35
2018-08-17,XRPKRW,340,433,339,419,89244207.73,33698823359.61
2018-08-16,XRPKRW,328,348,321,340,30915529.85,10335347811.33
2018-08-15,XRPKRW,320,349,320,328,58630937.76,19599713703.39
2018-08-14,XRPKRW,326,328,292,320,62080076.47,19084260075.87
2018-08-13,XRPKRW,347,362,322,326,35069513.82,12080729572.53
2018-08-12,XRPKRW,345,345,345,345,0.0,0.0
2018-08-11,XRPKRW,375,377,340,345,32057651.43,11359836932.25
2018-08-10,XRPKRW,397,400,367,375,32842044.9,12658806059.01
2018-08-09,XRPKRW,387,415,383,397,48535464.48,19389474505.59
2018-08-08,XRPKRW,438,438,379,387,65708551.68,26518867638.15
2018-08-07,XRPKRW,478,479,433,438,38079577.97,17570759741.29
2018-08-06,XRPKRW,499,502,468,478,22630326.0,11026750449.08
2018-08-05,XRPKRW,494,502,492,499,11645640.68,5788612416.24
2018-08-04,XRPKRW,504,507,490,494,15875623.03,7916460963.51
2018-08-03,XRPKRW,495,513,489,504,29849559.65,14938047021.21
2018-08-02,XRPKRW,508,511,494,495,17161569.63,8600190651.13
2018-08-01,XRPKRW,492,535,483,508,48393554.81,24703975709.33
2018-07-31,XRPKRW,504,504,483,492,22398422.48,11044845447.57
2018-07-30,XRPKRW,507,509,496,504,18716855.71,9424944708.87
2018-07-29,XRPKRW,508,510,504,507,12921881.92,6552213848.33
2018-07-28,XRPKRW,507,509,503,508,12266399.53,6206776404.59
2018-07-27,XRPKRW,508,513,502,507,25750226.76,13030994076.17
2018-07-26,XRPKRW,513,522,503,508,22021667.56,11328461132.84
2018-07-25,XRPKRW,518,522,509,513,15232729.15,7833897836.86
2018-07-24,XRPKRW,505,532,500,518,49030568.12,25268584039.67
2018-07-23,XRPKRW,504,516,502,505,32766715.42,16705854329.86
2018-07-22,XRPKRW,513,521,502,504,24694835.14,12658943303.74
2018-07-21,XRPKRW,506,518,494,513,21092713.86,10724831891.03
2018-07-20,XRPKRW,537,538,494,506,49769649.96,25743305948.63
2018-07-19,XRPKRW,540,547,526,537,35156063.38,18819076638.15
2018-07-18,XRPKRW,553,577,530,540,54620205.63,30461996566.36
2018-07-17,XRPKRW,534,570,517,553,47662188.86,25655846066.4
2018-07-16,XRPKRW,505,534,498,534,70359648.45,36109783728.51
2018-07-15,XRPKRW,500,513,497,505,38139976.6,19274175535.2
2018-07-14,XRPKRW,499,505,494,500,28524084.7,14221405613.62
2018-07-13,XRPKRW,497,506,491,499,36028967.41,18023302819.64
2018-07-12,XRPKRW,510,511,485,497,35862599.69,17843026682.24
2018-07-11,XRPKRW,503,514,498,510,53217765.59,26968463451.16
2018-07-10,XRPKRW,530,531,500,503,47925360.87,24611925180.06
2018-07-09,XRPKRW,534,539,530,530,27173943.79,14486103570.0
2018-07-08,XRPKRW,540,545,531,534,40390989.17,21722090422.81
2018-07-07,XRPKRW,539,543,524,540,30654609.05,16309528579.47
2018-07-06,XRPKRW,534,544,516,539,38544467.88,20406550377.98
2018-07-05,XRPKRW,541,550,523,534,50051120.13,26855667597.0
2018-07-04,XRPKRW,536,555,518,541,51130076.77,27432154043.39
2018-07-03,XRPKRW,540,574,528,536,74010027.18,40701631662.46
