Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-12-27,ZECRUR,4233.86,4288.97,4000,4000,27.82,112816.43
2018-12-26,ZECRUR,4246,4900,3800,4233.86,38.68,162907.78
2018-12-25,ZECRUR,4757.64,4757.64,4065.2,4246,53.75,234110.77
2018-12-24,ZECRUR,4517.15,5060,4517.15,4757.64,72.48,349749.4
2018-12-23,ZECRUR,4390.06,4655.18,4204,4517.15,69.96,318942.24
2018-12-22,ZECRUR,4318.4,4441.59,4200,4390.06,36.18,155282.9
2018-12-21,ZECRUR,4493.17,4635,4264.15,4318.4,81.94,367211.87
2018-12-20,ZECRUR,4053.88,4493.17,3901.41,4493.17,76.62,325641.21
2018-12-19,ZECRUR,4010,4500,3963.68,4053.88,113.69,481496.83
2018-12-18,ZECRUR,3900,4026,3650,4010,38.32,147263.65
2018-12-17,ZECRUR,3533.61,4000,3533.61,3900,58.01,219921.51
2018-12-16,ZECRUR,3571.08,3700.38,3515.34,3533.61,23.95,87363.03
2018-12-15,ZECRUR,3550.3,3676.25,3416.3,3571.08,22.6,79500.54
2018-12-14,ZECRUR,3808.94,3838.4,3500,3550.3,36.6,133790.75
2018-12-13,ZECRUR,3995,4100,3701,3808.94,50.18,194991.51
2018-12-12,ZECRUR,3895.75,4200,3880,3995,35.34,142679.36
2018-12-11,ZECRUR,4001.08,4087.75,3895.75,3895.75,27.2,107654.15
2018-12-10,ZECRUR,4279.99,4286.76,4001.03,4001.08,29.08,119251.59
2018-12-09,ZECRUR,4192.19,4450,4061.84,4279.99,21.72,92973.14
2018-12-08,ZECRUR,4200,4421.77,4000,4192.19,37.86,159029.55
2018-12-07,ZECRUR,4607.78,4709.91,3850,4200,78.85,321954.64
2018-12-06,ZECRUR,4899,5512,4500,4607.78,51.79,245226.0
2018-12-05,ZECRUR,5392.08,5486.79,4770,4899,49.01,251324.76
2018-12-04,ZECRUR,5290,5598.01,5250.07,5392.08,71.09,383355.48
2018-12-03,ZECRUR,5720,5898.19,5218.59,5290,51.07,284530.62
2018-12-02,ZECRUR,5835.51,5963.68,5691,5720,47.51,272749.0
2018-12-01,ZECRUR,5919.91,6400,5757.85,5835.51,44.51,270066.38
2018-11-30,ZECRUR,6300,6622.56,5680,5919.91,58.2,353636.42
2018-11-29,ZECRUR,5697.67,6874.52,5472.1,6300,57.79,348554.5
2018-11-28,ZECRUR,5243.67,5900,4810.95,5697.67,34.24,185032.39
2018-11-27,ZECRUR,4709.3,5284,4562.99,5243.67,59.52,288921.22
2018-11-26,ZECRUR,4750.6,5300,4550,4709.3,42.15,202236.82
2018-11-25,ZECRUR,4626.48,5100,4250,4750.6,73.73,339919.94
2018-11-24,ZECRUR,5246.78,5611.33,4626.48,4626.48,22.53,117453.36
2018-11-23,ZECRUR,5611,5836,5008.13,5246.78,49.26,267122.34
2018-11-22,ZECRUR,5960.47,6000,5600,5611,26.13,151518.39
2018-11-21,ZECRUR,5733.21,6495,5710,5960.47,44.13,263516.17
2018-11-20,ZECRUR,6800.64,7000,5667.37,5733.21,95.41,584208.39
2018-11-19,ZECRUR,8023.81,8023.81,6503,6800.64,93.47,660004.48
2018-11-18,ZECRUR,7700,8198.39,7586.46,8023.81,36.93,291057.77
2018-11-17,ZECRUR,7626.17,7858,7355.03,7700,27.37,208800.88
2018-11-16,ZECRUR,7800,7999.5,7500.1,7626.17,23.82,183490.35
2018-11-15,ZECRUR,7934,8095.12,7300,7800,69.64,534982.84
2018-11-14,ZECRUR,8650,8696.78,7920,7934,84.7,704403.07
2018-11-13,ZECRUR,9000,9138,8514.14,8650,50.42,445296.54
2018-11-12,ZECRUR,8550,9202.02,8261,9000,79.08,693372.85
2018-11-11,ZECRUR,8801,8874.46,8500,8550,65.47,568940.67
2018-11-10,ZECRUR,8851.57,9216,8777.41,8801,27.6,248182.51
2018-11-09,ZECRUR,8999,9100,8678.21,8851.57,56.48,502349.71
2018-11-08,ZECRUR,8435,8999,8225,8999,90.0,769406.05
2018-11-07,ZECRUR,8465.2,8585.75,8210.11,8435,52.49,440007.06
2018-11-06,ZECRUR,7942.13,8470,7841.57,8465.2,107.64,880649.59
2018-11-05,ZECRUR,7966.56,8075.9,7800,7942.13,54.74,429224.93
2018-11-04,ZECRUR,7750.84,8088,7710,7966.56,24.01,189600.91
2018-11-03,ZECRUR,7672.47,7892.47,7655,7750.84,15.09,117261.4
2018-11-02,ZECRUR,7672.97,7900,7620,7672.47,29.37,227492.96
2018-11-01,ZECRUR,7786.27,7786.27,7301,7672.97,38.47,292302.61
2018-10-31,ZECRUR,7865.58,7865.58,7598,7786.27,32.14,246456.1
2018-10-30,ZECRUR,7858.05,7915.89,7626.25,7865.58,18.58,143358.46
2018-10-29,ZECRUR,8100,8100,7700,7858.05,38.02,298356.66
2018-10-28,ZECRUR,7972.03,8100,7910.48,8100,24.02,191512.2
2018-10-27,ZECRUR,8045,8197,7950,7972.03,8.2,65487.8
2018-10-26,ZECRUR,8258.53,8366.63,7910.12,8045,32.12,257321.05
2018-10-25,ZECRUR,8275,8500,8181.4,8258.53,62.64,520719.67
2018-10-24,ZECRUR,7926.28,8275.63,7926.28,8275,32.19,261018.57
2018-10-23,ZECRUR,8100.12,8144,7900,7926.28,22.11,175646.07
2018-10-22,ZECRUR,8265.33,8300,8014.39,8100.12,21.9,177923.9
2018-10-21,ZECRUR,8333.31,8446.94,7908.24,8265.33,35.6,293993.0
2018-10-20,ZECRUR,8072.76,8450,7908.27,8333.31,55.4,451725.13
2018-10-19,ZECRUR,7785.52,8163.27,7641.76,8072.76,47.93,378007.01
2018-10-18,ZECRUR,7874.95,8050,7701.01,7785.52,39.84,314683.02
2018-10-17,ZECRUR,7625,7950,7250,7874.95,42.34,318070.54
2018-10-16,ZECRUR,7476.61,7625,7300,7625,33.19,247735.36
2018-10-15,ZECRUR,7633.7,7822.4,7399,7476.61,41.72,316669.22
2018-10-14,ZECRUR,7683.92,7759.94,7605,7633.7,12.5,95940.31
2018-10-13,ZECRUR,7720.26,7873.14,7643.27,7683.92,27.09,209727.01
2018-10-12,ZECRUR,7800,7800,7570.04,7720.26,47.95,367776.31
2018-10-11,ZECRUR,8398.13,8398.13,7777,7800,41.95,332537.48
2018-10-10,ZECRUR,8498.89,8498.89,8280,8398.13,27.41,228266.91
2018-10-09,ZECRUR,8361.56,8630,8361.56,8498.89,43.49,370286.9
2018-10-08,ZECRUR,8450,8500,8300,8361.56,26.36,220715.39
2018-10-07,ZECRUR,8531.99,8643.54,8363.29,8450,14.1,118815.17
2018-10-06,ZECRUR,8734.13,8734.13,8425,8531.99,21.35,181133.92
2018-10-05,ZECRUR,8327.67,8748,8272.01,8734.13,88.31,741514.31
2018-10-04,ZECRUR,8096.63,8443.76,8096.63,8327.67,28.89,237969.74
2018-10-03,ZECRUR,8401.13,8497.18,8093.05,8096.63,43.92,362836.4
2018-10-02,ZECRUR,8533,8533,8370.34,8401.13,17.82,150656.23
2018-10-01,ZECRUR,8768.36,8880.71,8505.41,8533,41.18,355367.4
2018-09-30,ZECRUR,9050,9050,8665.63,8768.36,60.94,539214.36
2018-09-29,ZECRUR,9100,9185.19,8900,9050,55.43,499084.49
2018-09-28,ZECRUR,9546.57,9581.38,9054.12,9100,100.09,926564.36
2018-09-27,ZECRUR,9102.22,9615,9054.12,9546.57,96.29,898162.51
2018-09-26,ZECRUR,9263.05,9614,8808.43,9102.22,86.34,786423.5
2018-09-25,ZECRUR,9380.87,9406.79,8710.54,9263.05,95.53,859209.46
2018-09-24,ZECRUR,8943.34,10071.13,8522.42,9380.87,222.27,2077967.48
2018-09-23,ZECRUR,8450,9069.65,8360,8943.34,73.41,647623.11
2018-09-22,ZECRUR,8435,8658.11,8250,8450,35.4,296622.98
2018-09-21,ZECRUR,8128.96,8593.6,7913.81,8435,103.86,854674.8
2018-09-20,ZECRUR,7838.88,8135.46,7700,8128.96,36.37,288572.6
2018-09-19,ZECRUR,7778.35,7999,7645.86,7838.88,34.41,268787.57
2018-09-18,ZECRUR,7722.2,7945.76,7642.07,7778.35,40.84,317782.74
2018-09-17,ZECRUR,8310,8347.12,7642.07,7722.2,49.24,391464.32
2018-09-16,ZECRUR,8425.75,8497.26,8155.17,8310,27.39,226210.94
2018-09-15,ZECRUR,8631.23,8694.49,8297.4,8425.75,39.96,338805.31
2018-09-14,ZECRUR,8364.95,8830,7935.65,8631.23,63.01,523014.03
2018-09-13,ZECRUR,8049.79,8499.98,7905.13,8364.95,60.33,498202.27
2018-09-12,ZECRUR,8007.66,8192.64,7290.19,8049.79,79.96,612707.99
2018-09-11,ZECRUR,8711.22,8711.22,8002,8007.66,55.12,461730.08
2018-09-10,ZECRUR,8950,9058.29,8650,8711.22,50.11,439397.52
2018-09-09,ZECRUR,8901.11,9400.35,8701,8950,40.37,364317.0
2018-09-08,ZECRUR,9192.59,9750,8901.11,8901.11,48.73,457711.44
2018-09-07,ZECRUR,9361,9570,9103.57,9192.59,37.44,346723.26
2018-09-06,ZECRUR,9303.38,9797,8961.84,9361,90.19,827439.54
2018-09-05,ZECRUR,10525.8,10650,9300,9303.38,82.22,827597.24
2018-09-04,ZECRUR,10566.21,10695.17,10400,10525.8,53.48,561022.14
2018-09-03,ZECRUR,10250.89,10733.77,10010,10566.21,59.86,611113.13
2018-09-02,ZECRUR,10512.15,10699,10000,10250.89,47.65,490574.32
2018-09-01,ZECRUR,10004.19,10768.61,9899.88,10512.15,87.12,901631.97
2018-08-31,ZECRUR,10134.76,10182,9727.23,10004.19,49.78,495340.62
2018-08-30,ZECRUR,10162.01,10205.63,9777.06,10134.76,53.48,535349.37
2018-08-29,ZECRUR,10269.9,10450,10150,10162.01,72.22,740015.71
2018-08-28,ZECRUR,9900.01,10498.83,9557.96,10269.9,102.19,1026928.11
2018-08-27,ZECRUR,9050,10000.15,8900,9900.01,76.84,714934.23
2018-08-26,ZECRUR,9339.45,9339.45,9000.1,9050,28.88,263136.75
2018-08-25,ZECRUR,9400,9500,9100,9339.45,22.72,209460.29
