Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUR
2018-11-17,LTCRUR,3039.27,3039.27,2920,2992.18,237.69,705707.46
2018-11-16,LTCRUR,3170.12,3182,2999.67,3039.27,325.04,987193.51
2018-11-15,LTCRUR,3175,3272.39,2955,3170.12,403.46,1236177.93
2018-11-14,LTCRUR,3332.65,3450,3064,3175,386.19,1253966.28
2018-11-13,LTCRUR,3428.27,3466.67,3322.71,3332.65,167.41,570827.08
2018-11-12,LTCRUR,3436.72,3499,3392.7,3428.27,218.94,752341.56
2018-11-11,LTCRUR,3537,3540,3405.89,3436.72,163.72,568090.65
2018-11-10,LTCRUR,3493.32,3550,3453.57,3537,116.93,410375.67
2018-11-09,LTCRUR,3470,3536.57,3400,3493.32,170.2,591031.89
2018-11-08,LTCRUR,3550.2,3588.03,3449.66,3470,153.96,541359.36
2018-11-07,LTCRUR,3642.09,3670,3500,3550.2,199.41,713118.07
2018-11-06,LTCRUR,3566.23,3663.87,3500.67,3642.09,230.58,822070.13
2018-11-05,LTCRUR,3600.57,3676.87,3496,3566.23,146.2,518627.21
2018-11-04,LTCRUR,3449,3730,3407.81,3600.57,276.23,985835.81
2018-11-03,LTCRUR,3453.59,3457,3360,3449,178.2,607306.19
2018-11-02,LTCRUR,3342.44,3456.41,3314.41,3453.59,138.59,471656.86
2018-11-01,LTCRUR,3338.8,3374.55,3300,3342.44,180.45,601731.11
2018-10-31,LTCRUR,3333.1,3369.46,3281.5,3338.8,243.35,807938.17
2018-10-30,LTCRUR,3343.34,3366.74,3300,3333.1,132.93,441039.24
2018-10-29,LTCRUR,3448.1,3476.02,3300,3343.34,119.82,404688.14
2018-10-28,LTCRUR,3460.3,3500,3425.7,3448.1,92.83,321787.87
2018-10-27,LTCRUR,3497.97,3509,3450,3460.3,154.68,536737.23
2018-10-26,LTCRUR,3498.85,3526.44,3433.73,3497.97,134.14,466890.98
2018-10-25,LTCRUR,3501.27,3550,3440.45,3498.85,158.63,552435.83
2018-10-24,LTCRUR,3476,3548.23,3465.1,3501.27,213.18,744834.41
2018-10-23,LTCRUR,3514.82,3550,3438.32,3476,215.47,754069.77
2018-10-22,LTCRUR,3556.27,3620,3474.03,3514.82,228.64,807940.88
2018-10-21,LTCRUR,3618,3676,3541.67,3556.27,166.14,597737.77
2018-10-20,LTCRUR,3575.03,3676,3540.2,3618,139.6,502572.82
2018-10-19,LTCRUR,3533.5,3636,3492,3575.03,165.51,588672.41
2018-10-18,LTCRUR,3560,3624.08,3493,3533.5,174.26,618973.88
2018-10-17,LTCRUR,3629.57,3640,3500,3560,183.96,659332.58
2018-10-16,LTCRUR,3686.19,3740,3608.2,3629.57,228.76,837348.83
2018-10-15,LTCRUR,3690,3850,3641.7,3686.19,287.63,1067335.22
2018-10-14,LTCRUR,3750.26,3787.21,3690,3690,150.41,562296.66
2018-10-13,LTCRUR,3783.4,3844.14,3641,3750.26,158.41,593723.04
2018-10-12,LTCRUR,3610.63,3785,3596.73,3783.4,221.82,819503.12
2018-10-11,LTCRUR,3926.25,3969.13,3600,3610.63,281.28,1032463.3
2018-10-10,LTCRUR,3958.58,3980.83,3890,3926.25,256.09,1005803.94
2018-10-09,LTCRUR,3999.54,4000.03,3931,3958.58,130.4,516507.41
2018-10-08,LTCRUR,3930.6,4031.08,3920,3999.54,229.63,907558.83
2018-10-07,LTCRUR,3921.42,4000,3900.3,3930.6,185.01,730479.78
2018-10-06,LTCRUR,4050,4050,3900,3921.42,105.08,413951.75
2018-10-05,LTCRUR,3920,4050,3899,4050,153.66,604417.82
2018-10-04,LTCRUR,3900,4022,3890,3920,231.67,912800.35
2018-10-03,LTCRUR,4010,4045.97,3890,3900,218.43,859877.48
2018-10-02,LTCRUR,4074.43,4100.23,4004.24,4010,180.94,730691.55
2018-10-01,LTCRUR,4108.09,4135.87,3981,4074.43,167.79,680806.12
2018-09-30,LTCRUR,4149.14,4190,4075.1,4108.09,142.15,585506.62
2018-09-29,LTCRUR,4148.87,4239.9,4070,4149.14,141.86,589480.32
2018-09-28,LTCRUR,4230.16,4313.48,4100,4148.87,144.49,605508.91
2018-09-27,LTCRUR,3934.68,4350.22,3907.48,4230.16,308.41,1285771.43
2018-09-26,LTCRUR,3964.5,4100,3904,3934.68,190.44,756886.43
2018-09-25,LTCRUR,3929.62,4000.12,3800,3964.5,167.16,648745.75
2018-09-24,LTCRUR,4200,4200,3900.1,3929.62,193.16,773081.47
2018-09-23,LTCRUR,4129.06,4316.68,4109.78,4200,238.25,998544.97
