Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-06-02,LTCEUR,104,107.7,103.5,107,65.8,6999.4
2018-06-01,LTCEUR,102.31,104,101.28,104,50.76,5207.64
2018-05-31,LTCEUR,102.56,105.03,101.64,102.31,69.14,7153.42
2018-05-30,LTCEUR,104.61,107.04,101.25,102.56,178.5,18653.75
2018-05-29,LTCEUR,97.51,107.15,96.76,104.61,241.07,24767.56
2018-05-28,LTCEUR,102.81,103.41,96.92,97.51,201.06,20048.91
2018-05-27,LTCEUR,103.54,103.64,102,102.81,149.78,15406.83
2018-05-26,LTCEUR,103.17,106.2,102.4,103.54,153.72,16083.89
2018-05-25,LTCEUR,105.59,106.95,101.87,103.17,201.7,20950.87
2018-05-24,LTCEUR,103.19,107.41,99.45,105.59,249.36,25973.39
2018-05-23,LTCEUR,109.84,110.27,101.91,103.19,264.7,28111.47
2018-05-22,LTCEUR,115.23,116.15,109.29,109.84,161.37,18299.29
2018-05-21,LTCEUR,118.86,119.17,114.68,115.23,148.76,17377.85
2018-05-20,LTCEUR,114.71,119.5,114.17,118.86,175.03,20551.72
2018-05-19,LTCEUR,116.19,116.93,113.57,114.71,167.35,19303.02
2018-05-18,LTCEUR,113.53,117.43,111.5,116.19,199.07,22678.64
2018-05-17,LTCEUR,118.12,119.38,112.78,113.53,210.99,24737.9
2018-05-16,LTCEUR,118.08,119.92,114.39,118.12,222.02,25960.59
2018-05-15,LTCEUR,124.43,125.67,117.2,118.08,243.91,29597.26
2018-05-14,LTCEUR,123.5,128.21,115.17,124.43,354.69,43062.62
2018-05-13,LTCEUR,121.18,124.89,116.85,123.5,223.54,27008.05
2018-05-12,LTCEUR,115.46,121.87,112.05,121.18,226.06,26543.52
2018-05-11,LTCEUR,125.69,125.93,113.74,115.46,291.92,34859.03
2018-05-10,LTCEUR,132.21,135.33,125.18,125.69,189.74,24877.0
2018-05-09,LTCEUR,134.04,144.99,128.82,132.21,223.11,29522.73
2018-05-08,LTCEUR,138.41,142.2,133.51,134.04,193.04,26347.36
2018-05-07,LTCEUR,143.61,143.74,133.97,138.41,229.76,31667.28
2018-05-06,LTCEUR,147.53,151.7,138.73,143.61,286.66,41167.71
2018-05-05,LTCEUR,141.22,151.94,140.01,147.53,282.28,40976.29
2018-05-04,LTCEUR,133.87,142.74,131.19,141.22,283.84,38433.42
2018-05-03,LTCEUR,126.68,136.11,125.36,133.87,225.7,29352.04
2018-05-02,LTCEUR,123.7,127.83,121.91,126.68,143.4,17847.85
2018-05-01,LTCEUR,123,123.7,119.8,123.7,155.11,18804.09
2018-04-30,LTCEUR,126.34,126.68,122.81,123,148.69,18559.09
2018-04-29,LTCEUR,125.84,128.27,122.76,126.34,174.29,21888.02
2018-04-28,LTCEUR,120.83,127,120.45,125.84,208.66,25951.83
2018-04-27,LTCEUR,127.34,127.58,120.64,120.83,229.36,28646.05
2018-04-26,LTCEUR,119.38,127.38,118.13,127.34,216.13,26263.5
2018-04-25,LTCEUR,135.54,135.8,118.04,119.38,412.48,51351.67
2018-04-24,LTCEUR,125.07,136.12,124.62,135.54,270.0,35850.07
2018-04-23,LTCEUR,123,126.05,121.48,125.07,179.22,22246.88
2018-04-22,LTCEUR,120.53,125.61,119.46,123,258.67,31731.63
2018-04-21,LTCEUR,126.13,127.8,115.09,120.53,282.66,34440.22
2018-04-20,LTCEUR,118.58,126.94,117.38,126.13,228.95,27853.4
2018-04-19,LTCEUR,113.73,119.57,112.1,118.58,254.82,29488.14
2018-04-18,LTCEUR,108.84,115,108.76,113.73,197.47,22050.08
2018-04-17,LTCEUR,105.55,114.3,105.07,108.84,313.06,34563.92
2018-04-16,LTCEUR,107.71,108.2,102.73,105.55,201.0,21053.03
2018-04-15,LTCEUR,103.76,108.85,103.68,107.71,224.86,23904.74
2018-04-14,LTCEUR,104.38,107.09,102,103.76,214.28,22317.44
2018-04-13,LTCEUR,105.49,110.51,101.83,104.38,321.66,34171.89
2018-04-12,LTCEUR,97.8,105.73,93.8,105.49,357.97,35589.97
2018-04-11,LTCEUR,94.93,99,93.75,97.8,203.57,19345.33
2018-04-10,LTCEUR,95.93,96.21,93.43,94.93,272.92,25883.62
2018-04-09,LTCEUR,98.42,101.8,94,95.93,180.17,17724.89
2018-04-08,LTCEUR,97.22,100,96.05,98.42,253.44,24763.52
2018-04-07,LTCEUR,94.51,100.32,94.05,97.22,220.13,21578.5
2018-04-06,LTCEUR,100.19,100.74,93.75,94.51,205.05,19665.82
2018-04-05,LTCEUR,98.87,112,96.08,100.19,177.95,17734.87
2018-04-04,LTCEUR,111.38,111.87,96.85,98.87,330.02,34117.43
2018-04-03,LTCEUR,100.06,120,99.94,111.38,407.21,43914.67
2018-04-02,LTCEUR,97.77,110,97.28,100.06,144.45,14609.5
2018-04-01,LTCEUR,98,99.34,93.75,97.77,230.74,22209.45
2018-03-31,LTCEUR,101.6,106.53,97.82,98,275.21,28076.91
2018-03-30,LTCEUR,98.45,107.28,93.68,101.6,950.78,95624.95
2018-03-29,LTCEUR,110.96,111.28,97,98.45,1049.87,107343.71
2018-03-28,LTCEUR,112.43,116.26,109.71,110.96,350.68,39400.16
2018-03-27,LTCEUR,123.26,125,112.43,112.43,424.08,50112.47
2018-03-26,LTCEUR,132,133,118,123.26,539.08,67032.86
2018-03-25,LTCEUR,131.58,134.16,130.3,132,163.62,21618.73
2018-03-24,LTCEUR,138.24,139.34,131.12,131.58,196.27,26632.86
2018-03-23,LTCEUR,136.65,138.52,130.2,138.24,215.37,28803.77
2018-03-22,LTCEUR,138.93,162.4,133.89,136.65,190.1,26272.78
2018-03-21,LTCEUR,142.49,147.79,138.17,138.93,220.72,31765.14
2018-03-20,LTCEUR,135.1,146.08,131.12,142.49,288.42,39389.15
2018-03-19,LTCEUR,130.08,137.48,127.95,135.1,282.81,37284.61
2018-03-18,LTCEUR,130.16,132.76,117.66,130.08,372.53,46318.91
2018-03-17,LTCEUR,141.8,141.8,128.85,130.16,240.13,32545.53
2018-03-16,LTCEUR,140.82,148.23,81.26,141.8,651.45,91142.88
2018-03-15,LTCEUR,138.23,148.99,128.85,140.82,1229.69,172927.29
2018-03-14,LTCEUR,147.67,149.9,134.36,138.23,236.33,33594.54
2018-03-13,LTCEUR,151.62,153.71,146.01,147.67,238.36,35502.56
2018-03-12,LTCEUR,160.13,163,149.17,151.62,272.03,42529.62
2018-03-11,LTCEUR,152.51,164.26,147.62,160.13,399.71,63055.52
2018-03-10,LTCEUR,159.19,165.99,151.27,152.51,310.74,49653.74
2018-03-09,LTCEUR,151.35,161.5,135,159.19,498.53,73737.06
2018-03-08,LTCEUR,156.99,159.73,150.44,151.35,248.15,38413.17
2018-03-07,LTCEUR,163.11,174.53,148.13,156.99,330.73,51983.94
2018-03-06,LTCEUR,174.28,174.3,160,163.11,201.4,33808.63
2018-03-05,LTCEUR,176.49,180.94,173.35,174.28,188.68,33191.43
2018-03-04,LTCEUR,176.51,177.31,172.59,176.49,162.3,28377.01
2018-03-03,LTCEUR,178.42,182.41,175.33,176.51,214.81,38427.96
2018-03-02,LTCEUR,176.82,178.6,171.76,178.42,161.77,28272.86
2018-03-01,LTCEUR,172.91,182,171.15,176.82,203.35,35904.29
2018-02-28,LTCEUR,182.91,187.83,172.45,172.91,195.07,34924.95
2018-02-27,LTCEUR,185.25,189.56,181,182.91,186.43,34339.46
2018-02-26,LTCEUR,185.03,195.96,184.6,185.25,346.15,65543.1
2018-02-25,LTCEUR,175.8,189.5,172.42,185.03,287.68,51778.67
2018-02-24,LTCEUR,176.31,184.06,167.4,175.8,229.44,40200.54
2018-02-23,LTCEUR,164.25,182.5,153.94,176.31,341.32,58211.77
2018-02-22,LTCEUR,178.5,187.57,161.62,164.25,319.59,54647.38
2018-02-21,LTCEUR,194.47,197.8,174.25,178.5,408.19,75693.41
2018-02-20,LTCEUR,184.53,209,184.5,194.47,394.8,78933.77
2018-02-19,LTCEUR,178.12,200,178,184.53,268.14,49925.73
2018-02-18,LTCEUR,190.57,192.6,177.5,178.12,244.7,45455.21
2018-02-17,LTCEUR,192.02,194.93,187.86,190.57,235.2,44874.14
2018-02-16,LTCEUR,186.62,196.31,176.13,192.02,264.08,49254.48
2018-02-15,LTCEUR,176.12,199,175.08,186.62,471.74,89008.21
2018-02-14,LTCEUR,135.15,178.73,134.93,176.12,705.37,114043.92
2018-02-13,LTCEUR,135.49,136.12,130.7,135.15,275.51,36920.09
2018-02-12,LTCEUR,127.87,137.53,127.73,135.49,246.9,32976.33
2018-02-11,LTCEUR,132.91,133.21,122.31,127.87,258.69,33236.2
2018-02-10,LTCEUR,136.53,150,129,132.91,330.44,45304.4
2018-02-09,LTCEUR,128.89,137.37,122.01,136.53,482.02,62476.32
2018-02-08,LTCEUR,126.4,137.7,124.9,128.89,613.38,79204.87
2018-02-07,LTCEUR,122.31,142,117,126.4,1076.12,136502.85
2018-02-06,LTCEUR,110,125,91.64,122.31,930.86,101200.16
2018-02-05,LTCEUR,134.85,144,110,110,601.82,74231.56
2018-02-04,LTCEUR,139.95,152.73,124.1,134.85,541.07,75448.09
2018-02-03,LTCEUR,119.03,150.19,112,139.95,334.28,43130.9
2018-02-02,LTCEUR,111.69,165,90.25,119.03,680.18,75745.87
2018-02-01,LTCEUR,140.44,165,110.6,111.69,598.73,78738.6
2018-01-31,LTCEUR,147.14,154,132.55,140.44,834.77,118561.44
2018-01-30,LTCEUR,156.18,158.16,135,147.14,495.01,74088.21
2018-01-29,LTCEUR,162.25,163.5,153.49,156.18,307.45,48239.11
2018-01-28,LTCEUR,156.81,163.5,155.2,162.25,228.29,36407.48
2018-01-27,LTCEUR,153,173,140.1,156.81,359.17,55759.69
2018-01-26,LTCEUR,157.71,159.01,149.26,153,620.7,95678.09
2018-01-25,LTCEUR,157,160,150,157.71,506.11,79720.82
2018-01-24,LTCEUR,155.4,163.87,132.55,157,391.92,61505.05
2018-01-23,LTCEUR,156.51,171,141.64,155.4,475.44,72065.3
2018-01-22,LTCEUR,170.79,176.25,148.95,156.51,525.63,86105.13
2018-01-21,LTCEUR,186.99,208,165,170.79,614.25,109606.82
2018-01-20,LTCEUR,173.46,196.95,170.5,186.99,527.74,96846.0
2018-01-19,LTCEUR,172.97,185,170,173.46,454.84,80415.36
2018-01-18,LTCEUR,172.13,210,164.57,172.97,776.98,138072.21
2018-01-17,LTCEUR,171.87,181.88,123.17,172.13,889.88,139979.31
2018-01-16,LTCEUR,204.76,218.84,147.71,171.87,683.05,126682.42
2018-01-15,LTCEUR,210.57,219,200.88,204.76,361.45,75421.56
2018-01-14,LTCEUR,224.59,235,209.48,210.57,340.87,73945.83
2018-01-13,LTCEUR,212.38,230,203,224.59,422.16,91494.63
2018-01-12,LTCEUR,208.06,220,202.28,212.38,457.24,96347.05
2018-01-11,LTCEUR,219.36,244,195,208.06,546.01,115872.93
2018-01-10,LTCEUR,227.24,229.05,210,219.36,450.08,99489.27
2018-01-09,LTCEUR,236.01,240,220,227.24,535.41,123028.41
2018-01-08,LTCEUR,241.5,243.32,220,236.01,517.4,119993.27
2018-01-07,LTCEUR,244.77,256.15,231,241.5,398.97,97893.46
2018-01-06,LTCEUR,216.76,275.65,216,244.77,624.73,155991.33
2018-01-05,LTCEUR,212.57,229.05,210.86,216.76,495.04,108218.48
2018-01-04,LTCEUR,211.7,219.98,201,212.57,483.21,101117.55
2018-01-03,LTCEUR,216.17,221.19,211.42,211.7,256.08,55238.71
2018-01-02,LTCEUR,201.58,228.99,201.16,216.17,515.83,112219.42
2018-01-01,LTCEUR,205.97,229,196.03,201.58,338.89,68452.78
2017-12-31,LTCEUR,205.13,238,187,205.97,360.79,72586.19
2017-12-30,LTCEUR,214.34,215.3,186.01,205.13,448.26,90729.81
2017-12-29,LTCEUR,220.29,252.54,210.16,214.34,503.75,109999.32
2017-12-28,LTCEUR,233.9,270,218.45,220.29,361.8,82439.83
2017-12-27,LTCEUR,243.92,275,226.21,233.9,529.01,127484.02
2017-12-26,LTCEUR,246.69,250,235,243.92,369.9,89136.75
2017-12-25,LTCEUR,242.95,290,238.38,246.69,313.43,77933.51
2017-12-24,LTCEUR,257.94,258.85,224.64,242.95,326.9,79049.28
2017-12-23,LTCEUR,239.7,297,238,257.94,523.65,137372.09
2017-12-22,LTCEUR,270.67,285,106,239.7,1134.32,257416.44
2017-12-21,LTCEUR,276.26,285.45,256.53,270.67,639.32,174393.68
2017-12-20,LTCEUR,299.16,305.04,228,276.26,528.43,151884.87
2017-12-19,LTCEUR,317.54,335.8,297,299.16,558.95,173653.85
2017-12-18,LTCEUR,283.89,327.12,273.18,317.54,568.06,163778.33
2017-12-17,LTCEUR,260.66,295,260.66,283.89,392.72,110668.88
2017-12-16,LTCEUR,263.45,281.6,250,260.66,389.55,102585.92
2017-12-15,LTCEUR,240.68,291.91,205,263.45,595.63,149423.4
2017-12-14,LTCEUR,259.24,280,230,240.68,557.57,140632.97
2017-12-13,LTCEUR,251.75,298.98,239.22,259.24,513.19,135279.46
2017-12-12,LTCEUR,174.68,290,171.05,251.75,713.41,164500.77
2017-12-11,LTCEUR,130.96,191.67,127.99,174.68,603.47,93907.68
2017-12-10,LTCEUR,133.28,142,115.5,130.96,275.7,34718.4
