Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume RUR
2018-09-16,ETCRUR,794.04,794.04,759,786.47,416.64,324360.98
2018-09-15,ETCRUR,777.84,808,765,794.04,524.25,411907.24
2018-09-14,ETCRUR,777.87,796.35,764.15,777.84,543.83,423679.71
2018-09-13,ETCRUR,770.09,809.49,767.09,777.87,522.28,410602.9
2018-09-12,ETCRUR,809.7,814.39,750,770.09,1099.76,843282.84
2018-09-11,ETCRUR,813.45,832.06,803.05,809.7,733.08,600321.22
2018-09-10,ETCRUR,830.58,831.9,812.02,813.45,437.86,357756.53
2018-09-09,ETCRUR,805.7,850,805.7,830.58,536.61,442525.69
2018-09-08,ETCRUR,849.2,866.31,805.7,805.7,728.38,615158.9
2018-09-07,ETCRUR,850,870,830,849.2,361.03,307195.01
2018-09-06,ETCRUR,852,854.85,803.11,850,942.62,779198.77
2018-09-05,ETCRUR,937.27,949,848.44,852,1618.64,1429487.24
2018-09-04,ETCRUR,938.75,955,909,937.27,770.14,722768.31
2018-09-03,ETCRUR,882.48,990,882.48,938.75,1964.62,1846755.35
2018-09-02,ETCRUR,908,908.1,871,882.48,426.68,376699.2
2018-09-01,ETCRUR,857.51,926.14,857.51,908,918.6,807846.8
2018-08-31,ETCRUR,877.08,883.02,857.39,857.51,614.16,529924.67
2018-08-30,ETCRUR,873.24,888.29,853.44,877.08,781.26,679745.25
2018-08-29,ETCRUR,901,910,870.28,873.24,690.52,611357.3
2018-08-28,ETCRUR,830.15,910,830.15,901,926.29,807741.21
2018-08-27,ETCRUR,832.77,849,820,830.15,533.76,444286.76
2018-08-26,ETCRUR,842.4,849.97,810,832.77,590.77,492596.86
2018-08-25,ETCRUR,852.98,853.42,837,842.4,323.32,272810.71
2018-08-24,ETCRUR,842.04,867.1,837.23,852.98,558.93,471805.36
2018-08-23,ETCRUR,859.69,864.42,829.34,842.04,418.61,353088.7
2018-08-22,ETCRUR,874,884.98,841,859.69,451.79,390007.78
2018-08-21,ETCRUR,878.41,878.41,850.19,874,402.32,347599.61
2018-08-20,ETCRUR,908.79,923.6,870.19,878.41,480.53,428349.27
2018-08-19,ETCRUR,910,926.03,890,908.79,412.37,373101.81
2018-08-18,ETCRUR,972.05,977.41,883,910,573.88,535073.18
2018-08-17,ETCRUR,961.14,979.78,907.97,972.05,672.4,634186.56
2018-08-16,ETCRUR,913.19,1013,910,961.14,1903.48,1822365.67
2018-08-15,ETCRUR,789.9,913.19,789.9,913.19,1149.49,951316.58
2018-08-14,ETCRUR,870,889.1,750,789.9,1847.97,1497409.32
2018-08-13,ETCRUR,950.82,965,870,870,1352.05,1263391.69
2018-08-12,ETCRUR,968,968,968,968,0.0,0.0
2018-08-11,ETCRUR,1016.77,1031.88,952,968,1210.2,1191194.5
2018-08-10,ETCRUR,1031.22,1049,1002.1,1016.77,713.3,728661.59
2018-08-09,ETCRUR,1015,1067,1000,1031.22,970.67,992493.57
2018-08-08,ETCRUR,1133,1139.96,1001.07,1015,1327.58,1403335.27
2018-08-07,ETCRUR,1198.84,1317.67,1120.11,1133,2726.3,3333999.76
2018-08-06,ETCRUR,1150.09,1225,1110,1198.84,3018.59,3508426.61
2018-08-05,ETCRUR,1072.04,1150.09,1060.16,1150.09,1799.19,1970669.79
2018-08-04,ETCRUR,1040.86,1085.18,1012,1072.04,1870.31,1974533.68
2018-08-03,ETCRUR,947.83,1099,912,1040.86,1029.1,1040440.79
2018-08-02,ETCRUR,960,980.9,928,947.83,482.24,460013.61
2018-08-01,ETCRUR,1014.69,1018.12,960,960,764.46,759697.59
2018-07-31,ETCRUR,1028.02,1045,1010,1014.69,1084.27,1117375.04
2018-07-30,ETCRUR,1010,1041,1000.1,1028.02,1293.03,1327720.37
2018-07-29,ETCRUR,1003.91,1040,1000,1010,617.11,623646.29
2018-07-28,ETCRUR,1020.69,1040,1000,1003.91,344.04,348725.93
2018-07-27,ETCRUR,1020.98,1035,984.73,1020.69,603.2,610173.61
2018-07-26,ETCRUR,999.25,1040.51,988.7,1020.98,1052.76,1074884.44
2018-07-25,ETCRUR,997.64,1016.01,960.02,999.25,606.41,598895.09
2018-07-24,ETCRUR,1003,1016.2,983.57,997.64,726.26,730133.43
2018-07-23,ETCRUR,1015.36,1024,990,1003,629.17,633547.0
2018-07-22,ETCRUR,1018.79,1026,998,1015.36,525.6,530436.88
2018-07-21,ETCRUR,1006.79,1026.44,975,1018.79,485.16,488426.56
2018-07-20,ETCRUR,1052.42,1078.28,1000.1,1006.79,818.97,849384.07
2018-07-19,ETCRUR,1048,1076.33,1040,1052.42,706.39,743059.71
2018-07-18,ETCRUR,1064.31,1086.5,1046,1048,752.35,800418.53
2018-07-17,ETCRUR,1055.45,1079.06,1025,1064.31,688.16,720276.17
2018-07-16,ETCRUR,1036,1070,1015.3,1055.45,764.96,795634.49
2018-07-15,ETCRUR,1023.14,1045,1020.03,1036,548.16,566713.38
2018-07-14,ETCRUR,1025.42,1040,1005,1023.14,373.53,380300.99
2018-07-13,ETCRUR,1030,1059,1010,1025.42,715.07,739075.24
2018-07-12,ETCRUR,1042.3,1042.3,1000,1030,551.94,559535.08
2018-07-11,ETCRUR,1045,1064.31,1005,1042.3,745.44,771519.18
2018-07-10,ETCRUR,1138.7,1139.7,1038,1045,886.28,957319.25
2018-07-09,ETCRUR,1132.1,1150,1120.02,1138.7,885.11,1004283.98
2018-07-08,ETCRUR,1138.29,1150,1120.8,1132.1,710.43,804476.26
2018-07-07,ETCRUR,1130,1138.29,1080.48,1138.29,801.03,889428.5
2018-07-06,ETCRUR,1074.56,1145,1050,1130,1283.56,1407290.28
2018-07-05,ETCRUR,1041.76,1075,1035,1074.56,806.66,848492.42
2018-07-04,ETCRUR,1000,1066.6,981.75,1041.76,1132.81,1162926.93
2018-07-03,ETCRUR,1020,1036.26,998,1000,550.68,558877.87
2018-07-02,ETCRUR,982.27,1025,960,1020,1303.43,1303737.93
2018-07-01,ETCRUR,985.76,988.89,962.02,982.27,519.15,504356.25
2018-06-30,ETCRUR,950,1006.84,950,985.76,1015.48,1000978.52
2018-06-29,ETCRUR,942.46,965,917,950,761.6,711652.23
2018-06-28,ETCRUR,951.37,970.59,938.9,942.46,798.11,758919.0
2018-06-27,ETCRUR,946,962.75,906.33,951.37,612.64,573422.59
