Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MSGD
2019-03-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-02-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-31,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-01-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-31,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-12-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2018-11-14,QTUMSGD,5.3,5.3,2.1,2.1,4.01,16.42
2018-11-13,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-12,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-11,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-10,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-09,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-08,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-07,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-06,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-05,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-04,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-03,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-02,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-11-01,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-31,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-30,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-29,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-28,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-27,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-26,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-25,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-24,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-23,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-22,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-21,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-20,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-19,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-18,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-17,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-16,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-15,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-14,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
