Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume JPY
2019-06-24 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
