Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ZAR
2015-05-26,BTCZAR,3030,3066,3027,3034,58.78,179018.94
2015-05-25,BTCZAR,3091,3091,3025,3030,33.29,101357.83
2015-05-24,BTCZAR,3061,3097,3050,3091,9.06,27730.08
2015-05-23,BTCZAR,3066,3159,3060,3061,15.96,49322.6
2015-05-22,BTCZAR,3038,3105,3034,3066,58.18,178905.94
2015-05-21,BTCZAR,3097,3125,3007,3038,63.87,196631.83
2015-05-20,BTCZAR,3012,3104,3012,3097,87.32,268746.37
2015-05-19,BTCZAR,3080,3107,3004,3012,58.71,179914.77
2015-05-18,BTCZAR,3101,3134,3072,3080,54.8,170312.72
2015-05-17,BTCZAR,3116,3171,3073,3101,45.97,142970.92
2015-05-16,BTCZAR,3053,3116,3053,3116,19.78,61360.35
2015-05-15,BTCZAR,3060,3145,2900,3053,44.47,134022.88
2015-05-14,BTCZAR,3205,3249,3052,3060,85.98,268251.63
2015-05-13,BTCZAR,3209,3329,3180,3205,99.25,321379.32
2015-05-12,BTCZAR,3210,3333,3175,3209,66.37,216609.41
2015-05-11,BTCZAR,3181,3250,3102,3210,27.61,87840.63
2015-05-10,BTCZAR,3248,3250,3181,3181,11.78,37785.24
2015-05-09,BTCZAR,3205,3390,3181,3248,18.14,59596.38
2015-05-08,BTCZAR,3100,3391,3100,3205,65.2,212758.98
2015-05-07,BTCZAR,3380,3486,3100,3100,97.57,319734.84
2015-05-06,BTCZAR,3605,3608,3380,3380,126.83,442836.63
2015-05-05,BTCZAR,3474,3695,3470,3605,157.31,559759.07
2015-05-04,BTCZAR,3444,3541,3202,3474,88.95,305500.69
2015-05-03,BTCZAR,3543,3615,3444,3444,86.26,303414.36
2015-05-02,BTCZAR,3597,3600,3463,3543,28.37,100510.93
2015-05-01,BTCZAR,3578,3599,3366,3597,49.2,175642.32
2015-04-30,BTCZAR,3380,3597,3350,3578,65.09,223725.05
2015-04-29,BTCZAR,3200,3497,3200,3380,60.56,201282.99
2015-04-28,BTCZAR,3150,3259,3102,3200,62.58,200022.8
2015-04-27,BTCZAR,3090,3150,3001,3150,33.95,104595.94
2015-04-26,BTCZAR,3180,3245,2950,3090,40.96,126715.7
2015-04-25,BTCZAR,3270,3317,3170,3180,40.21,129974.47
2015-04-24,BTCZAR,3203,3500,3200,3270,47.83,156552.0
2015-04-23,BTCZAR,3193,3300,3110,3203,60.64,195861.34
2015-04-22,BTCZAR,2965,3245,2963,3193,84.25,266660.47
2015-04-21,BTCZAR,3033,3240,2964,2965,91.08,280061.36
2015-04-20,BTCZAR,2945,3033,2913,3033,35.23,105992.92
2015-04-19,BTCZAR,3000,3045,2945,2945,19.99,59386.45
2015-04-18,BTCZAR,3031,3148,2933,3000,27.58,83769.98
2015-04-17,BTCZAR,3043,3130,2959,3031,72.81,222501.75
2015-04-16,BTCZAR,3000,3050,2750,3043,65.12,190406.1
2015-04-15,BTCZAR,2802,3000,2800,3000,50.78,147756.69
2015-04-14,BTCZAR,2962,3150,2802,2802,51.21,150783.08
2015-04-13,BTCZAR,3073,3140,2865,2962,41.66,126768.91
2015-04-12,BTCZAR,3100,3148,3073,3073,7.74,23865.86
2015-04-11,BTCZAR,3070,3195,3070,3100,21.6,67825.6
2015-04-10,BTCZAR,3011,3120,2802,3070,33.61,100163.95
2015-04-09,BTCZAR,3111,3127,3000,3011,19.04,57971.04
2015-04-08,BTCZAR,3190,3225,3063,3111,39.19,123195.18
2015-04-07,BTCZAR,3195,3195,3135,3190,22.4,70922.79
2015-04-06,BTCZAR,3133,3240,3133,3195,12.26,39096.15
2015-04-05,BTCZAR,3108,3245,3108,3133,20.86,66398.1
2015-04-04,BTCZAR,3139,3139,3108,3108,3.29,10238.53
2015-04-03,BTCZAR,3132,3148,3100,3139,8.59,26859.72
2015-04-02,BTCZAR,3065,3135,3000,3132,18.15,55123.9
2015-04-01,BTCZAR,3103,3163,3002,3065,23.53,72259.92
2015-03-31,BTCZAR,3169,3200,3100,3103,31.48,99010.19
2015-03-30,BTCZAR,3126,3275,3126,3169,14.97,47976.55
2015-03-29,BTCZAR,3200,3540,3126,3126,20.39,68528.23
2015-03-28,BTCZAR,3202,3297,3192,3200,5.65,18437.48
2015-03-27,BTCZAR,3239,3300,3120,3202,12.93,41764.4
2015-03-26,BTCZAR,3138,3250,3137,3239,15.27,48918.95
2015-03-25,BTCZAR,3150,3570,2938,3138,76.52,242775.46
2015-03-24,BTCZAR,3402,3577,3060,3150,84.44,280332.02
2015-03-23,BTCZAR,3459,3527,3387,3402,19.61,67905.16
2015-03-22,BTCZAR,3489,3540,3425,3459,7.89,27689.73
2015-03-21,BTCZAR,3510,3560,3489,3489,2.78,9790.38
2015-03-20,BTCZAR,3612,3612,3489,3510,13.57,47924.55
2015-03-19,BTCZAR,3452,3680,3401,3612,52.54,188004.39
2015-03-18,BTCZAR,3758,3759,3452,3452,41.46,150257.64
2015-03-17,BTCZAR,3780,3785,3750,3758,31.68,119449.74
2015-03-16,BTCZAR,3677,3794,3677,3780,22.29,83780.38
2015-03-15,BTCZAR,3627,3677,3613,3677,8.67,31500.7
2015-03-14,BTCZAR,3698,3794,3610,3627,18.69,68965.81
2015-03-13,BTCZAR,3703,3726,3583,3698,35.69,131596.19
2015-03-12,BTCZAR,3745,3745,3644,3703,24.8,91832.3
2015-03-11,BTCZAR,3691,3765,3691,3745,18.68,69714.23
2015-03-10,BTCZAR,3620,3770,3509,3691,40.22,147987.29
2015-03-09,BTCZAR,3362,3649,3350,3620,25.03,86765.04
2015-03-08,BTCZAR,3320,3399,3320,3362,12.12,41092.96
2015-03-07,BTCZAR,3281,3448,3281,3320,10.61,35349.84
2015-03-06,BTCZAR,3327,3450,3228,3281,12.76,42531.53
2015-03-05,BTCZAR,3311,3399,3160,3327,20.77,68574.71
2015-03-04,BTCZAR,3489,3875,3311,3311,53.68,183619.52
2015-03-03,BTCZAR,3051,3490,3051,3489,53.77,178786.84
2015-03-02,BTCZAR,3150,3196,3004,3051,26.53,82540.45
2015-03-01,BTCZAR,3174,3199,3150,3150,12.49,39551.39
2015-02-28,BTCZAR,3121,3200,3111,3174,4.64,14554.43
2015-02-27,BTCZAR,3005,3200,3003,3121,23.17,72800.24
2015-02-26,BTCZAR,2985,3200,2920,3005,21.38,64936.96
2015-02-25,BTCZAR,2900,3200,2861,2985,31.79,95044.16
2015-02-24,BTCZAR,2901,3100,2824,2900,43.14,127125.43
2015-02-23,BTCZAR,3000,3000,2775,2901,26.76,77334.6
2015-02-22,BTCZAR,3089,3097,2790,3000,23.04,67714.9
2015-02-21,BTCZAR,2997,3089,2932,3089,6.37,19171.41
2015-02-20,BTCZAR,2948,2998,2902,2997,17.75,52671.05
2015-02-19,BTCZAR,2873,2980,2871,2948,13.11,37902.42
2015-02-18,BTCZAR,2911,2994,2870,2873,27.39,79985.78
2015-02-17,BTCZAR,2875,3050,2851,2911,32.45,95286.09
2015-02-16,BTCZAR,2820,2949,2711,2875,23.27,66977.52
2015-02-15,BTCZAR,3000,3090,2800,2820,9.18,26873.49
2015-02-14,BTCZAR,2830,3000,2773,3000,17.69,51632.76
2015-02-13,BTCZAR,2720.01,2921.98,2701,2830,29.7,84361.27
2015-02-12,BTCZAR,2785.01,2869.98,2604,2720.01,26.74,74705.96
2015-02-11,BTCZAR,2790,2870,2655,2785.01,49.98,137723.29
2015-02-10,BTCZAR,2753,2910.94,2600,2790,61.24,170308.39
2015-02-09,BTCZAR,2863.01,2949.98,2753,2753,27.85,80527.17
2015-02-08,BTCZAR,2881,2997.98,2861.01,2863.01,17.33,50353.22
2015-02-07,BTCZAR,2940.65,2999,2850,2881,16.92,49425.04
2015-02-06,BTCZAR,2780,2948,2770.01,2940.65,35.54,102249.36
2015-02-05,BTCZAR,2716.01,2912,2716.01,2780,24.71,71272.3
2015-02-04,BTCZAR,2994.98,2994.98,2705.01,2716.01,32.82,92676.52
2015-02-03,BTCZAR,2700.67,3145,2695.01,2994.98,26.82,77717.26
2015-02-02,BTCZAR,2657.21,2893.8,2600,2700.67,21.7,60776.25
2015-02-01,BTCZAR,2655,2824.99,2500,2657.21,9.42,25320.72
2015-01-31,BTCZAR,2940.13,3095.98,2655,2655,34.32,97200.38
2015-01-30,BTCZAR,2765,3140,2750,2940.13,27.24,77943.04
2015-01-29,BTCZAR,3229.94,3229.94,2702,2765,41.76,121620.09
2015-01-28,BTCZAR,3200,3388.96,3000,3229.94,52.26,161038.37
2015-01-27,BTCZAR,3021,3496.84,3014.22,3200,35.47,116616.85
2015-01-26,BTCZAR,3127.22,3880,3015,3021,45.4,161678.28
2015-01-25,BTCZAR,3500,3500,3111,3127.22,28.16,92080.27
2015-01-24,BTCZAR,3230,3500,2984,3500,18.63,58037.2
2015-01-23,BTCZAR,3000,3230,2805,3230,30.0,89549.99
