Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume PLN
2019-06-22 04-PM,LTCPLN,523,523,523,523,0.0,0.0
2019-06-22 03-PM,LTCPLN,527,527,523,523,1.677,878.84
2019-06-22 02-PM,LTCPLN,522,544.02,522,527,9.916,5257.71
2019-06-22 01-PM,LTCPLN,530,544.12,522,522,4.774,2551.21
2019-06-22 12-PM,LTCPLN,525,530,525,530,10.56,5558.71
2019-06-22 11-AM,LTCPLN,530.41,532,525,525,3.118,1653.27
2019-06-22 10-AM,LTCPLN,530.41,530.41,530.41,530.41,0.0,0.0
2019-06-22 09-AM,LTCPLN,525,530.41,525,530.41,4.283,2271.86
2019-06-22 08-AM,LTCPLN,526,526,525,525,7.075,3718.37
2019-06-22 07-AM,LTCPLN,526,532,526,526,13.31,7021.99
2019-06-22 06-AM,LTCPLN,532,532,526,526,4.785,2517.04
2019-06-22 05-AM,LTCPLN,524.74,532,524.74,532,19.45,10309.55
2019-06-22 04-AM,LTCPLN,527.89,527.89,524.74,524.74,2.46,1298.47
2019-06-22 03-AM,LTCPLN,516.45,527.89,516.45,527.89,3.342,1764.32
2019-06-22 02-AM,LTCPLN,527.89,527.89,516.45,516.45,7.365,3818.7
2019-06-22 01-AM,LTCPLN,519.27,527.89,519,527.89,8.948,4721.71
2019-06-22 12-AM,LTCPLN,519.27,519.27,519.27,519.27,0.0,0.0
2019-06-21 11-PM,LTCPLN,524.24,524.24,519,519.27,4.391,2280.24
2019-06-21 10-PM,LTCPLN,524.24,524.24,524.24,524.24,0.0,0.0
2019-06-21 09-PM,LTCPLN,528.45,528.45,524.24,524.24,0.02919,15.3
2019-06-21 08-PM,LTCPLN,528.45,528.45,528.45,528.45,0.0,0.0
2019-06-21 07-PM,LTCPLN,528.45,528.45,528.45,528.45,0.0,0.0
2019-06-21 06-PM,LTCPLN,515.56,528.47,515.56,528.45,12.04,6360.57
2019-06-21 05-PM,LTCPLN,529,529,515.56,515.56,7.412,3821.22
2019-06-21 04-PM,LTCPLN,518,529,518,529,0.4273,226.05
2019-06-21 03-PM,LTCPLN,526,530,518,518,5.937,3144.24
2019-06-21 02-PM,LTCPLN,520,527.82,514.01,526,14.52,7544.57
2019-06-21 01-PM,LTCPLN,524,525,519.44,520,41.73,21828.56
2019-06-21 12-PM,LTCPLN,524,524,524,524,0.1034,54.2
2019-06-21 11-AM,LTCPLN,532.8,535,523,524,12.69,6761.86
2019-06-21 10-AM,LTCPLN,521.99,532.8,521.99,532.8,26.83,14154.2
2019-06-21 09-AM,LTCPLN,520,521.99,520,521.99,4.254,2220.33
2019-06-21 08-AM,LTCPLN,520.43,520.43,515,520,0.4683,241.57
2019-06-21 07-AM,LTCPLN,522,522,520.43,520.43,6.046,3155.92
2019-06-21 06-AM,LTCPLN,512.21,522,512.21,522,0.1887,98.49
2019-06-21 05-AM,LTCPLN,512.21,512.21,512.21,512.21,0.0,0.0
2019-06-21 04-AM,LTCPLN,523,523,512.21,512.21,0.2231,114.26
2019-06-21 03-AM,LTCPLN,523,523,523,523,0.0,0.0
2019-06-21 02-AM,LTCPLN,523,523,523,523,0.0,0.0
2019-06-21 01-AM,LTCPLN,522.91,523,522.91,523,7.769,4062.95
2019-06-21 12-AM,LTCPLN,522.91,522.91,522.91,522.91,0.0,0.0
2019-06-20 11-PM,LTCPLN,522.91,522.91,522.91,522.91,0.0,0.0
2019-06-20 10-PM,LTCPLN,522.91,522.91,522.91,522.91,0.0,0.0
2019-06-20 09-PM,LTCPLN,515,522.91,510.08,522.91,14.36,7485.54
2019-06-20 08-PM,LTCPLN,517.92,517.92,510,515,12.33,6304.48
2019-06-20 07-PM,LTCPLN,510.1,517.92,510.1,517.92,8.178,4174.45
2019-06-20 06-PM,LTCPLN,513.46,520,510.1,510.1,8.807,4549.1
2019-06-20 05-PM,LTCPLN,515,515,513.46,513.46,2.868,1473.91
2019-06-20 04-PM,LTCPLN,513,515,513,515,9.741,5016.67
2019-06-20 03-PM,LTCPLN,513,513,513,513,0.09712,49.82
2019-06-20 02-PM,LTCPLN,513,513,513,513,0.0,0.0
2019-06-20 01-PM,LTCPLN,513,513,513,513,0.0,0.0
2019-06-20 12-PM,LTCPLN,513,513,513,513,0.0,0.0
2019-06-20 11-AM,LTCPLN,519,519,513,513,0.1293,66.46
2019-06-20 10-AM,LTCPLN,514,519,514,519,2.275,1180.5
2019-06-20 09-AM,LTCPLN,521.99,521.99,514,514,2.499,1284.49
2019-06-20 08-AM,LTCPLN,521,521.99,521,521.99,0.4165,217.4
2019-06-20 07-AM,LTCPLN,526.06,526.06,521,521,1.171,610.0
2019-06-20 06-AM,LTCPLN,520.45,526.06,520.45,526.06,1.202,632.09
2019-06-20 05-AM,LTCPLN,522,522,520.45,520.45,0.04853,25.26
2019-06-20 04-AM,LTCPLN,522,522.01,522,522,10.0,5220.36
2019-06-20 03-AM,LTCPLN,522,522,522,522,0.0,0.0
2019-06-20 02-AM,LTCPLN,522,522,522,522,0.0,0.0
2019-06-20 01-AM,LTCPLN,522,522,522,522,0.0,0.0
2019-06-20 12-AM,LTCPLN,522,522,522,522,0.0,0.0
2019-06-19 11-PM,LTCPLN,522,522,522,522,0.0,0.0
2019-06-19 10-PM,LTCPLN,529,529,522,522,26.74,13965.59
2019-06-19 09-PM,LTCPLN,522.02,529,519.1,529,5.851,3043.3
2019-06-19 08-PM,LTCPLN,522.02,522.02,522.02,522.02,0.0,0.0
2019-06-19 07-PM,LTCPLN,522.02,522.02,522.02,522.02,0.0,0.0
2019-06-19 06-PM,LTCPLN,530,530,522.02,522.02,0.499,260.49
2019-06-19 05-PM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-19 04-PM,LTCPLN,530.92,530.92,528,530,3.99,2114.28
2019-06-19 03-PM,LTCPLN,530.92,530.92,530.92,530.92,0.0,0.0
2019-06-19 02-PM,LTCPLN,526.02,530.92,525,530.92,7.496,3946.2
2019-06-19 01-PM,LTCPLN,530,530,526.01,526.02,7.183,3778.57
2019-06-19 12-PM,LTCPLN,530,530,520.78,530,12.97,6854.03
2019-06-19 11-AM,LTCPLN,528,530,528,530,0.3774,200.0
2019-06-19 10-AM,LTCPLN,527,528,525,528,3.196,1684.13
2019-06-19 09-AM,LTCPLN,522,527,522,527,0.05,26.35
2019-06-19 08-AM,LTCPLN,519.99,540,519.99,522,52.18,27824.23
2019-06-19 07-AM,LTCPLN,508.5,519.99,508.5,519.99,10.53,5467.88
2019-06-19 06-AM,LTCPLN,509,511.1,508.5,508.5,8.972,4572.77
2019-06-19 05-AM,LTCPLN,509,509,509,509,0.0,0.0
2019-06-19 04-AM,LTCPLN,509,509,509,509,0.0,0.0
2019-06-19 03-AM,LTCPLN,509,509,509,509,0.0,0.0
2019-06-19 02-AM,LTCPLN,509,509,509,509,0.0,0.0
2019-06-19 01-AM,LTCPLN,509,509,509,509,0.0,0.0
