Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume ETH
2018-01-27,VENETH,0.006903,0.007132,0.006228,0.006376,25399.0,170.19
2018-01-26,VENETH,0.006631,0.007321,0.005874,0.006903,48028.46,316.06
2018-01-25,VENETH,0.007076,0.007403,0.0064,0.006631,30967.34,214.78
2018-01-24,VENETH,0.007841,0.008526,0.006978,0.007076,46673.25,365.15
2018-01-23,VENETH,0.008242,0.008596,0.007301,0.007841,35211.87,283.59
2018-01-22,VENETH,0.007581,0.008838,0.007371,0.008242,52919.05,432.51
2018-01-21,VENETH,0.007132,0.007628,0.006465,0.007581,44578.46,319.04
2018-01-20,VENETH,0.005751,0.007132,0.005694,0.007132,79207.08,513.94
2018-01-19,VENETH,0.005324,0.005767,0.005281,0.005751,46986.31,260.39
2018-01-18,VENETH,0.004739,0.005873,0.004666,0.005324,56577.98,295.49
2018-01-17,VENETH,0.004652,0.00491,0.004422,0.004739,46746.87,220.01
2018-01-16,VENETH,0.004711,0.005007,0.003919,0.004652,94916.99,439.05
2018-01-15,VENETH,0.004447,0.0048,0.004223,0.004711,64089.73,282.79
2018-01-14,VENETH,0.004194,0.005789,0.00416,0.004447,76367.58,353.29
2018-01-13,VENETH,0.004909,0.005197,0.003664,0.004194,78960.72,330.22
2018-01-12,VENETH,0.005577,0.005786,0.004627,0.004909,58005.83,291.64
2018-01-11,VENETH,0.005063,0.006051,0.004287,0.005577,84924.12,446.4
2018-01-10,VENETH,0.003613,0.00525,0.003109,0.005063,153407.38,626.28
2018-01-09,VENETH,0.003738,0.003894,0.003491,0.003613,90646.53,331.04
2018-01-08,VENETH,0.00409,0.004134,0.003436,0.003738,244554.73,902.86
2018-01-07,VENETH,0.004724,0.004872,0.00409,0.00409,75209.08,331.62
2018-01-06,VENETH,0.003719,0.004889,0.003671,0.004724,96635.28,410.27
2018-01-05,VENETH,0.004196,0.004259,0.0034,0.003719,76161.05,292.65
2018-01-04,VENETH,0.003836,0.004227,0.003494,0.004196,86599.93,324.86
2018-01-03,VENETH,0.003085,0.003894,0.002982,0.003836,111636.22,370.66
2018-01-02,VENETH,0.003253,0.003297,0.002697,0.003085,117889.48,340.37
2018-01-01,VENETH,0.003067,0.003667,0.002995,0.003253,64710.18,206.04
2017-12-31,VENETH,0.002996,0.003135,0.002842,0.003067,77048.0,231.69
2017-12-30,VENETH,0.003218,0.003667,0.002738,0.002996,285216.99,872.3
2017-12-29,VENETH,0.002619,0.00325,0.002522,0.003218,142127.81,418.82
2017-12-28,VENETH,0.00264,0.0027,0.002393,0.002619,153885.06,396.38
2017-12-27,VENETH,0.0019,0.003116,0.00184,0.00264,481941.14,1163.17
2017-12-26,VENETH,0.001884,0.00201,0.001672,0.0019,295581.67,555.45
2017-12-25,VENETH,0.001914,0.001943,0.001775,0.001884,144694.04,266.66
2017-12-24,VENETH,0.001956,0.002048,0.001871,0.001914,134423.31,259.85
2017-12-23,VENETH,0.001914,0.00211,0.001843,0.001956,192849.1,383.85
2017-12-22,VENETH,0.001914,0.001941,0.001736,0.001914,222496.49,416.84
2017-12-21,VENETH,0.00187,0.001941,0.001685,0.001914,386647.84,705.65
2017-12-20,VENETH,0.001744,0.0019,0.001529,0.00187,250430.55,446.09
2017-12-19,VENETH,0.002142,0.002257,0.001716,0.001744,228786.01,438.92
2017-12-18,VENETH,0.001706,0.002866,0.00158,0.002142,416210.5,854.02
2017-12-17,VENETH,0.001331,0.001737,0.001225,0.001706,571464.09,852.76
2017-12-16,VENETH,0.00122,0.001338,0.001071,0.001331,363528.61,445.42
2017-12-15,VENETH,0.0009628,0.00132,0.000897,0.00122,454702.16,519.51
