Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2018-08-14 03-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 02-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 01-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 12-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 11-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 10-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 09-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 08-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 07-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 06-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 05-AM,RECBTC,2.75e-06,2.75e-06,2.7e-06,2.7e-06,50.0,0.000135
2018-08-14 04-AM,RECBTC,2.5e-06,2.75e-06,2.5e-06,2.75e-06,3244.88,0.008882
2018-08-14 03-AM,RECBTC,2.5e-06,2.5e-06,2.5e-06,2.5e-06,0.0,0.0
2018-08-14 02-AM,RECBTC,2.42e-06,2.5e-06,2.42e-06,2.5e-06,112.19,0.0002796
2018-08-14 01-AM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-14 12-AM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 11-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 10-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 09-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 08-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 07-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 06-PM,RECBTC,2.42e-06,2.42e-06,2.42e-06,2.42e-06,0.0,0.0
2018-08-13 05-PM,RECBTC,2.59e-06,2.59e-06,2.42e-06,2.42e-06,210.4,0.0005103
2018-08-13 04-PM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 03-PM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 02-PM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 01-PM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 12-PM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 11-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 10-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 09-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 08-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 07-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 06-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 05-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 04-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 03-AM,RECBTC,2.59e-06,2.59e-06,2.59e-06,2.59e-06,0.0,0.0
2018-08-13 02-AM,RECBTC,2.02e-06,2.59e-06,2.02e-06,2.59e-06,67.02,0.0001736
2018-08-13 01-AM,RECBTC,2.02e-06,2.02e-06,2.02e-06,2.02e-06,0.0,0.0
2018-08-13 12-AM,RECBTC,2.02e-06,2.02e-06,2.02e-06,2.02e-06,0.0,0.0
2018-08-12 11-PM,RECBTC,2.02e-06,2.02e-06,2.02e-06,2.02e-06,0.0,0.0
2018-08-12 10-PM,RECBTC,2.52e-06,2.52e-06,2.02e-06,2.02e-06,1405.54,0.003226
2018-08-12 09-PM,RECBTC,2.52e-06,2.52e-06,2.52e-06,2.52e-06,0.0,0.0
2018-08-12 08-PM,RECBTC,2.52e-06,2.52e-06,2.52e-06,2.52e-06,0.0,0.0
2018-08-12 07-PM,RECBTC,2.52e-06,2.52e-06,2.52e-06,2.52e-06,0.0,0.0
2018-08-12 06-PM,RECBTC,2.51e-06,2.8e-06,2.51e-06,2.52e-06,439.53,0.001134
2018-08-12 05-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 04-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 03-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 02-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 01-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 12-PM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
2018-08-12 11-AM,RECBTC,2.51e-06,2.51e-06,2.51e-06,2.51e-06,0.0,0.0
