Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume LTC
2018-04-29,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-28,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-27,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-26,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-25,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-24,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-23,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-22,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-21,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-20,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-19,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-18,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-17,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-16,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-15,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-14,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-13,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-12,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
