Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2018-12-19,LSKEUR,1.07,1.4,1.07,1.12,366.32,484.9
2018-12-18,LSKEUR,1.15,1.24,1.07,1.07,99.39,120.06
2018-12-17,LSKEUR,0.99,1.15,0.99,1.15,13.01,14.96
2018-12-16,LSKEUR,0.96,0.99,0.96,0.99,30.17,29.87
2018-12-15,LSKEUR,0.98,0.98,0.96,0.96,47.99,46.07
2018-12-14,LSKEUR,1,1,0.98,0.98,115.11,112.89
2018-12-13,LSKEUR,1.13,1.13,1,1,361.66,366.21
2018-12-12,LSKEUR,1.09,1.14,1.03,1.13,249.14,273.62
2018-12-11,LSKEUR,1.15,1.15,1.03,1.09,46.53,49.26
2018-12-10,LSKEUR,1.13,1.3,1.07,1.15,119.56,140.56
2018-12-09,LSKEUR,1.01,1.14,1.01,1.13,22.49,25.36
2018-12-08,LSKEUR,1.02,1.02,1.01,1.01,0.8847,0.8935
2018-12-07,LSKEUR,1.1,1.18,1,1.02,1424.23,1459.05
2018-12-06,LSKEUR,1.28,1.28,1.1,1.1,202.53,230.27
2018-12-05,LSKEUR,1.22,1.31,1.19,1.28,244.77,302.82
2018-12-04,LSKEUR,1.2,1.29,1.2,1.22,159.26,198.68
2018-12-03,LSKEUR,1.3,1.44,1.19,1.2,167.63,207.48
2018-12-02,LSKEUR,1.38,1.38,1.29,1.3,62.47,81.6
2018-12-01,LSKEUR,1.28,1.56,1.2,1.38,24.89,34.19
2018-11-30,LSKEUR,1.35,1.88,1.28,1.28,703.08,980.21
2018-11-29,LSKEUR,1.38,1.4,1.3,1.35,3130.68,4266.67
2018-11-28,LSKEUR,1.07,1.47,1.07,1.38,191.22,266.88
2018-11-27,LSKEUR,1.13,1.35,1.02,1.07,55.2,61.79
2018-11-26,LSKEUR,1.07,1.14,1.07,1.13,46.01,52.09
2018-11-25,LSKEUR,1.08,1.08,1.07,1.07,0.5639,0.606
2018-11-24,LSKEUR,1.42,1.42,1.08,1.08,145.48,173.04
2018-11-23,LSKEUR,1.44,1.64,1.3,1.42,428.88,559.0
2018-11-22,LSKEUR,1.48,1.48,1.38,1.44,286.73,411.27
2018-11-21,LSKEUR,1.3,1.99,1.3,1.48,451.37,743.89
2018-11-20,LSKEUR,1.58,1.58,1.3,1.3,311.0,414.92
2018-11-19,LSKEUR,1.93,1.93,1.5,1.58,232.73,370.65
2018-11-18,LSKEUR,1.99,1.99,1.9,1.93,76.94,147.0
2018-11-17,LSKEUR,1.99,1.99,1.99,1.99,0.0,0.0
2018-11-16,LSKEUR,2.2,2.2,1.85,1.99,292.65,550.15
2018-11-15,LSKEUR,1.93,2.4,1.72,2.2,257.33,516.61
2018-11-14,LSKEUR,2.31,2.49,1.88,1.93,408.99,820.72
2018-11-13,LSKEUR,2.45,2.48,2.31,2.31,183.57,428.67
2018-11-12,LSKEUR,2.39,2.56,2.39,2.45,284.96,726.83
2018-11-11,LSKEUR,2.44,2.44,2.38,2.39,100.94,242.36
2018-11-10,LSKEUR,2.44,2.44,2.44,2.44,0.0,0.0
2018-11-09,LSKEUR,2.45,2.55,2.42,2.44,309.41,755.23
2018-11-08,LSKEUR,2.55,2.55,2.44,2.45,79.08,193.41
2018-11-07,LSKEUR,2.68,2.68,2.55,2.55,12.08,30.8
2018-11-06,LSKEUR,2.49,2.73,2.44,2.68,151.3,390.66
2018-11-05,LSKEUR,2.39,2.5,2.39,2.49,45.45,110.15
2018-11-04,LSKEUR,2.38,2.53,2.38,2.39,152.16,374.49
2018-11-03,LSKEUR,2.38,2.38,2.38,2.38,0.0,0.0
2018-11-02,LSKEUR,2.45,2.45,2.38,2.38,5.52,13.13
2018-11-01,LSKEUR,2.37,2.45,2.37,2.45,65.43,160.3
2018-10-31,LSKEUR,2.48,2.48,2.37,2.37,38.54,91.35
2018-10-30,LSKEUR,2.37,2.51,2.37,2.48,168.43,414.62
2018-10-29,LSKEUR,2.57,2.57,2.36,2.37,470.94,1129.94
2018-10-28,LSKEUR,2.48,2.57,2.43,2.57,11.98,30.32
2018-10-27,LSKEUR,2.65,2.65,2.48,2.48,12.82,32.06
