Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume RUR
2018-08-13 12-AM,BCHRUR,41563.55,41563.55,41563.55,41563.55,0.0,0.0
2018-08-12 11-PM,BCHRUR,41682.07,41682.07,41563.55,41563.55,0.025,1039.09
2018-08-12 10-PM,BCHRUR,41682.07,41682.07,41682.07,41682.07,0.0,0.0
2018-08-12 09-PM,BCHRUR,41682.07,41682.07,41682.07,41682.07,0.0,0.0
2018-08-12 08-PM,BCHRUR,41682.07,41682.07,41682.07,41682.07,0.0,0.0
2018-08-12 07-PM,BCHRUR,40828.22,41682.07,40828.22,41682.07,0.05199,2131.9
2018-08-12 06-PM,BCHRUR,40203.73,40828.22,40203.73,40828.22,0.08887,3624.12
2018-08-12 05-PM,BCHRUR,40182.52,40916.18,40182.52,40203.73,0.05327,2142.66
2018-08-12 04-PM,BCHRUR,40450,40450,40182.52,40182.52,0.003656,147.76
2018-08-12 03-PM,BCHRUR,40450,40450,40450,40450,0.0003161,12.79
2018-08-12 02-PM,BCHRUR,40450,40450,40450,40450,0.01622,655.96
2018-08-12 01-PM,BCHRUR,41559.04,41559.04,40450,40450,0.09205,3738.83
2018-08-12 12-PM,BCHRUR,41566.48,41566.48,41559.04,41559.04,0.01278,530.94
2018-08-12 11-AM,BCHRUR,41588.5,41588.5,41208.77,41566.48,0.01477,608.75
2018-08-12 10-AM,BCHRUR,41583.66,41590.73,40399.03,41588.5,0.08782,3639.61
2018-08-12 09-AM,BCHRUR,40159.48,41657.52,40159.48,41583.66,0.1393,5754.82
2018-08-12 08-AM,BCHRUR,39914.75,41208.77,39914.75,40159.48,0.05816,2353.92
2018-08-12 07-AM,BCHRUR,39770.28,39914.75,39770.28,39914.75,0.0003412,13.62
2018-08-12 06-AM,BCHRUR,39650,39770.28,39650,39770.28,0.03578,1422.94
2018-08-12 05-AM,BCHRUR,42021.72,42021.72,39582.88,39650,0.08475,3418.76
2018-08-12 04-AM,BCHRUR,42057.51,42057.51,40556.37,42021.72,0.03242,1324.01
2018-08-12 03-AM,BCHRUR,41208.77,42057.51,41208.77,42057.51,0.03208,1349.37
2018-08-12 02-AM,BCHRUR,41208.77,41208.77,41208.77,41208.77,0.004647,191.49
2018-08-12 01-AM,BCHRUR,42400.25,42400.25,41208.77,41208.77,0.01183,487.41
2018-08-12 12-AM,BCHRUR,41230.12,42400.25,40354.86,42400.25,0.5773,24256.86
2018-08-11 11-PM,BCHRUR,40393.88,41230.12,40393.88,41230.12,0.08494,3501.97
2018-08-11 10-PM,BCHRUR,42180.42,42180.42,40393.88,40393.88,0.04716,1916.81
2018-08-11 09-PM,BCHRUR,41153.02,42180.42,40433.36,42180.42,0.5003,20691.41
2018-08-11 08-PM,BCHRUR,41195.53,41195.53,41153.02,41153.02,0.002255,92.82
2018-08-11 07-PM,BCHRUR,40757.53,41195.57,40757.53,41195.53,0.09063,3730.16
2018-08-11 06-PM,BCHRUR,40752.05,41195.57,40752.05,40757.53,0.01031,422.13
2018-08-11 05-PM,BCHRUR,40160.18,41208.77,40117.77,40752.05,0.131,5322.42
2018-08-11 04-PM,BCHRUR,40160.18,40160.18,40160.18,40160.18,0.0,0.0
2018-08-11 03-PM,BCHRUR,40189.95,40189.95,40160.18,40160.18,0.004054,162.85
2018-08-11 02-PM,BCHRUR,40202.3,40202.3,40189.95,40189.95,0.008538,343.2
2018-08-11 01-PM,BCHRUR,38947.13,40202.3,38947.13,40202.3,0.01292,506.34
2018-08-11 12-PM,BCHRUR,38947.13,38947.13,38947.13,38947.13,0.0,0.0
2018-08-11 11-AM,BCHRUR,40156.25,40156.25,38947.13,38947.13,0.04281,1667.2
2018-08-11 10-AM,BCHRUR,40300,40300,38775.66,40156.25,0.03351,1345.39
2018-08-11 09-AM,BCHRUR,40284.17,40300,40284.17,40300,0.01238,499.09
2018-08-11 08-AM,BCHRUR,38490.1,40284.17,38490.1,40284.17,0.05759,2257.88
2018-08-11 07-AM,BCHRUR,39608.84,39608.84,38490.1,38490.1,0.02498,961.56
2018-08-11 06-AM,BCHRUR,38357,39608.84,38357,39608.84,0.07378,2912.5
2018-08-11 05-AM,BCHRUR,40339.13,40365.37,38357,38357,0.02433,957.42
2018-08-11 04-AM,BCHRUR,40528.43,40528.43,39108.43,40339.13,0.05167,2046.17
2018-08-11 03-AM,BCHRUR,40528.43,40528.43,40528.43,40528.43,0.0,0.0
2018-08-11 02-AM,BCHRUR,39018.35,40700.66,39018.35,40528.43,0.006591,267.25
2018-08-11 01-AM,BCHRUR,40002.72,40002.72,39018.35,39018.35,0.3592,14072.42
2018-08-11 12-AM,BCHRUR,40000,40009.05,39993.92,40002.72,0.08378,3351.47
2018-08-10 11-PM,BCHRUR,40355.58,40963.44,39533,40000,0.07836,3118.58
2018-08-10 10-PM,BCHRUR,40364.13,41367.06,40355.58,40355.58,0.06803,2777.34
2018-08-10 09-PM,BCHRUR,41218.39,41218.39,40364.13,40364.13,0.1889,7624.39
