Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-07-29 11-PM,ETHUSDT,211.7,212.23,209.8,210.89,6234.58,1316629.07
2019-07-29 10-PM,ETHUSDT,210.77,212.63,210.11,211.7,4271.58,902838.19
2019-07-29 09-PM,ETHUSDT,211.7,212.09,210.77,210.77,4777.39,1011040.23
2019-07-29 08-PM,ETHUSDT,209.78,211.93,209.52,211.7,5799.69,1222636.45
2019-07-29 07-PM,ETHUSDT,210.26,210.73,209.56,209.78,6616.06,1390102.65
2019-07-29 06-PM,ETHUSDT,210.13,210.6,209.11,210.26,7305.4,1533405.05
2019-07-29 05-PM,ETHUSDT,210.99,211.83,208.37,210.13,15388.84,3233875.25
2019-07-29 04-PM,ETHUSDT,209.57,213.48,206.91,210.99,27318.25,5748128.0
2019-07-29 03-PM,ETHUSDT,209.58,210.93,209.16,209.57,10328.67,2168045.68
2019-07-29 02-PM,ETHUSDT,210.04,211.27,209,209.58,6749.37,1417606.86
2019-07-29 01-PM,ETHUSDT,210.58,211.97,209.52,210.04,12590.62,2652642.41
2019-07-29 12-PM,ETHUSDT,208.9,210.78,208.69,210.58,6259.65,1310827.01
2019-07-29 11-AM,ETHUSDT,209.72,210.04,208.5,208.9,7767.99,1624863.95
2019-07-29 10-AM,ETHUSDT,209.09,210.5,208.22,209.72,8564.8,1793729.03
2019-07-29 09-AM,ETHUSDT,211.48,211.8,206.59,209.09,16220.85,3391118.77
2019-07-29 08-AM,ETHUSDT,212.53,213.13,210.91,211.48,4805.63,1020402.02
2019-07-29 07-AM,ETHUSDT,211.74,212.59,211.42,212.53,6640.72,1408003.13
2019-07-29 06-AM,ETHUSDT,212.11,212.28,211.33,211.74,6412.48,1358231.11
2019-07-29 05-AM,ETHUSDT,213.37,213.6,211.6,212.11,6220.67,1320891.65
2019-07-29 04-AM,ETHUSDT,212.81,214,212.69,213.37,4566.64,975064.97
2019-07-29 03-AM,ETHUSDT,213.33,213.65,212.52,212.81,3489.3,743317.2
2019-07-29 02-AM,ETHUSDT,213.77,214.14,212.88,213.33,7301.47,1558970.19
2019-07-29 01-AM,ETHUSDT,210.47,215.83,210.07,213.77,18472.86,3944083.69
2019-07-29 12-AM,ETHUSDT,211.62,211.84,208.86,210.47,11767.84,2474084.68
2019-07-28 11-PM,ETHUSDT,207.69,213.52,206.27,211.62,23422.99,4925845.76
2019-07-28 10-PM,ETHUSDT,206.73,210.33,198.24,207.69,57659.29,11754406.27
2019-07-28 09-PM,ETHUSDT,208.56,208.56,206.58,206.73,4729.37,981539.49
2019-07-28 08-PM,ETHUSDT,208.65,209.21,207.6,208.56,6246.32,1300477.07
2019-07-28 07-PM,ETHUSDT,208.83,209.26,208.51,208.65,2183.89,456090.12
2019-07-28 06-PM,ETHUSDT,208.97,209.38,208.04,208.83,2520.61,526027.18
2019-07-28 05-PM,ETHUSDT,208.49,209.41,208.04,208.97,3540.86,739375.0
