Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-26 01-PM,LTCAUD,197,197.22,195,196.17,165.99,32681.46
2019-06-26 12-PM,LTCAUD,195.5,198.58,195.5,197,186.49,36818.74
2019-06-26 11-AM,LTCAUD,193.98,195.5,193.89,195.5,132.49,25760.68
2019-06-26 10-AM,LTCAUD,192.57,195.2,192.57,193.98,103.84,20067.6
2019-06-26 09-AM,LTCAUD,192.45,195.22,192.08,192.57,82.95,16089.74
2019-06-26 08-AM,LTCAUD,192.93,192.93,191.11,192.45,282.48,54275.91
2019-06-26 07-AM,LTCAUD,194.03,194.62,192.5,192.93,204.92,39522.33
2019-06-26 06-AM,LTCAUD,191.99,194.03,191.99,194.03,110.94,21358.38
2019-06-26 05-AM,LTCAUD,196.16,196.16,190.2,191.99,381.76,73854.9
2019-06-26 04-AM,LTCAUD,196.84,197.07,193.16,196.16,226.71,44376.55
2019-06-26 03-AM,LTCAUD,193.76,197.63,193.3,196.84,333.81,65422.39
2019-06-26 02-AM,LTCAUD,193.01,194.88,192.31,193.76,144.41,27916.41
2019-06-26 01-AM,LTCAUD,194.12,194.51,192.35,193.01,213.2,41250.55
2019-06-26 12-AM,LTCAUD,195.99,196.31,194.01,194.12,171.07,33417.66
2019-06-25 11-PM,LTCAUD,198.35,198.35,194.46,195.99,233.37,45911.58
2019-06-25 10-PM,LTCAUD,192.31,198.84,189.61,198.35,218.5,42580.85
2019-06-25 09-PM,LTCAUD,191.55,192.92,191.55,192.31,98.03,18834.06
2019-06-25 08-PM,LTCAUD,192.31,192.31,190.47,191.55,8.243,1580.34
2019-06-25 07-PM,LTCAUD,192.62,192.62,191.97,192.31,0.1479,28.44
2019-06-25 06-PM,LTCAUD,190.06,192.87,190.06,192.62,0.5892,113.5
2019-06-25 05-PM,LTCAUD,188.54,191.59,188.54,190.06,3.969,754.36
2019-06-25 04-PM,LTCAUD,192,192.32,188.54,188.54,29.53,5589.42
2019-06-25 03-PM,LTCAUD,192.66,192.66,190.31,192,112.39,21484.36
2019-06-25 02-PM,LTCAUD,191.24,193.18,191.16,192.66,176.51,33968.83
2019-06-25 01-PM,LTCAUD,191.61,191.61,190.81,191.24,57.11,10913.11
2019-06-25 12-PM,LTCAUD,194.89,194.89,187,191.61,970.72,185510.64
2019-06-25 11-AM,LTCAUD,195.79,195.79,193.81,194.89,70.02,13615.89
2019-06-25 10-AM,LTCAUD,195.99,196.24,194.77,195.79,80.59,15739.15
2019-06-25 09-AM,LTCAUD,195.85,196.17,195.05,195.99,64.34,12601.74
2019-06-25 08-AM,LTCAUD,195.96,196.87,194.72,195.85,61.3,12011.33
2019-06-25 07-AM,LTCAUD,194.52,197.43,194.3,195.96,106.25,20792.52
2019-06-25 06-AM,LTCAUD,195.83,196.14,194.36,194.52,100.01,19519.05
2019-06-25 05-AM,LTCAUD,195.25,196.91,195.25,195.83,127.42,24971.92
2019-06-25 04-AM,LTCAUD,195.83,198.06,195.25,195.25,105.4,20667.05
2019-06-25 03-AM,LTCAUD,196.79,196.79,195.25,195.83,62.63,12253.42
2019-06-25 02-AM,LTCAUD,196.79,196.79,196.18,196.79,54.36,10678.08
2019-06-25 01-AM,LTCAUD,196.29,197.57,196.29,196.79,78.94,15545.8
2019-06-25 12-AM,LTCAUD,195.98,198.25,194.61,196.29,174.5,34145.72
2019-06-24 11-PM,LTCAUD,195.57,196.39,195.05,195.98,73.68,14450.08
2019-06-24 10-PM,LTCAUD,193.28,195.88,193.28,195.57,242.11,47192.93
2019-06-24 09-PM,LTCAUD,192.94,193.28,191.38,193.28,33.63,6482.41
2019-06-24 08-PM,LTCAUD,190,192.94,190,192.94,2.267,437.46
2019-06-24 07-PM,LTCAUD,192.21,193.4,190,190,124.26,23744.86
2019-06-24 06-PM,LTCAUD,194.82,194.82,192.21,192.21,99.27,19194.46
2019-06-24 05-PM,LTCAUD,194,194.87,194,194.82,2.096,408.44
2019-06-24 04-PM,LTCAUD,194.66,195.92,194,194,30.62,5958.54
