Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2018-06-29 11-AM,TRXBTC,6.06e-06,6.06e-06,5.97e-06,5.99e-06,346000.0,2.08
2018-06-29 10-AM,TRXBTC,6.04e-06,6.07e-06,6.04e-06,6.06e-06,116000.0,0.703
2018-06-29 09-AM,TRXBTC,6.05e-06,6.05e-06,6.03e-06,6.04e-06,87000.0,0.5259
2018-06-29 08-AM,TRXBTC,6.04e-06,6.09e-06,6.04e-06,6.05e-06,227000.0,1.38
2018-06-29 07-AM,TRXBTC,6.07e-06,6.07e-06,6.02e-06,6.04e-06,64000.0,0.386
2018-06-29 06-AM,TRXBTC,6.13e-06,6.13e-06,6.03e-06,6.07e-06,475000.0,2.88
2018-06-29 05-AM,TRXBTC,6.13e-06,6.13e-06,6.04e-06,6.13e-06,1148000.0,6.98
2018-06-29 04-AM,TRXBTC,6.15e-06,6.15e-06,6.13e-06,6.13e-06,39000.0,0.2395
2018-06-29 03-AM,TRXBTC,6.16e-06,6.16e-06,6.15e-06,6.15e-06,20000.0,0.1231
2018-06-29 02-AM,TRXBTC,6.21e-06,6.21e-06,6.13e-06,6.16e-06,697000.0,4.31
2018-06-29 01-AM,TRXBTC,6.22e-06,6.22e-06,6.2e-06,6.21e-06,235000.0,1.46
2018-06-29 12-AM,TRXBTC,6.19e-06,6.3e-06,6.19e-06,6.22e-06,291000.0,1.82
2018-06-28 11-PM,TRXBTC,6.29e-06,6.29e-06,6.19e-06,6.19e-06,374000.0,2.33
2018-06-28 10-PM,TRXBTC,6.3e-06,6.31e-06,6.26e-06,6.29e-06,315000.0,1.98
2018-06-28 09-PM,TRXBTC,6.25e-06,6.33e-06,6.23e-06,6.3e-06,535000.0,3.36
2018-06-28 08-PM,TRXBTC,6.26e-06,6.27e-06,6.24e-06,6.25e-06,675000.0,4.22
2018-06-28 07-PM,TRXBTC,6.31e-06,6.31e-06,6.26e-06,6.26e-06,58000.0,0.3642
2018-06-28 06-PM,TRXBTC,6.33e-06,6.35e-06,6.28e-06,6.31e-06,374000.0,2.36
2018-06-28 05-PM,TRXBTC,6.33e-06,6.36e-06,6.31e-06,6.33e-06,15000.0,0.0951
2018-06-28 04-PM,TRXBTC,6.39e-06,6.39e-06,6.33e-06,6.33e-06,82000.0,0.5207
2018-06-28 03-PM,TRXBTC,6.38e-06,6.39e-06,6.38e-06,6.39e-06,37000.0,0.2361
2018-06-28 02-PM,TRXBTC,6.38e-06,6.39e-06,6.35e-06,6.38e-06,54000.0,0.3442
2018-06-28 01-PM,TRXBTC,6.38e-06,6.38e-06,6.36e-06,6.38e-06,76000.0,0.4839
2018-06-28 12-PM,TRXBTC,6.33e-06,6.41e-06,6.33e-06,6.38e-06,464000.0,2.97
2018-06-28 11-AM,TRXBTC,6.31e-06,6.37e-06,6.31e-06,6.33e-06,139000.0,0.8805
2018-06-28 10-AM,TRXBTC,6.29e-06,6.31e-06,6.28e-06,6.31e-06,98000.0,0.6165
2018-06-28 09-AM,TRXBTC,6.36e-06,6.38e-06,6.29e-06,6.29e-06,190000.0,1.2
2018-06-28 08-AM,TRXBTC,6.47e-06,6.47e-06,6.36e-06,6.36e-06,189000.0,1.21
2018-06-28 07-AM,TRXBTC,6.27e-06,6.5e-06,6.22e-06,6.47e-06,1544000.0,9.81
2018-06-28 06-AM,TRXBTC,6.25e-06,6.27e-06,6.25e-06,6.27e-06,76000.0,0.4765
2018-06-28 05-AM,TRXBTC,6.27e-06,6.28e-06,6.25e-06,6.25e-06,81000.0,0.5079
2018-06-28 04-AM,TRXBTC,6.32e-06,6.32e-06,6.27e-06,6.27e-06,12000.0,0.07546
2018-06-28 03-AM,TRXBTC,6.34e-06,6.34e-06,6.29e-06,6.32e-06,194000.0,1.22
2018-06-28 02-AM,TRXBTC,6.32e-06,6.34e-06,6.31e-06,6.34e-06,11000.0,0.06946
2018-06-28 01-AM,TRXBTC,6.36e-06,6.36e-06,6.32e-06,6.32e-06,450000.0,2.85
2018-06-28 12-AM,TRXBTC,6.37e-06,6.4e-06,6.36e-06,6.36e-06,39000.0,0.2487
2018-06-27 11-PM,TRXBTC,6.38e-06,6.42e-06,6.36e-06,6.37e-06,247000.0,1.57
2018-06-27 10-PM,TRXBTC,6.39e-06,6.39e-06,6.32e-06,6.38e-06,590000.0,3.75
2018-06-27 09-PM,TRXBTC,6.34e-06,6.39e-06,6.33e-06,6.39e-06,66000.0,0.4198
2018-06-27 08-PM,TRXBTC,6.32e-06,6.34e-06,6.31e-06,6.34e-06,73000.0,0.462
2018-06-27 07-PM,TRXBTC,6.31e-06,6.32e-06,6.3e-06,6.32e-06,141000.0,0.8902
2018-06-27 06-PM,TRXBTC,6.31e-06,6.35e-06,6.31e-06,6.31e-06,78000.0,0.4933
2018-06-27 05-PM,TRXBTC,6.35e-06,6.38e-06,6.31e-06,6.31e-06,254000.0,1.61
2018-06-27 04-PM,TRXBTC,6.33e-06,6.38e-06,6.31e-06,6.35e-06,57000.0,0.3615
2018-06-27 03-PM,TRXBTC,6.23e-06,6.37e-06,6.23e-06,6.33e-06,461000.0,2.91
2018-06-27 02-PM,TRXBTC,6.29e-06,6.32e-06,6.21e-06,6.23e-06,648000.0,4.05
2018-06-27 01-PM,TRXBTC,6.32e-06,6.32e-06,6.28e-06,6.29e-06,71000.0,0.4477
2018-06-27 12-PM,TRXBTC,6.32e-06,6.32e-06,6.27e-06,6.32e-06,172000.0,1.08
2018-06-27 11-AM,TRXBTC,6.41e-06,6.41e-06,6.29e-06,6.32e-06,1454000.0,9.2
2018-06-27 10-AM,TRXBTC,6.36e-06,6.48e-06,6.36e-06,6.41e-06,372000.0,2.4
2018-06-27 09-AM,TRXBTC,6.37e-06,6.38e-06,6.35e-06,6.36e-06,43000.0,0.274
2018-06-27 08-AM,TRXBTC,6.35e-06,6.38e-06,6.34e-06,6.37e-06,146000.0,0.928
2018-06-27 07-AM,TRXBTC,6.36e-06,6.37e-06,6.33e-06,6.35e-06,305000.0,1.94
2018-06-27 06-AM,TRXBTC,6.35e-06,6.37e-06,6.35e-06,6.36e-06,79000.0,0.5022
2018-06-27 05-AM,TRXBTC,6.29e-06,6.4e-06,6.28e-06,6.35e-06,330000.0,2.09
