Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2018-11-08,BTGUSD,14.8,15.16,14.21,14.7,96.13,1398.91
2018-11-07,BTGUSD,15.2,16.45,14.5,14.8,615.4,9632.53
2018-11-06,BTGUSD,13.67,15.88,13.67,15.2,953.88,14303.8
2018-11-05,BTGUSD,13.73,14.4,13.31,13.67,516.76,7223.58
2018-11-04,BTGUSD,13.45,14.35,13.3,13.73,396.48,5482.28
2018-11-03,BTGUSD,13.57,13.57,13.13,13.45,63.74,851.34
2018-11-02,BTGUSD,13.5,14.64,13.3,13.57,214.39,2916.28
2018-11-01,BTGUSD,13.71,14.4,13.35,13.5,216.14,2926.69
2018-10-31,BTGUSD,13.4,14.86,13.29,13.71,240.34,3363.04
2018-10-30,BTGUSD,13.63,14,13.3,13.4,247.44,3377.92
2018-10-29,BTGUSD,14.08,14.86,13.3,13.63,202.67,2757.93
2018-10-28,BTGUSD,13.58,15.25,13.3,14.08,296.72,4198.14
2018-10-27,BTGUSD,13.5,13.98,13.35,13.58,142.51,1936.57
2018-10-26,BTGUSD,13.6,13.9,13.25,13.5,84.06,1131.71
2018-10-25,BTGUSD,13.74,14.05,13.2,13.6,227.09,3077.0
2018-10-24,BTGUSD,14.08,14.08,13.4,13.74,124.85,1707.29
2018-10-23,BTGUSD,14.14,14.15,13.52,14.08,131.97,1819.8
2018-10-22,BTGUSD,14.1,14.49,13.52,14.14,101.89,1419.31
2018-10-21,BTGUSD,14.24,16.89,14.06,14.1,584.0,8682.52
2018-10-20,BTGUSD,14.1,14.75,14.06,14.24,408.6,5909.15
2018-10-19,BTGUSD,14.49,14.9,14.06,14.1,62.08,885.45
2018-10-18,BTGUSD,14.35,15,14.06,14.49,128.91,1861.03
2018-10-17,BTGUSD,14.4,14.42,14,14.35,82.74,1176.66
2018-10-16,BTGUSD,14.1,14.53,14,14.4,127.44,1822.27
2018-10-15,BTGUSD,14,14.9,14,14.1,120.12,1722.48
2018-10-14,BTGUSD,14.4,14.9,13.52,14,496.81,7007.18
2018-10-13,BTGUSD,14.53,15.71,14.4,14.4,141.48,2088.0
2018-10-12,BTGUSD,13.92,16,13.92,14.53,472.05,6945.48
2018-10-11,BTGUSD,14.82,14.97,13.92,13.92,202.36,2877.43
2018-10-10,BTGUSD,15,16.5,14.1,14.82,198.7,2958.75
2018-10-09,BTGUSD,16.4,16.65,13.4,15,1071.57,16481.73
2018-10-08,BTGUSD,16.96,19.3,16,16.4,306.28,5181.12
2018-10-07,BTGUSD,15.12,21,15.12,16.96,1176.21,22011.0
2018-10-06,BTGUSD,14.4,16,14.4,15.12,250.45,3849.92
2018-10-05,BTGUSD,14.5,15.99,14,14.4,500.15,7367.13
2018-10-04,BTGUSD,14.01,14.55,13.8,14.5,55.95,797.31
2018-10-03,BTGUSD,14.4,14.67,13.75,14.01,307.74,4311.66
2018-10-02,BTGUSD,14,15.25,13.81,14.4,125.5,1842.95
2018-10-01,BTGUSD,14.56,14.74,13.66,14,123.78,1768.71
2018-09-30,BTGUSD,14.8,15.36,14,14.56,152.39,2210.15
2018-09-29,BTGUSD,13.55,15.02,13.55,14.8,180.67,2612.58
2018-09-28,BTGUSD,14.27,16.1,13.45,13.55,525.97,7995.62
2018-09-27,BTGUSD,13.61,15.32,13,14.27,1103.67,16027.11
2018-09-26,BTGUSD,13.16,14.2,12.85,13.61,280.65,3800.4
2018-09-25,BTGUSD,13.9,13.9,12.7,13.16,537.39,7068.97
2018-09-24,BTGUSD,13.24,15,13.13,13.9,383.94,5321.01
2018-09-23,BTGUSD,12.66,16.25,12.4,13.24,1099.08,15160.47
2018-09-22,BTGUSD,13.21,13.21,12.42,12.66,202.91,2597.24
2018-09-21,BTGUSD,13.6,13.69,11.2,13.21,449.19,5650.82
2018-09-20,BTGUSD,13.32,14.1,12.91,13.6,150.47,2036.51
2018-09-19,BTGUSD,13.06,13.9,12.8,13.32,326.47,4328.64
2018-09-18,BTGUSD,13.82,13.82,11.6,13.06,701.46,9168.37
2018-09-17,BTGUSD,14.86,14.87,13.41,13.82,401.12,5687.18
2018-09-16,BTGUSD,14.32,15.87,13.93,14.86,639.92,9228.32
2018-09-15,BTGUSD,14.37,15,13.9,14.32,354.03,5058.37
2018-09-14,BTGUSD,15.4,15.87,13.51,14.37,769.12,11470.38
2018-09-13,BTGUSD,13.65,15.8,12.51,15.4,478.21,6714.41
2018-09-12,BTGUSD,12.35,14,12.21,13.65,315.88,4276.01
2018-09-11,BTGUSD,14.14,14.19,12.11,12.35,179.74,2274.27
2018-09-10,BTGUSD,13.42,14.14,12.62,14.14,244.04,3223.78
2018-09-09,BTGUSD,12.1,14.36,12.1,13.42,200.69,2675.51
2018-09-08,BTGUSD,14,14.3,12.1,12.1,143.12,1903.33
2018-09-07,BTGUSD,14.43,14.43,13.5,14,119.73,1692.23
2018-09-06,BTGUSD,15,15.29,13.36,14.43,646.09,9394.58
2018-09-05,BTGUSD,15.4,16.5,14.68,15,778.45,12112.74
2018-09-04,BTGUSD,15.41,16,14.8,15.4,357.8,5473.19
2018-09-03,BTGUSD,15.64,16.4,15.4,15.41,249.96,3953.83
2018-09-02,BTGUSD,16.33,16.8,15.21,15.64,693.62,10942.85
2018-09-01,BTGUSD,17.47,17.47,15.52,16.33,462.32,7541.73
2018-08-31,BTGUSD,17.4,17.79,16.21,17.47,389.48,6596.82
2018-08-30,BTGUSD,16.13,19.25,16.08,17.4,542.19,9489.37
2018-08-29,BTGUSD,15.9,18.9,15.55,16.13,285.09,4615.77
2018-08-28,BTGUSD,14.9,16,14.67,15.9,297.04,4560.79
2018-08-27,BTGUSD,15.07,15.75,14.56,14.9,186.57,2776.68
2018-08-26,BTGUSD,16,16,14.55,15.07,147.29,2233.69
2018-08-25,BTGUSD,15.45,16.52,15,16,203.33,3209.77
