Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-10-02,ETHRUR,15355.43,15514.99,15125,15229.58,208.16,3172733.39
2018-10-01,ETHRUR,15699,15899,15300,15355.43,189.66,2921527.99
2018-09-30,ETHRUR,15532.23,16055.56,15350,15699,194.57,3051488.6
2018-09-29,ETHRUR,14999,15864.99,14700,15532.23,296.53,4575084.49
2018-09-28,ETHRUR,15255,15419.66,14726.58,14999,244.93,3695818.53
2018-09-27,ETHRUR,14685,15575,14550,15255,263.05,3912217.24
2018-09-26,ETHRUR,15152,15192.18,14511,14685,228.11,3382902.31
2018-09-25,ETHRUR,15558,15606.24,14370,15152,305.43,4519162.49
2018-09-24,ETHRUR,16653.3,16690.21,15555.56,15558,270.38,4338083.64
2018-09-23,ETHRUR,16343.42,16815,16160,16653.3,197.21,3270440.5
2018-09-22,ETHRUR,16394.04,16800,16000,16343.42,243.56,3966980.33
2018-09-21,ETHRUR,15293.6,16800,14771.9,16394.04,372.03,5838531.54
2018-09-20,ETHRUR,14447.12,15365.27,14273.37,15293.6,185.86,2703287.43
2018-09-19,ETHRUR,14779,14938,14231.63,14447.12,230.95,3373879.71
2018-09-18,ETHRUR,14095,15167.95,13900,14779,239.15,3452091.81
2018-09-17,ETHRUR,15387.43,15700,14000,14095,274.7,4072280.82
2018-09-16,ETHRUR,15653.8,15700,15000,15387.43,207.87,3191181.87
2018-09-15,ETHRUR,15001.01,16000,14800,15653.8,266.47,4121191.53
2018-09-14,ETHRUR,15066.85,15888,14281.63,15001.01,434.85,6520181.55
2018-09-13,ETHRUR,13399.95,15149,13111.14,15066.85,533.27,7673294.3
2018-09-12,ETHRUR,13472.36,13548.79,12200,13399.95,369.75,4694085.24
2018-09-11,ETHRUR,14387.88,14523.14,13173.67,13472.36,297.62,4111646.61
2018-09-10,ETHRUR,14516.14,14805.04,13900,14387.88,241.77,3454949.78
2018-09-09,ETHRUR,14461.08,15348,13900,14516.14,347.94,5083208.26
2018-09-08,ETHRUR,15855.1,16100.66,14193.82,14461.08,320.82,4921084.72
2018-09-07,ETHRUR,16422.57,16900.4,15750,15855.1,253.63,4142850.31
