Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-13 06-PM,LIZARUR,82.7,88.9,82.7,88,9.52,841.38
2018-08-13 05-PM,LIZARUR,91,91.2,82.6,82.7,43.35,3724.59
2018-08-13 04-PM,LIZARUR,91.19,91.19,91,91,22.78,2073.16
2018-08-13 03-PM,LIZARUR,82.8,91.19,82.8,91.19,222.13,20244.04
2018-08-13 02-PM,LIZARUR,91.25,91.25,82.8,82.8,31.69,2782.06
2018-08-13 01-PM,LIZARUR,92.92,92.92,83.6,91.25,89.45,7717.56
2018-08-13 12-PM,LIZARUR,90.91,92.92,86,92.92,69.32,6232.69
2018-08-13 11-AM,LIZARUR,90.92,90.92,90.91,90.91,23.36,2124.09
2018-08-13 10-AM,LIZARUR,90.92,90.92,90.92,90.92,42.28,3843.79
2018-08-13 09-AM,LIZARUR,93,97,84.74,90.92,51.22,4600.2
2018-08-13 08-AM,LIZARUR,90,97,90,93,66.45,6086.9
2018-08-13 07-AM,LIZARUR,77.2,90,77.2,90,191.85,17237.99
2018-08-13 06-AM,LIZARUR,77.5,89.9,77.2,77.2,110.05,8499.65
2018-08-13 05-AM,LIZARUR,75,89.9,75,77.5,3.25,291.05
2018-08-13 04-AM,LIZARUR,89,89,75,75,344.34,26861.66
2018-08-13 03-AM,LIZARUR,85,89,85,89,0.01,0.89
2018-08-13 02-AM,LIZARUR,89.3,89.3,81,85,4.02,343.5
2018-08-13 01-AM,LIZARUR,82,89.3,81,89.3,4.01,357.9
2018-08-13 12-AM,LIZARUR,81.2,82,81.2,82,0.03,2.45
2018-08-12 11-PM,LIZARUR,88,88,81.2,81.2,0.7534,66.16
2018-08-12 10-PM,LIZARUR,89.3,89.3,88,88,1.4,124.86
2018-08-12 09-PM,LIZARUR,81,89.3,81,89.3,0.9344,83.15
2018-08-12 08-PM,LIZARUR,89,89,81,81,0.035,2.84
2018-08-12 07-PM,LIZARUR,89.3,89.3,81,89,1.03,92.3
2018-08-12 06-PM,LIZARUR,86.99,89.3,78.51,89.3,93.35,8161.66
2018-08-12 05-PM,LIZARUR,87,87,78.3,86.99,1.69,145.72
2018-08-12 04-PM,LIZARUR,78.5,87,78.2,87,4.23,367.73
2018-08-12 03-PM,LIZARUR,89,89.3,78.2,78.5,0.14,11.09
2018-08-12 02-PM,LIZARUR,82,90,81.9,89,80.7,6670.07
2018-08-12 01-PM,LIZARUR,91.9,91.9,81.9,82,1.25,111.09
2018-08-12 12-PM,LIZARUR,93,93,81.22,91.9,151.61,13247.79
2018-08-12 11-AM,LIZARUR,83,93,83,93,2.05,190.36
2018-08-12 10-AM,LIZARUR,87,95,82,83,65.6,5797.68
2018-08-12 09-AM,LIZARUR,93,95,84,87,325.14,30174.52
2018-08-12 08-AM,LIZARUR,95.9,95.9,70.1,93,194.16,15770.14
