Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume PLN
2019-01-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-12-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-11-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-10-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-09-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-08-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2018-07-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
