Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume CAD
2017-10-21,BTCCAD,7689,7742.18,7591.9,7679,519.48,3988131.61
2017-10-20,BTCCAD,7190,7700,7111.07,7689,487.84,3637347.83
2017-10-19,BTCCAD,7113.98,7250,7010.09,7190,233.85,1669718.54
2017-10-18,BTCCAD,7088,7113.98,6435.02,7113.98,365.4,2496090.29
2017-10-17,BTCCAD,7195,7197.46,7000,7088,213.95,1517706.4
2017-10-16,BTCCAD,7180,7200,6980,7195,332.79,2360352.74
2017-10-15,BTCCAD,7250,7339.99,6835.39,7180,214.25,1519748.65
2017-10-14,BTCCAD,7160,7250,6920.08,7250,210.67,1500604.86
2017-10-13,BTCCAD,6893.93,7550,6730.36,7160,799.74,5679400.65
2017-10-12,BTCCAD,6085,6893.93,6081,6893.93,426.46,2800351.09
2017-10-11,BTCCAD,6042,6188,6022,6085,312.4,1907882.76
2017-10-10,BTCCAD,6066,6200,6020.25,6042,361.42,2210423.36
2017-10-09,BTCCAD,5860,6189.99,5840,6066,553.17,3303246.36
2017-10-08,BTCCAD,5560,5880,5536.93,5860,314.3,1808682.06
2017-10-07,BTCCAD,5540,5615.98,5475,5560,242.87,1338849.1
2017-10-06,BTCCAD,5549.99,5650,5456.24,5540,264.25,1469953.91
2017-10-05,BTCCAD,5297.99,5575.99,5245,5549.99,241.84,1310604.5
2017-10-04,BTCCAD,5476.45,5487.99,5222,5297.99,707.41,3744675.6
2017-10-03,BTCCAD,5519.99,5592.92,5398,5476.45,505.45,2766508.75
2017-10-02,BTCCAD,5500,5700,5489.5,5519.99,302.76,1678345.42
2017-10-01,BTCCAD,5350,5500,5350,5500,299.59,1616185.58
2017-09-30,BTCCAD,5190.11,5474.77,5186.04,5350,332.8,1773509.47
2017-09-29,BTCCAD,5281.99,5299.98,5055.01,5190.11,384.13,1998687.67
2017-09-28,BTCCAD,5273.99,5300,5175,5281.99,320.09,1682380.53
2017-09-27,BTCCAD,4859.98,5275,4820,5273.99,643.87,3245329.01
2017-09-26,BTCCAD,4917,4930.26,4820,4859.98,240.83,1176217.99
2017-09-25,BTCCAD,4572.36,4950,4553.03,4917,497.6,2395574.61
2017-09-24,BTCCAD,4700.02,4700.02,4550,4572.36,261.7,1209517.3
2017-09-23,BTCCAD,4625,4850,4490,4700.02,267.04,1249513.42
2017-09-22,BTCCAD,4560.73,4770.01,4492,4625,430.67,1978633.87
2017-09-21,BTCCAD,4992.99,5068,4488,4560.73,1063.67,5004446.1
2017-09-20,BTCCAD,4953.81,5015,4786,4992.99,417.15,2048108.83
2017-09-19,BTCCAD,5236.98,5263.99,4900,4953.81,615.1,3093158.05
2017-09-18,BTCCAD,4770,5400,4695,5236.98,706.56,3558679.36
2017-09-17,BTCCAD,4720,4848,4610,4770,267.06,1262161.45
2017-09-16,BTCCAD,4735.07,4900,4663.02,4720,602.35,2860569.92
2017-09-15,BTCCAD,4296,5000,3800,4735.07,1774.87,7858933.33
2017-09-14,BTCCAD,4994.67,5150,4250,4296,1737.97,8006514.98
2017-09-13,BTCCAD,5232.14,5324.99,4850,4994.67,1142.58,5760944.29
2017-09-12,BTCCAD,5290,5480,5220,5232.14,502.12,2660433.19
2017-09-11,BTCCAD,5336,5429.82,5201,5290,319.76,1691224.74
2017-09-10,BTCCAD,5510,5510,5201,5336,546.17,2923339.75
2017-09-09,BTCCAD,5713.5,5713.5,5390,5510,249.09,1360068.46
2017-09-08,BTCCAD,5842.48,5888,5375.7,5713.5,903.23,4978505.45
2017-09-07,BTCCAD,5878.99,5910,5690,5842.48,335.5,1939130.84
2017-09-06,BTCCAD,5680,5919.52,5635.61,5878.99,376.49,2191375.22
2017-09-05,BTCCAD,5690,5750,5350,5680,665.28,3672670.64
2017-09-04,BTCCAD,5879.95,5902.08,5350,5690,766.93,4312617.16
2017-09-03,BTCCAD,5995,6100,5768,5879.95,312.3,1832293.95
2017-09-02,BTCCAD,6192.99,6220,5750,5995,511.24,3043251.56
2017-09-01,BTCCAD,6016.99,6193,6000,6192.99,622.91,3787587.09
2017-08-31,BTCCAD,5793.26,6115,5793.26,6016.99,315.98,1895250.43
2017-08-30,BTCCAD,5771.13,5898.5,5650.5,5793.26,331.85,1920365.46
2017-08-29,BTCCAD,5479.5,5807.77,5475,5771.13,484.13,2724956.13
2017-08-28,BTCCAD,5496.99,5550,5350.01,5479.5,283.03,1538595.73
2017-08-27,BTCCAD,5498,5499,5400,5496.99,131.6,719284.06
2017-08-26,BTCCAD,5559.98,5582.9,5435,5498,190.09,1044556.34
2017-08-25,BTCCAD,5476,5593.99,5250,5559.98,512.25,2791346.13
2017-08-24,BTCCAD,5357.1,5499,5275,5476,309.63,1655673.19
2017-08-23,BTCCAD,5220.02,5525,5127.07,5357.1,450.67,2412292.2
2017-08-22,BTCCAD,5275,5350.33,5000,5220.02,1305.5,6701645.35
2017-08-21,BTCCAD,5356,5499,5255,5275,838.3,4453877.85
2017-08-20,BTCCAD,5500,5589,5276,5356,976.87,5225875.59
2017-08-19,BTCCAD,5453.33,5681,5175,5500,803.4,4287048.24
2017-08-18,BTCCAD,5679.99,5729.98,5200,5453.33,893.13,4895493.08
2017-08-17,BTCCAD,5620,5850,5526,5679.99,488.83,2774023.1
2017-08-16,BTCCAD,5381.39,5725,5210.01,5620,651.12,3563222.52
2017-08-15,BTCCAD,5690,5759,5099,5381.39,1245.46,6719629.93
2017-08-14,BTCCAD,5371,5690,5170.83,5690,441.29,2426000.64
2017-08-13,BTCCAD,5002,5555,4993.02,5371,1329.01,6932777.5
2017-08-12,BTCCAD,4720,5199.98,4690.01,5002,530.6,2640193.81
2017-08-11,BTCCAD,4535,4868.81,4440,4720,636.28,2878095.31
2017-08-10,BTCCAD,4441,4567.05,4395,4535,324.43,1455424.94
2017-08-09,BTCCAD,4411.05,4497,4300,4441,339.62,1480276.22
2017-08-08,BTCCAD,4350,4500,4330,4411.05,281.57,1245110.93
2017-08-07,BTCCAD,4172.33,4446.91,4155,4350,292.36,1265605.79
2017-08-06,BTCCAD,4157.27,4274.22,4050.08,4172.33,234.73,985666.98
2017-08-05,BTCCAD,3739,4300,3735.04,4157.27,590.7,2413411.81
2017-08-04,BTCCAD,3602.65,3774.97,3583,3739,282.36,1040011.39
2017-08-03,BTCCAD,3544.64,3644.99,3516.01,3602.65,323.65,1157650.42
2017-08-02,BTCCAD,3600,3634.53,3499.99,3544.64,364.17,1294005.48
2017-08-01,BTCCAD,3813.24,3815,3499.99,3600,438.2,1591400.81
2017-07-31,BTCCAD,3510.5,3850,3463.01,3813.24,740.0,2677220.55
2017-07-30,BTCCAD,3480,3550,3401,3510.5,231.27,802282.97
2017-07-29,BTCCAD,3518.92,3599.01,3400,3480,340.89,1176462.15
2017-07-28,BTCCAD,3439,3600,3350.01,3518.92,447.22,1565840.98
2017-07-27,BTCCAD,3261.16,3494.97,3200.01,3439,320.99,1083382.58
2017-07-26,BTCCAD,3272.1,3500,3124.02,3261.16,688.75,2217033.03
2017-07-25,BTCCAD,3500,3527,3190,3272.1,991.85,3281391.65
2017-07-24,BTCCAD,3559.29,3610,3480.01,3500,275.01,967994.55
2017-07-23,BTCCAD,3632.99,3632.99,3480,3559.29,401.3,1432255.3
2017-07-22,BTCCAD,3376.02,3644.82,3370,3632.99,357.56,1267038.07
2017-07-21,BTCCAD,3644.97,3649,3320,3376.02,611.55,2078857.93
2017-07-20,BTCCAD,3030,3750,3010,3644.97,1747.77,5873521.35
2017-07-19,BTCCAD,3092.9,3129.2,2999,3030,795.15,2406383.96
2017-07-18,BTCCAD,2949,3249,2850.76,3092.9,1299.26,3916484.49
2017-07-17,BTCCAD,2458.91,2999,2411.03,2949,656.33,1776148.72
2017-07-16,BTCCAD,2640.96,2723,2357.14,2458.91,956.09,2386495.28
2017-07-15,BTCCAD,2880,2949.99,2587.37,2640.96,787.65,2137772.81
2017-07-14,BTCCAD,3063.6,3090.83,2850,2880,476.26,1403867.99
2017-07-13,BTCCAD,3100,3133.99,3034,3063.6,323.95,994671.39
2017-07-12,BTCCAD,2999,3101,2939.37,3100,761.74,2301321.29
2017-07-11,BTCCAD,3100,3101,2999,2999,886.72,2690660.38
2017-07-10,BTCCAD,3298,3298,3099,3100,899.49,2879532.96
2017-07-09,BTCCAD,3364.55,3367.99,3292,3298,297.47,984456.13
2017-07-08,BTCCAD,3299,3383.39,3260,3364.55,294.55,971039.27
2017-07-07,BTCCAD,3374.3,3414.99,3275,3299,535.18,1780487.59
2017-07-06,BTCCAD,3438.89,3445.83,3365,3374.3,265.74,899720.97
2017-07-05,BTCCAD,3399,3450.55,3350,3438.89,284.89,966559.61
2017-07-04,BTCCAD,3399.98,3490.98,3350,3399,329.47,1126539.09
2017-07-03,BTCCAD,3388.08,3425,3240,3399.98,429.75,1441057.83
2017-07-02,BTCCAD,3258.51,3399,3151,3388.08,349.66,1136018.93
2017-07-01,BTCCAD,3334.94,3349.33,3235,3258.51,310.87,1024748.1
