Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-06-25 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-24 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-23 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-22 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-21 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-20 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
