Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-07-26 04-PM,LTCRUB,6014.48,6068.23,5976.52,6037.39,50.11,301893.03
2019-07-26 03-PM,LTCRUB,6006.86,6021.55,5976.55,6014.48,53.9,323170.67
2019-07-26 02-PM,LTCRUB,5972.92,6018.08,5946.81,6006.86,53.98,322586.61
2019-07-26 01-PM,LTCRUB,5997.65,6010.69,5937.54,5972.92,45.75,273367.91
2019-07-26 12-PM,LTCRUB,6059.59,6069.12,5989.15,5997.65,80.45,485133.87
2019-07-26 11-AM,LTCRUB,5987.32,6101.98,5983.75,6059.59,52.15,315302.75
2019-07-26 10-AM,LTCRUB,5988.85,6018.43,5970.53,5987.32,58.11,348526.07
2019-07-26 09-AM,LTCRUB,5975,6001.62,5965.64,5988.85,46.27,276986.51
2019-07-26 08-AM,LTCRUB,5964.99,5984.84,5943.43,5975,45.68,272403.91
2019-07-26 07-AM,LTCRUB,5901.06,5984.84,5883.12,5964.99,62.92,373639.43
2019-07-26 06-AM,LTCRUB,5930.4,5949.05,5879.21,5901.06,97.18,574834.53
2019-07-26 05-AM,LTCRUB,5947.38,5947.4,5911.09,5930.4,46.24,274201.55
2019-07-26 04-AM,LTCRUB,5925.37,5982.7,5917.63,5947.38,45.83,272189.09
