Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EUSD
2018-11-03,DOGEUSD,0.003935,0.003978,0.003843,0.00385,884846.11,3455.81
2018-11-02,DOGEUSD,0.003979,0.003987,0.003883,0.003935,1403773.85,5511.34
2018-11-01,DOGEUSD,0.003902,0.004001,0.00387,0.003979,1201562.91,4718.68
2018-10-31,DOGEUSD,0.00407,0.0041,0.003861,0.003902,1267614.19,5063.87
2018-10-30,DOGEUSD,0.004,0.004139,0.004,0.00407,1269271.77,5172.57
2018-10-29,DOGEUSD,0.004213,0.004279,0.004,0.004,1383349.3,5666.32
2018-10-28,DOGEUSD,0.004413,0.004413,0.00421,0.004213,1220631.79,5228.2
2018-10-27,DOGEUSD,0.0042,0.0045,0.004124,0.004413,1214622.8,5272.7
2018-10-26,DOGEUSD,0.003945,0.0042,0.0039,0.0042,1956395.92,7960.13
2018-10-25,DOGEUSD,0.004095,0.00416,0.003842,0.003945,3002641.57,12019.46
2018-10-24,DOGEUSD,0.004366,0.004425,0.004,0.004095,1892658.64,7835.08
2018-10-23,DOGEUSD,0.004542,0.004615,0.004345,0.004366,1562907.38,6930.05
2018-10-22,DOGEUSD,0.004672,0.004766,0.004539,0.004542,1146597.43,5354.93
2018-10-21,DOGEUSD,0.004746,0.004814,0.004668,0.004672,913533.91,4346.51
2018-10-20,DOGEUSD,0.004772,0.00485,0.00463,0.004746,1206012.49,5714.26
2018-10-19,DOGEUSD,0.004549,0.0048,0.004374,0.004772,1304835.98,6002.84
2018-10-18,DOGEUSD,0.004684,0.005071,0.004207,0.004549,2294966.89,10559.13
2018-10-17,DOGEUSD,0.005112,0.0052,0.004501,0.004684,1980443.11,9711.17
2018-10-16,DOGEUSD,0.005277,0.00539,0.0051,0.005112,1533683.88,7959.83
2018-10-15,DOGEUSD,0.005416,0.005587,0.005237,0.005277,1678721.7,8952.35
2018-10-14,DOGEUSD,0.005493,0.005528,0.005407,0.005416,518060.16,2831.37
