Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume AUD
2018-06-21,ETCAUD,23.35,24,22.41,23.56,10567.76,245897.4
2018-06-20,ETCAUD,20.81,23.35,20.15,23.35,17356.17,367752.41
2018-06-19,ETCAUD,20.43,21.44,20.1,20.81,4702.99,97757.56
2018-06-18,ETCAUD,19.22,20.88,18.83,20.43,15371.61,304505.16
2018-06-17,ETCAUD,19.42,19.7,19.06,19.22,3309.6,63870.87
2018-06-16,ETCAUD,18.7,19.66,18.67,19.42,5169.71,99397.94
2018-06-15,ETCAUD,19,19.95,18.31,18.7,20423.05,383332.17
2018-06-14,ETCAUD,18.29,19.34,17.6,19,4353.26,80361.59
2018-06-13,ETCAUD,19.5,19.82,17.21,18.29,14485.8,264617.82
2018-06-12,ETCAUD,17.15,21.69,17,19.5,42981.48,863649.45
2018-06-11,ETCAUD,17,18.04,16.4,17.15,22381.92,380640.51
2018-06-10,ETCAUD,19.92,19.95,16.34,17,37160.49,676044.86
2018-06-09,ETCAUD,20.17,20.5,19.92,19.92,6593.5,133059.1
2018-06-08,ETCAUD,20.15,20.7,19.9,20.17,3303.98,67028.91
2018-06-07,ETCAUD,20.04,20.45,19.86,20.15,7799.42,156153.28
2018-06-06,ETCAUD,20.53,20.53,19.59,20.04,5699.8,113733.04
2018-06-05,ETCAUD,20.06,20.86,19.51,20.53,3482.64,69568.05
2018-06-04,ETCAUD,21.25,21.68,19.79,20.06,6059.95,125344.51
2018-06-03,ETCAUD,21,21.87,21,21.25,3340.48,71879.83
2018-06-02,ETCAUD,20.5,21.15,20.1,21,5986.73,125370.47
2018-06-01,ETCAUD,20.23,20.56,20.11,20.5,3123.15,63160.97
2018-05-31,ETCAUD,20.02,20.67,19.86,20.23,1221.97,24549.28
2018-05-30,ETCAUD,20.24,20.84,19.82,20.02,2276.81,46334.61
2018-05-29,ETCAUD,19.2,20.66,18.88,20.24,9915.59,197589.29
2018-05-28,ETCAUD,20.3,20.65,19,19.2,5340.54,104064.77
2018-05-27,ETCAUD,20.49,20.49,19.91,20.3,1248.12,25071.19
2018-05-26,ETCAUD,20.09,20.9,19.93,20.49,3868.2,79634.0
2018-05-25,ETCAUD,20.92,21.18,19.83,20.09,9765.27,197668.55
2018-05-24,ETCAUD,20,20.92,19.25,20.92,8097.97,163179.07
2018-05-23,ETCAUD,21.83,22.44,19.51,20,19589.1,407628.85
2018-05-22,ETCAUD,23.04,24,21.8,21.83,5339.86,119738.04
2018-05-21,ETCAUD,24.2,24.25,23,23.04,1400.76,33249.34
2018-05-20,ETCAUD,23.52,24.39,23.3,24.2,5588.71,133267.07
2018-05-19,ETCAUD,23.79,24,23.26,23.52,1528.31,36469.13
2018-05-18,ETCAUD,22.26,24.47,22.26,23.79,2476.91,57651.24
2018-05-17,ETCAUD,23.53,24.44,22.26,22.26,14008.5,330789.05
2018-05-16,ETCAUD,24.53,24.68,22.73,23.53,14812.7,346817.82
2018-05-15,ETCAUD,25.19,26.35,24.5,24.53,7606.78,194048.07
2018-05-14,ETCAUD,25.05,25.4,23.3,25.19,6349.98,153805.89
2018-05-13,ETCAUD,24.57,25.4,23.8,25.05,4471.7,110068.03
2018-05-12,ETCAUD,23.5,25,22.2,24.57,8588.09,202976.56
2018-05-11,ETCAUD,26.13,26.52,22.55,23.5,26395.57,637709.94
2018-05-10,ETCAUD,28.67,29.03,26.13,26.13,5528.94,153450.57
2018-05-09,ETCAUD,29.94,30.13,27.04,28.67,8206.86,233141.54
2018-05-08,ETCAUD,30.49,31.45,29.55,29.94,4939.19,149640.2
2018-05-07,ETCAUD,33.3,33.3,30,30.49,6734.23,208267.63
2018-05-06,ETCAUD,29.91,33.31,29.91,33.3,18845.87,593663.46
2018-05-05,ETCAUD,29.25,30.27,29.2,29.91,5834.93,173882.66
2018-05-04,ETCAUD,30,30.01,28.7,29.25,6712.92,197500.07
