Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ABTC
2019-01-02,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,8541449.7,0.08541
2019-01-01,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,6654681.77,0.06655
2018-12-31,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,2778891.51,0.02779
2018-12-30,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1457959.58,0.01458
2018-12-29,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,2901719.36,0.02902
2018-12-28,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,3698267.66,0.03698
2018-12-27,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,151397.43,0.001514
2018-12-26,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,375887.83,0.003759
2018-12-25,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,929556.49,0.009296
2018-12-24,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1855048.5,0.01855
2018-12-23,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,309095.3,0.003091
2018-12-22,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1421036.0,0.01421
2018-12-21,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,344322.3,0.003443
2018-12-20,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,212000.0,0.00212
2018-12-19,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1618518.76,0.01619
2018-12-18,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,876595.11,0.008766
2018-12-17,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,170176.45,0.001702
2018-12-16,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1091750.54,0.01092
2018-12-15,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,152033.73,0.00152
2018-12-14,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,29133.63,0.0002913
2018-12-13,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1157685.53,0.01158
2018-12-12,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1310798.95,0.01311
2018-12-11,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,2371497.09,0.02371
2018-12-10,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,149098.6,0.001491
2018-12-09,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,720335.07,0.007203
