Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2018-08-14 07-PM,BTCRUR,424848.42,426888,424176.48,426816.9,2.11,897834.07
2018-08-14 06-PM,BTCRUR,423900,425272,422483,424848.42,1.88,795594.92
2018-08-14 05-PM,BTCRUR,424906.16,425998,420500,423900,4.08,1726238.57
2018-08-14 04-PM,BTCRUR,421757.31,425000,418000,424906.16,4.34,1831510.08
2018-08-14 03-PM,BTCRUR,424000,429888,420001,421757.31,1.83,774163.14
2018-08-14 02-PM,BTCRUR,434895.61,437764,424000,424000,3.07,1319541.41
2018-08-14 01-PM,BTCRUR,422956.19,438514,422956.19,434895.61,1.88,812385.81
2018-08-14 12-PM,BTCRUR,423000,429993.32,421002,422956.19,2.11,892261.06
2018-08-14 11-AM,BTCRUR,425829.96,425829.96,420000,423000,2.61,1100181.14
2018-08-14 10-AM,BTCRUR,424943.93,429934.31,420002,425829.96,3.25,1378879.55
2018-08-14 09-AM,BTCRUR,425000,430577.12,420032,424943.93,3.23,1371662.68
2018-08-14 08-AM,BTCRUR,430619.81,434000,423212.5,425000,4.06,1738466.16
2018-08-14 07-AM,BTCRUR,430000,434000.3,427692,430619.81,0.8157,351680.35
2018-08-14 06-AM,BTCRUR,432400,437766.08,426839.56,430000,2.17,935171.95
2018-08-14 05-AM,BTCRUR,439271.27,440054.44,427000,432400,3.18,1381992.45
2018-08-14 04-AM,BTCRUR,441390,442500,439254.53,439271.27,5.39,2374664.16
2018-08-14 03-AM,BTCRUR,442519.71,445978,441389.83,441390,4.7,2079359.79
2018-08-14 02-AM,BTCRUR,443874.29,446516.46,442519.71,442519.71,3.2,1417305.36
2018-08-14 01-AM,BTCRUR,448003.99,449258.38,443874.29,443874.29,1.36,607943.0
2018-08-14 12-AM,BTCRUR,446663.9,448003.99,443500,448003.99,3.33,1481458.51
2018-08-13 11-PM,BTCRUR,446391,447894,443928.21,446663.9,1.16,513923.55
2018-08-13 10-PM,BTCRUR,446000,448811.21,444347.54,446391,1.81,808196.22
2018-08-13 09-PM,BTCRUR,447000,448788,445657.42,446000,1.81,809579.62
2018-08-13 08-PM,BTCRUR,445758.22,448803.2,444427.95,447000,2.77,1234621.38
2018-08-13 07-PM,BTCRUR,448900,449122,444816.54,445758.22,2.74,1223714.77
2018-08-13 06-PM,BTCRUR,449005,449345.55,445470,448900,2.45,1094030.47
2018-08-13 05-PM,BTCRUR,453147.46,453147.46,446820.71,449005,2.08,932157.1
2018-08-13 04-PM,BTCRUR,454022.41,455000,450000,453147.46,2.6,1172487.43
2018-08-13 03-PM,BTCRUR,454920,456868.56,451097.81,454022.41,1.89,860127.09
2018-08-13 02-PM,BTCRUR,454605,456500,453510,454920,0.6845,311356.04
2018-08-13 01-PM,BTCRUR,457168.49,460738,452277.32,454605,2.02,921634.94
2018-08-13 12-PM,BTCRUR,460500,460999,457168.49,457168.49,1.36,626250.25
2018-08-13 11-AM,BTCRUR,461895.98,462994,458017.1,460500,1.34,617584.39
2018-08-13 10-AM,BTCRUR,459898.36,463000,457040.14,461895.98,1.11,512990.41
2018-08-13 09-AM,BTCRUR,462000,462000,455498.02,459898.36,2.28,1045339.23
2018-08-13 08-AM,BTCRUR,457701,463511.14,457701,462000,2.46,1134202.06
2018-08-13 07-AM,BTCRUR,458319.83,460142,455701,457701,0.6938,318364.0
2018-08-13 06-AM,BTCRUR,450146.04,460000,450145,458319.83,2.52,1149514.46
2018-08-13 05-AM,BTCRUR,450141,452999,450140.24,450146.04,0.6374,287400.06
2018-08-13 04-AM,BTCRUR,451995.48,452999.11,449000.1,450141,0.3336,150725.1
2018-08-13 03-AM,BTCRUR,447300,452990,447300,451995.48,0.1308,59120.98
2018-08-13 02-AM,BTCRUR,448839,451522.62,447300,447300,0.3823,171047.39
2018-08-13 01-AM,BTCRUR,450687.12,452666.21,447613.4,448839,0.1246,55990.8
2018-08-13 12-AM,BTCRUR,452898,452899.99,450687.12,450687.12,0.08225,37104.05
2018-08-12 11-PM,BTCRUR,447500.21,452899.99,447500.21,452898,0.3996,180617.38
2018-08-12 10-PM,BTCRUR,448900,452999.1,446854,447500.21,0.9174,412695.12
2018-08-12 09-PM,BTCRUR,449000,452999.12,446850,448900,2.06,929312.69
2018-08-12 08-PM,BTCRUR,448100,450688.49,445401,449000,0.9194,411981.12
2018-08-12 07-PM,BTCRUR,447000,451356.5,445070.44,448100,2.19,979750.98
2018-08-12 06-PM,BTCRUR,447800,449794,445555.56,447000,2.28,1017941.55
2018-08-12 05-PM,BTCRUR,447450,450000,446000,447800,3.17,1419472.58
2018-08-12 04-PM,BTCRUR,447500,447500,443932.41,447450,1.09,487728.57
2018-08-12 03-PM,BTCRUR,447450,450000,446010,447500,1.37,612115.43
2018-08-12 02-PM,BTCRUR,443200,449993,443200,447450,1.59,713749.39
2018-08-12 01-PM,BTCRUR,445000,449999,443006.47,443200,3.29,1465130.47
2018-08-12 12-PM,BTCRUR,451925.35,451979.59,443030,445000,2.03,907882.38
2018-08-12 11-AM,BTCRUR,452000,453714.08,447388.19,451925.35,2.51,1126984.23
2018-08-12 10-AM,BTCRUR,449000,452110,448454.43,452000,2.69,1211964.09
2018-08-12 09-AM,BTCRUR,446700,452025,445993.15,449000,1.74,779166.09
2018-08-12 08-AM,BTCRUR,447992.23,450320,445500.1,446700,1.9,850762.66
2018-08-12 07-AM,BTCRUR,450200.1,455338.19,446334.57,447992.23,2.68,1202509.98
2018-08-12 06-AM,BTCRUR,450000,455400,442883,450200.1,0.6353,287071.5
2018-08-12 05-AM,BTCRUR,442999.5,455925,441001,450000,0.5018,223606.21
2018-08-12 04-AM,BTCRUR,451052.07,455700,442999.5,442999.5,1.65,739429.8
2018-08-12 03-AM,BTCRUR,450012,455925,450011.48,451052.07,0.8797,396208.47
2018-08-12 02-AM,BTCRUR,449346.11,455926.26,449346.11,450012,0.1666,75005.92
2018-08-12 01-AM,BTCRUR,451259.2,456108.4,449169.09,449346.11,0.1919,86984.29
2018-08-12 12-AM,BTCRUR,452724,456105.01,447000,451259.2,0.7635,344748.49
2018-08-11 11-PM,BTCRUR,459415,461123.68,452724,452724,1.25,572711.62
2018-08-11 10-PM,BTCRUR,454100,460000,454001,459415,0.8826,404331.91
2018-08-11 09-PM,BTCRUR,452999.98,456999,451000.1,454100,0.7245,328517.83
2018-08-11 08-PM,BTCRUR,453000,456994.43,450605.01,452999.98,1.61,728269.84
2018-08-11 07-PM,BTCRUR,454000,455685.82,448902.8,453000,1.4,633004.33
2018-08-11 06-PM,BTCRUR,452999.25,457369.94,452999.25,454000,2.13,970475.92
2018-08-11 05-PM,BTCRUR,435700,455000,434970,452999.25,4.01,1791397.98
2018-08-11 04-PM,BTCRUR,436500,444103.6,433000,435700,3.0,1305773.61
2018-08-11 03-PM,BTCRUR,444000,445000,433059,436500,3.88,1697594.28
2018-08-11 02-PM,BTCRUR,439920.8,444000,436000,444000,1.02,450951.36
2018-08-11 01-PM,BTCRUR,437999,440000,433001,439920.8,2.45,1066149.27
2018-08-11 12-PM,BTCRUR,434275.13,438000.1,432738.17,437999,2.76,1201205.49
2018-08-11 11-AM,BTCRUR,437250.3,438000,432000.1,434275.13,1.19,520631.6
2018-08-11 10-AM,BTCRUR,438000.1,438000.1,431251.61,437250.3,1.52,663011.45
2018-08-11 09-AM,BTCRUR,436300,438000.1,431043.1,438000.1,1.89,818193.71
2018-08-11 08-AM,BTCRUR,431548.4,438800.43,430680,436300,1.57,681671.81
2018-08-11 07-AM,BTCRUR,434044.42,435753.77,430010,431548.4,2.19,946711.14
2018-08-11 06-AM,BTCRUR,436423,438000,433088.38,434044.42,2.16,940896.62
2018-08-11 05-AM,BTCRUR,439950,439950,434000,436423,1.78,774471.16
2018-08-11 04-AM,BTCRUR,434999.33,439950,434291.96,439950,1.56,679950.9
2018-08-11 03-AM,BTCRUR,439920,439950,434074.08,434999.33,0.2371,103684.46
2018-08-11 02-AM,BTCRUR,437218.24,439950,431804.94,439920,0.2718,118104.37
2018-08-11 01-AM,BTCRUR,430898.77,439950,430000,437218.24,0.3353,145321.03
2018-08-11 12-AM,BTCRUR,435500,439950,430046.1,430898.77,0.9134,397338.52
2018-08-10 11-PM,BTCRUR,431500,440516.1,429971.17,435500,2.4,1036790.95
2018-08-10 10-PM,BTCRUR,440000,446999.1,430001,431500,1.96,850822.33
2018-08-10 09-PM,BTCRUR,438100,444000.18,430000,440000,4.24,1845442.01
2018-08-10 08-PM,BTCRUR,446300,449417,436000.1,438100,1.12,500789.73
2018-08-10 07-PM,BTCRUR,445001,448899.4,444116.46,446300,0.8599,384284.08
2018-08-10 06-PM,BTCRUR,442668.39,448205.23,442668.39,445001,1.49,663825.98
2018-08-10 05-PM,BTCRUR,444883.55,444883.55,439006,442668.39,0.6436,283736.29
2018-08-10 04-PM,BTCRUR,445000,447150,442001,444883.55,1.63,724948.07
2018-08-10 03-PM,BTCRUR,441933.7,446500,441056.78,445000,1.58,700015.69
2018-08-10 02-PM,BTCRUR,442351,444000,439800.26,441933.7,1.63,722480.31
2018-08-10 01-PM,BTCRUR,440775.26,445000,440000.4,442351,1.24,547026.52
2018-08-10 12-PM,BTCRUR,434629,440775.26,433863.24,440775.26,1.53,671649.4
2018-08-10 11-AM,BTCRUR,436074,438400,433000,434629,1.28,558274.94
2018-08-10 10-AM,BTCRUR,435000.01,439303,435000.01,436074,1.5,654960.5
2018-08-10 09-AM,BTCRUR,438000,438000,435000,435000.01,1.64,715069.33
2018-08-10 08-AM,BTCRUR,438995.61,441655,437200,438000,1.45,634214.93
2018-08-10 07-AM,BTCRUR,435008,444500,435008,438995.61,1.18,517813.49
