Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2018-08-06,QTUMETH,0.01591,0.01634,0.01563,0.01581,54484.0,870.03
2018-08-05,QTUMETH,0.01544,0.01591,0.01525,0.01591,56430.27,884.3
2018-08-04,QTUMETH,0.01511,0.01566,0.01508,0.01544,56097.96,863.74
2018-08-03,QTUMETH,0.01559,0.01559,0.01485,0.01511,66455.33,1008.85
2018-08-02,QTUMETH,0.01622,0.01649,0.01549,0.01559,58271.14,924.01
2018-08-01,QTUMETH,0.01589,0.01635,0.015,0.01622,64166.07,1016.76
2018-07-31,QTUMETH,0.01628,0.01628,0.01562,0.01589,61062.74,971.83
2018-07-30,QTUMETH,0.01658,0.01671,0.01601,0.01628,62865.91,1034.91
2018-07-29,QTUMETH,0.01662,0.01675,0.01641,0.01658,56974.69,943.87
2018-07-28,QTUMETH,0.01676,0.01684,0.01642,0.01662,56957.86,945.99
2018-07-27,QTUMETH,0.01676,0.0169,0.01649,0.01676,56051.75,937.79
2018-07-26,QTUMETH,0.01711,0.01735,0.01659,0.01676,55969.7,953.93
2018-07-25,QTUMETH,0.01702,0.01729,0.01665,0.01711,66553.32,1134.86
2018-07-24,QTUMETH,0.01733,0.01739,0.01678,0.01702,55362.0,944.08
2018-07-23,QTUMETH,0.01705,0.01779,0.01687,0.01733,54832.13,942.6
2018-07-22,QTUMETH,0.01697,0.0179,0.0167,0.01705,56993.98,969.72
2018-07-21,QTUMETH,0.01718,0.01725,0.01666,0.01697,58723.18,994.98
2018-07-20,QTUMETH,0.01788,0.01801,0.01709,0.01718,55920.51,978.18
2018-07-19,QTUMETH,0.01788,0.01831,0.0176,0.01788,56184.63,1001.12
2018-07-18,QTUMETH,0.01777,0.01831,0.0175,0.01788,91116.06,1615.79
2018-07-17,QTUMETH,0.01755,0.01793,0.01702,0.01777,106320.35,1845.04
2018-07-16,QTUMETH,0.01744,0.01766,0.01708,0.01755,61852.85,1075.06
2018-07-15,QTUMETH,0.01767,0.01774,0.01732,0.01744,50035.7,873.89
2018-07-14,QTUMETH,0.01769,0.01775,0.01731,0.01767,42308.39,741.55
