Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2018-10-28,DASHETH,0.7565,0.7691,0.7541,0.7666,130.67,99.55
2018-10-27,DASHETH,0.7655,0.7722,0.7541,0.7565,121.02,92.55
2018-10-26,DASHETH,0.7699,0.7722,0.7564,0.7655,133.18,102.05
2018-10-25,DASHETH,0.7706,0.7767,0.7656,0.7699,181.07,139.73
2018-10-24,DASHETH,0.7584,0.7861,0.7546,0.7706,189.6,146.66
2018-10-23,DASHETH,0.7473,0.763,0.7473,0.7584,133.48,101.03
2018-10-22,DASHETH,0.756,0.7583,0.7458,0.7473,245.1,184.37
2018-10-21,DASHETH,0.7541,0.763,0.7518,0.756,172.42,130.28
2018-10-20,DASHETH,0.7558,0.7653,0.7496,0.7541,112.14,85.04
2018-10-19,DASHETH,0.7641,0.7669,0.7527,0.7558,132.35,100.44
2018-10-18,DASHETH,0.7743,0.7777,0.7596,0.7641,135.62,104.53
2018-10-17,DASHETH,0.7789,0.7859,0.7686,0.7743,126.53,98.45
2018-10-16,DASHETH,0.7847,0.7908,0.7836,0.7902,3.64,2.86
2018-10-15,DASHETH,0.8095,0.8116,0.7451,0.7847,242.17,187.48
2018-10-14,DASHETH,0.8105,0.8172,0.7983,0.8095,128.8,103.78
2018-10-13,DASHETH,0.8058,0.8105,0.7865,0.8105,106.34,84.87
2018-10-12,DASHETH,0.8202,0.8213,0.7892,0.8058,133.97,107.83
2018-10-11,DASHETH,0.7935,0.8462,0.7912,0.8202,340.26,277.64
2018-10-10,DASHETH,0.7927,0.8004,0.7843,0.7935,111.99,88.71
2018-10-09,DASHETH,0.7979,0.8019,0.7887,0.7927,124.88,99.24
2018-10-08,DASHETH,0.7997,0.8052,0.793,0.7979,112.83,90.14
2018-10-07,DASHETH,0.8035,0.8122,0.7957,0.7997,127.13,102.11
2018-10-06,DASHETH,0.8015,0.8272,0.7988,0.8035,139.98,113.27
2018-10-05,DASHETH,0.8163,0.8209,0.7932,0.8015,112.42,91.24
2018-10-04,DASHETH,0.8074,0.8173,0.7986,0.8163,123.35,99.62
2018-10-03,DASHETH,0.8037,0.8242,0.7985,0.8074,133.02,107.83
2018-10-02,DASHETH,0.8107,0.8197,0.75,0.8037,239.62,186.9
