Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-08-15 05-AM,ZECRUR,9300,9300.2,9300,9300.2,0.7631,7096.68
2018-08-15 04-AM,ZECRUR,9424.46,9591.47,9300,9300,0.258,2438.24
2018-08-15 03-AM,ZECRUR,9440.21,9440.21,9424.46,9424.46,0.07815,737.1
2018-08-15 02-AM,ZECRUR,9339.02,9698.64,9104.07,9440.21,2.33,21871.46
2018-08-15 01-AM,ZECRUR,9087.72,9339.02,9087.72,9339.02,0.0002157,2.01
2018-08-15 12-AM,ZECRUR,9234.95,9340.85,9087.72,9087.72,0.3483,3221.91
2018-08-14 11-PM,ZECRUR,9000,9247.61,8939.03,9234.95,0.7055,6502.77
2018-08-14 10-PM,ZECRUR,8817.2,9014.41,8813.88,9000,1.13,10128.19
2018-08-14 09-PM,ZECRUR,8877.56,8951.13,8817.2,8817.2,0.7363,6533.7
2018-08-14 08-PM,ZECRUR,9087.13,9087.13,8877.56,8877.56,0.7997,7194.12
2018-08-14 07-PM,ZECRUR,8805,9122.09,8805,9087.13,0.8919,7980.04
2018-08-14 06-PM,ZECRUR,9418.78,9418.78,8805,8805,2.33,20694.07
2018-08-14 05-PM,ZECRUR,8810.01,9425.44,8805,9418.78,5.47,49542.87
2018-08-14 04-PM,ZECRUR,9062.44,9186.68,8801,8810.01,6.76,60404.13
2018-08-14 03-PM,ZECRUR,9100,9204.6,9039.21,9062.44,4.92,45096.58
2018-08-14 02-PM,ZECRUR,9511.6,9563.29,9100,9100,10.66,100093.66
2018-08-14 01-PM,ZECRUR,9269.13,9511.6,9269,9511.6,2.35,22171.82
2018-08-14 12-PM,ZECRUR,9175.26,9315.25,9047.24,9269.13,1.68,15351.87
2018-08-14 11-AM,ZECRUR,9148,9319.41,9148,9175.26,0.2608,2418.77
2018-08-14 10-AM,ZECRUR,9377.52,9413.63,9148,9148,2.11,19685.32
2018-08-14 09-AM,ZECRUR,9470.11,9470.11,9106.27,9377.52,6.32,58909.37
2018-08-14 08-AM,ZECRUR,9527.77,9587.1,9363.28,9470.11,1.11,10489.47
2018-08-14 07-AM,ZECRUR,9491.95,9734.21,9300,9527.77,1.62,15268.49
2018-08-14 06-AM,ZECRUR,9600,9642.76,9491.95,9491.95,5.04,48357.32
2018-08-14 05-AM,ZECRUR,9903.49,10005,9570.8,9600,4.47,43675.75
2018-08-14 04-AM,ZECRUR,9705.97,9917.6,9685.64,9903.49,3.55,34922.78
2018-08-14 03-AM,ZECRUR,9594.92,9810,9421.71,9705.97,3.88,36958.41
2018-08-14 02-AM,ZECRUR,9500,9881.63,9288.54,9594.92,5.25,49887.32
2018-08-14 01-AM,ZECRUR,10041.16,10041.16,9500,9500,15.72,152647.86
2018-08-14 12-AM,ZECRUR,10200,10201,10041.16,10041.16,3.35,33930.28
2018-08-13 11-PM,ZECRUR,10333.13,10333.13,10200,10200,2.39,24705.09
2018-08-13 10-PM,ZECRUR,10552.36,10568.14,10300,10333.13,6.08,63602.3
2018-08-13 09-PM,ZECRUR,10696.3,10700,10465,10552.36,2.43,25637.74
2018-08-13 08-PM,ZECRUR,10505,10697.65,10460,10696.3,7.26,76348.96
2018-08-13 07-PM,ZECRUR,10719.93,10719.93,10505,10505,7.6,80511.59
2018-08-13 06-PM,ZECRUR,10747.71,10747.71,10617,10719.93,1.69,17974.93
2018-08-13 05-PM,ZECRUR,10910,10910,10567.62,10747.71,5.73,61451.5
2018-08-13 04-PM,ZECRUR,11100,11116.6,10910,10910,2.09,23106.42
2018-08-13 03-PM,ZECRUR,11251,11251,11100,11100,13.56,151665.75
2018-08-13 02-PM,ZECRUR,11250,11251,11250,11251,0.9446,10626.59
2018-08-13 01-PM,ZECRUR,11320.12,11320.12,11242,11250,1.52,17117.54
2018-08-13 12-PM,ZECRUR,11241.79,11440.12,11241.79,11320.12,7.65,86254.48
2018-08-13 11-AM,ZECRUR,11337.19,11370,11238.25,11241.79,2.85,32399.84
2018-08-13 10-AM,ZECRUR,11215,11416.24,11215,11337.19,2.04,22984.93
2018-08-13 09-AM,ZECRUR,11260.01,11429,11210.32,11215,2.72,30565.5
2018-08-13 08-AM,ZECRUR,11210.39,11429,11210.39,11260.01,3.14,35318.09
2018-08-13 07-AM,ZECRUR,11202.29,11210.39,11202.29,11210.39,1.06,11830.12
2018-08-13 06-AM,ZECRUR,11200,11433.64,11200,11202.29,1.32,14806.13
2018-08-13 05-AM,ZECRUR,11227.71,11442.55,11200,11200,0.457,5145.83
2018-08-13 04-AM,ZECRUR,11184.73,11450.79,11177.31,11227.71,0.4334,4892.25
2018-08-13 03-AM,ZECRUR,11203,11298,11172.08,11184.73,0.2189,2466.94
2018-08-13 02-AM,ZECRUR,11217.01,11217.01,11203,11203,0.2088,2339.84
2018-08-13 01-AM,ZECRUR,11219.27,11219.27,11217.01,11217.01,0.4662,5229.25
2018-08-13 12-AM,ZECRUR,11217.01,11227.59,11217.01,11219.27,0.2046,2296.74
2018-08-12 11-PM,ZECRUR,11232.58,11488.06,11217.01,11217.01,1.23,13788.62
2018-08-12 10-PM,ZECRUR,11217.01,11320,11217.01,11232.58,0.7582,8549.8
2018-08-12 09-PM,ZECRUR,11217,11218.06,11217,11217.01,0.2209,2478.12
2018-08-12 08-PM,ZECRUR,11349,11349,11217,11217,0.9313,10446.47
2018-08-12 07-PM,ZECRUR,11388.28,11493.1,11217.97,11349,2.02,22878.8
2018-08-12 06-PM,ZECRUR,11219.67,11388.28,11217.97,11388.28,0.3622,4099.59
2018-08-12 05-PM,ZECRUR,11209,11440.63,11203,11219.67,2.32,26068.19
2018-08-12 04-PM,ZECRUR,11205,11304.97,11205,11209,0.7918,8875.46
2018-08-12 03-PM,ZECRUR,11207,11307,11205,11205,2.0,22467.85
2018-08-12 02-PM,ZECRUR,11257.43,11575,11205,11207,1.58,18255.14
2018-08-12 01-PM,ZECRUR,11204.25,11600,11203,11257.43,3.18,36144.77
2018-08-12 12-PM,ZECRUR,11333.66,11380,11203,11204.25,0.8023,9020.31
2018-08-12 11-AM,ZECRUR,11499.99,11503.05,11333.66,11333.66,1.98,22663.28
2018-08-12 10-AM,ZECRUR,11261.73,11499.99,11261.73,11499.99,1.03,11807.98
2018-08-12 09-AM,ZECRUR,11499,11499,11252.47,11261.73,2.3,26188.69
2018-08-12 08-AM,ZECRUR,11299,11499,11248.38,11499,9.62,109231.63
2018-08-12 07-AM,ZECRUR,11500,11500,11298.31,11299,0.6553,7438.31
2018-08-12 06-AM,ZECRUR,11185.37,11500,11185.37,11500,3.61,41335.92
2018-08-12 05-AM,ZECRUR,11390.98,11500,11156.33,11185.37,4.09,46322.6
2018-08-12 04-AM,ZECRUR,11198.36,11450,11154.07,11390.98,1.17,13198.56
2018-08-12 03-AM,ZECRUR,11187.44,11480.36,11187.44,11198.36,0.4112,4606.88
2018-08-12 02-AM,ZECRUR,11487.06,11487.06,11184.45,11187.44,0.01392,155.69
2018-08-12 01-AM,ZECRUR,11178.3,11487.06,11178.3,11487.06,0.02792,317.62
2018-08-12 12-AM,ZECRUR,11496.66,11496.66,11172.72,11178.3,1.54,17303.07
2018-08-11 11-PM,ZECRUR,11406.04,11500,11169.03,11496.66,0.2699,3097.68
2018-08-11 10-PM,ZECRUR,11328.44,11406.04,11076.04,11406.04,0.361,4096.55
2018-08-11 09-PM,ZECRUR,11236.91,11385.44,11000,11328.44,5.53,61286.64
2018-08-11 08-PM,ZECRUR,11381.71,11381.71,11057.68,11236.91,0.421,4702.61
2018-08-11 07-PM,ZECRUR,11306.51,11381.71,10815,11381.71,1.19,13140.61
2018-08-11 06-PM,ZECRUR,11350.15,11590.66,11306.51,11306.51,0.7065,8085.25
2018-08-11 05-PM,ZECRUR,11295.13,11350.85,10876.15,11350.15,7.01,78870.09
