Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2018-11-09,XVGBTC,2.09e-06,2.1e-06,2.06e-06,2.07e-06,369278.07,0.7658
2018-11-08,XVGBTC,2.14e-06,2.14e-06,2.05e-06,2.09e-06,508314.51,1.06
2018-11-07,XVGBTC,2.13e-06,2.16e-06,2.1e-06,2.14e-06,345224.76,0.734
2018-11-06,XVGBTC,2.1e-06,2.15e-06,2.09e-06,2.13e-06,304687.43,0.6462
2018-11-05,XVGBTC,2.17e-06,2.18e-06,2.1e-06,2.1e-06,577133.56,1.23
2018-11-04,XVGBTC,2.18e-06,2.21e-06,2.14e-06,2.17e-06,2578355.71,5.58
2018-11-03,XVGBTC,2.16e-06,2.21e-06,2.16e-06,2.18e-06,313291.76,0.6852
2018-11-02,XVGBTC,2.17e-06,2.17e-06,2.14e-06,2.16e-06,205761.7,0.4441
2018-11-01,XVGBTC,2.16e-06,2.18e-06,2.15e-06,2.17e-06,257106.5,0.555
2018-10-31,XVGBTC,2.15e-06,2.18e-06,2.15e-06,2.16e-06,474081.9,1.03
2018-10-30,XVGBTC,2.19e-06,2.2e-06,2.14e-06,2.15e-06,338815.2,0.7348
2018-10-29,XVGBTC,2.27e-06,2.29e-06,2.17e-06,2.19e-06,601719.69,1.34
2018-10-28,XVGBTC,2.24e-06,2.3e-06,2.23e-06,2.27e-06,550929.81,1.25
2018-10-27,XVGBTC,2.25e-06,2.33e-06,2.21e-06,2.24e-06,3098484.05,7.03
2018-10-26,XVGBTC,2.25e-06,2.29e-06,2.21e-06,2.25e-06,1145871.3,2.56
2018-10-25,XVGBTC,2.23e-06,2.26e-06,2.2e-06,2.25e-06,265770.78,0.5934
2018-10-24,XVGBTC,2.22e-06,2.29e-06,2.18e-06,2.23e-06,472503.27,1.06
2018-10-23,XVGBTC,2.18e-06,2.25e-06,2.16e-06,2.22e-06,278665.33,0.61
2018-10-22,XVGBTC,2.22e-06,2.26e-06,2.15e-06,2.18e-06,1006030.43,2.2
2018-10-21,XVGBTC,2.19e-06,2.25e-06,2.19e-06,2.22e-06,234785.08,0.5219
2018-10-20,XVGBTC,2.22e-06,2.22e-06,2.18e-06,2.19e-06,316530.86,0.6962
2018-10-19,XVGBTC,2.16e-06,2.22e-06,2.15e-06,2.22e-06,386096.44,0.8418
2018-10-18,XVGBTC,2.21e-06,2.24e-06,2.16e-06,2.16e-06,423544.72,0.9317
2018-10-17,XVGBTC,2.19e-06,2.26e-06,2.16e-06,2.21e-06,2447472.54,5.34
2018-10-16,XVGBTC,2.21e-06,2.22e-06,2.15e-06,2.19e-06,164959.42,0.3607
2018-10-15,XVGBTC,2.24e-06,2.24e-06,2.12e-06,2.21e-06,807547.02,1.77
2018-10-14,XVGBTC,2.25e-06,2.3e-06,2.23e-06,2.24e-06,350539.71,0.7911
2018-10-13,XVGBTC,2.26e-06,2.31e-06,2.24e-06,2.25e-06,358302.59,0.8167
2018-10-12,XVGBTC,2.28e-06,2.35e-06,2.22e-06,2.26e-06,678497.96,1.54
2018-10-11,XVGBTC,2.51e-06,2.51e-06,2.28e-06,2.28e-06,1417192.24,3.3
2018-10-10,XVGBTC,2.41e-06,2.53e-06,2.35e-06,2.51e-06,790406.19,1.92
2018-10-09,XVGBTC,2.43e-06,2.45e-06,2.36e-06,2.41e-06,770641.96,1.85
2018-10-08,XVGBTC,2.37e-06,2.47e-06,2.36e-06,2.43e-06,991164.24,2.4
2018-10-07,XVGBTC,2.34e-06,2.42e-06,2.29e-06,2.37e-06,414330.51,0.9732
2018-10-06,XVGBTC,2.35e-06,2.42e-06,2.33e-06,2.34e-06,272141.41,0.6455
2018-10-05,XVGBTC,2.37e-06,2.43e-06,2.31e-06,2.35e-06,413165.61,0.9682
2018-10-04,XVGBTC,2.29e-06,2.43e-06,2.27e-06,2.37e-06,739828.6,1.75
2018-10-03,XVGBTC,2.33e-06,2.34e-06,2.25e-06,2.29e-06,1090938.98,2.49
2018-10-02,XVGBTC,2.45e-06,2.51e-06,2.31e-06,2.33e-06,637237.1,1.52
2018-10-01,XVGBTC,2.29e-06,2.65e-06,2.29e-06,2.45e-06,2208090.86,5.51
2018-09-30,XVGBTC,2.23e-06,2.38e-06,2.21e-06,2.29e-06,1312843.12,2.98
2018-09-29,XVGBTC,2.15e-06,2.28e-06,2.14e-06,2.23e-06,515141.3,1.14
2018-09-28,XVGBTC,2.22e-06,2.22e-06,2.14e-06,2.15e-06,489958.78,1.06
2018-09-27,XVGBTC,2.12e-06,2.24e-06,2.12e-06,2.22e-06,1245956.47,2.72
2018-09-26,XVGBTC,2.16e-06,2.19e-06,2.12e-06,2.12e-06,595161.21,1.29
2018-09-25,XVGBTC,2.19e-06,2.2e-06,2.08e-06,2.16e-06,806042.26,1.72
2018-09-24,XVGBTC,2.29e-06,2.3e-06,2.16e-06,2.19e-06,769144.77,1.71
2018-09-23,XVGBTC,2.24e-06,2.36e-06,2.22e-06,2.29e-06,670587.56,1.54
2018-09-22,XVGBTC,2.39e-06,2.39e-06,2.21e-06,2.24e-06,999198.52,2.25
2018-09-21,XVGBTC,2.22e-06,2.41e-06,2.18e-06,2.39e-06,2969935.78,6.71
2018-09-20,XVGBTC,2.11e-06,2.24e-06,2.1e-06,2.22e-06,1514916.33,3.29
2018-09-19,XVGBTC,2.09e-06,2.15e-06,2.08e-06,2.11e-06,1345982.94,2.85
2018-09-18,XVGBTC,2.04e-06,2.11e-06,1.99e-06,2.09e-06,952133.3,1.96
2018-09-17,XVGBTC,2.1e-06,2.13e-06,2.02e-06,2.04e-06,821438.5,1.71
2018-09-16,XVGBTC,2.07e-06,2.13e-06,2.02e-06,2.1e-06,487107.47,1.01
2018-09-15,XVGBTC,2.04e-06,2.08e-06,2.01e-06,2.07e-06,458603.74,0.9374
2018-09-14,XVGBTC,2.09e-06,2.09e-06,1.99e-06,2.04e-06,884012.67,1.81
2018-09-13,XVGBTC,2.02e-06,2.16e-06,2.0e-06,2.09e-06,1627128.58,3.4
2018-09-12,XVGBTC,1.93e-06,2.06e-06,1.82e-06,2.02e-06,2496127.61,4.8
2018-09-11,XVGBTC,2.02e-06,2.06e-06,1.91e-06,1.93e-06,1260985.3,2.52
