Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-06-23 07-PM,BTCIDR,153897000,154790000,153001000,154790000,0.1303,20092725.67
2019-06-23 06-PM,BTCIDR,153150000,153897000,152700000,153897000,0.163,24996065.75
2019-06-23 05-PM,BTCIDR,151511000,153150000,151510000,153150000,0.1331,20315267.7
2019-06-23 04-PM,BTCIDR,152400000,152400000,151505000,151511000,0.01014,1536129.4
2019-06-23 03-PM,BTCIDR,152815000,153000000,151500000,152400000,0.0704,10676551.73
2019-06-23 02-PM,BTCIDR,151956000,152815000,150500000,152815000,0.3285,49724199.9
2019-06-23 01-PM,BTCIDR,152002000,152349000,151000000,151956000,0.2257,34181515.57
2019-06-23 12-PM,BTCIDR,149510000,152350000,149110000,152002000,0.5693,86196029.13
2019-06-23 11-AM,BTCIDR,150187000,150187000,148500000,149510000,0.09241,13846047.15
2019-06-23 10-AM,BTCIDR,151200000,151200000,150000000,150187000,0.2261,33953272.53
2019-06-23 09-AM,BTCIDR,153036000,153036000,150403000,151200000,0.2792,42118436.32
2019-06-23 08-AM,BTCIDR,153000000,153225000,152012000,153036000,0.06818,10440403.33
2019-06-23 07-AM,BTCIDR,153501000,153501000,150403000,153000000,0.1772,26937348.44
2019-06-23 06-AM,BTCIDR,152893000,153855000,152893000,153501000,0.1164,17880540.54
2019-06-23 05-AM,BTCIDR,153027000,153316000,152893000,152893000,0.06792,10395934.53
2019-06-23 04-AM,BTCIDR,153830000,153830000,153027000,153027000,0.08269,12658555.34
2019-06-23 03-AM,BTCIDR,152101000,153855000,150110000,153830000,0.3019,46061569.44
2019-06-23 02-AM,BTCIDR,155323000,155500000,152101000,152101000,0.2925,45207986.23
2019-06-23 01-AM,BTCIDR,154997000,156900000,154997000,155323000,0.1883,29287722.23
2019-06-23 12-AM,BTCIDR,153499000,154997000,153194000,154997000,0.5549,85203852.48
2019-06-22 11-PM,BTCIDR,150000000,153499000,150000000,153499000,0.1436,21902793.91
2019-06-22 10-PM,BTCIDR,153001000,153001000,150000000,150000000,0.1895,28763402.16
2019-06-22 09-PM,BTCIDR,153500000,153500000,153000000,153001000,0.0632,9685972.65
2019-06-22 08-PM,BTCIDR,153501000,153501000,153500000,153500000,0.003567,547534.5
2019-06-22 07-PM,BTCIDR,153501000,153501000,153500000,153501000,0.01091,1674692.53
2019-06-22 06-PM,BTCIDR,153951000,154144000,153501000,153501000,0.1011,15535148.28
2019-06-22 05-PM,BTCIDR,156301000,156990000,153895000,153951000,0.3982,61759167.07
2019-06-22 04-PM,BTCIDR,155045000,156990000,154501000,156301000,0.3496,54623237.61
2019-06-22 03-PM,BTCIDR,153800000,155703000,153790000,155045000,0.454,70371697.7
2019-06-22 02-PM,BTCIDR,158746000,159790000,153498000,153800000,0.8207,130053094.67
2019-06-22 01-PM,BTCIDR,159984000,159984000,158589000,158746000,0.3942,62748304.93
2019-06-22 12-PM,BTCIDR,154501000,159984000,154501000,159984000,0.8695,136674119.35
2019-06-22 11-AM,BTCIDR,155306000,155306000,154500000,154501000,0.0967,14978829.37
