Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume SGD
2018-11-05,ETHSGD,287.51,291.79,283.05,286.9,111.38,31970.45
2018-11-04,ETHSGD,273.52,297.22,272.64,287.51,65.23,18764.4
2018-11-03,ETHSGD,275.54,275.54,273.05,273.52,3.51,963.55
2018-11-02,ETHSGD,272.04,276.39,271,275.54,25.44,6972.31
2018-11-01,ETHSGD,274.39,274.39,271,272.04,9.45,2575.2
2018-10-31,ETHSGD,269.5,275.25,268,274.39,136.42,36800.13
2018-10-30,ETHSGD,270.31,270.64,268,269.5,70.88,19106.63
2018-10-29,ETHSGD,279.31,279.81,265.76,270.31,131.37,35693.71
2018-10-28,ETHSGD,276.22,279.51,276.22,279.31,2.55,711.27
2018-10-27,ETHSGD,277.32,277.95,275.15,276.22,31.29,8625.51
2018-10-26,ETHSGD,276.16,277.57,275.18,277.32,13.98,3850.19
2018-10-25,ETHSGD,276.46,276.46,275.55,276.16,11.91,3286.18
2018-10-24,ETHSGD,276.59,279.7,275.55,276.46,21.35,5909.62
2018-10-23,ETHSGD,277.06,278.64,269.96,276.59,531.05,144616.47
2018-10-22,ETHSGD,280.3,280.3,276.43,277.06,29.79,8281.34
2018-10-21,ETHSGD,278.44,283.74,278.44,280.3,236.75,66718.29
2018-10-20,ETHSGD,277.08,279.81,276.22,278.44,117.87,32856.24
2018-10-19,ETHSGD,272.14,279.47,272.14,277.08,23.22,6432.04
2018-10-18,ETHSGD,280.83,283.41,272.14,272.14,315.7,87917.17
2018-10-17,ETHSGD,280.7,282.86,278.58,280.83,104.47,29349.39
2018-10-16,ETHSGD,282.73,283.72,279.78,280.7,223.07,62993.23
2018-10-15,ETHSGD,262.72,296.66,262.72,282.73,316.89,88760.98
2018-10-14,ETHSGD,270.47,274.12,262.72,262.72,188.15,50904.29
2018-10-13,ETHSGD,269.67,274.01,269.65,270.47,116.64,31761.08
2018-10-12,ETHSGD,254.01,271.39,254.01,269.67,1127.22,298218.13
2018-10-11,ETHSGD,309,309,253.87,254.01,862.58,242207.99
2018-10-10,ETHSGD,314.32,314.32,307.13,309,57.58,17862.29
2018-10-09,ETHSGD,314.36,316.88,312.51,314.32,8.96,2812.56
2018-10-08,ETHSGD,311.39,316.67,309.02,314.36,82.86,25823.11
2018-10-07,ETHSGD,308.91,311.39,305.81,311.39,27.26,8385.14
2018-10-06,ETHSGD,312.03,312.32,307.13,308.91,21.17,6540.09
2018-10-05,ETHSGD,305.07,318.16,303.28,312.03,117.54,36093.72
2018-10-04,ETHSGD,298.75,310,298.75,305.07,88.36,27001.47
2018-10-03,ETHSGD,310.28,310.28,296.37,298.75,276.04,83063.55
2018-10-02,ETHSGD,314.86,315.55,307.35,310.28,45.87,14274.15
2018-10-01,ETHSGD,317.42,319.96,308.01,314.86,38.09,11974.58
2018-09-30,ETHSGD,314.25,323.71,310.74,317.42,97.83,30994.19
2018-09-29,ETHSGD,300.97,320.78,292.99,314.25,220.86,67947.21
2018-09-28,ETHSGD,312.16,316.96,294.73,300.97,98.83,30675.56
2018-09-27,ETHSGD,292.38,316.67,288.98,312.16,61.6,18342.37
2018-09-26,ETHSGD,300.3,303.96,283.41,292.38,325.85,95012.97
2018-09-25,ETHSGD,308.5,309.48,280,300.3,451.22,131063.26
2018-09-24,ETHSGD,329.17,334.57,308.5,308.5,357.27,114460.95
2018-09-23,ETHSGD,327.27,336.12,327.27,329.17,42.8,14325.01
2018-09-22,ETHSGD,338.72,345,319.08,327.27,160.49,52663.1
2018-09-21,ETHSGD,307.77,340.29,301.8,338.72,532.55,168982.6
2018-09-20,ETHSGD,284.8,307.77,282.02,307.77,147.5,42798.83
2018-09-19,ETHSGD,288,293.95,270,284.8,653.59,185192.75
2018-09-18,ETHSGD,271.2,294.11,265.04,288,1108.41,313269.31
2018-09-17,ETHSGD,302.22,308.77,264.38,271.2,420.53,120691.86
2018-09-16,ETHSGD,302.61,305.59,284.91,302.22,497.68,146910.27
2018-09-15,ETHSGD,286.66,311.53,283.54,302.61,326.64,98266.42
2018-09-14,ETHSGD,292.01,303.39,278.49,286.66,503.7,144637.28
2018-09-13,ETHSGD,253.43,292.01,253.43,292.01,464.11,123538.83
2018-09-12,ETHSGD,254,254,231.95,253.43,584.87,142356.73
2018-09-11,ETHSGD,271.99,273.54,241,254,678.8,169036.84
2018-09-10,ETHSGD,272.08,278.42,261.05,271.99,258.82,69480.89
2018-09-09,ETHSGD,271.49,286.44,258.39,272.08,746.17,203839.9
2018-09-08,ETHSGD,296.73,303.28,262.02,271.49,839.31,239977.5
2018-09-07,ETHSGD,316,319.19,295.24,296.73,214.58,66714.2
2018-09-06,ETHSGD,315.4,344.47,293.17,316,2476.92,794664.04
2018-09-05,ETHSGD,394.28,394.28,312.06,315.4,556.09,193984.34
2018-09-04,ETHSGD,398.63,398.63,381.18,394.28,5.82,2266.97
2018-09-03,ETHSGD,404.37,404.41,390,398.63,322.34,129058.57
2018-09-02,ETHSGD,405.62,410,393.31,404.37,57.13,22967.53
2018-09-01,ETHSGD,382.57,413,382.57,405.62,167.0,66769.38
2018-08-31,ETHSGD,386.7,392,378.5,382.57,73.68,28077.15
2018-08-30,ETHSGD,394.33,395,366.75,386.7,132.47,50469.14
2018-08-29,ETHSGD,402.63,404.41,385,394.33,117.42,45979.83
2018-08-28,ETHSGD,389.37,402.85,379.88,402.63,74.74,29146.93
2018-08-27,ETHSGD,371.68,394.9,365.8,389.37,170.76,64665.01
2018-08-26,ETHSGD,378.05,378.5,364.14,371.68,96.24,35972.42
2018-08-25,ETHSGD,382.83,383.93,378.05,378.05,55.95,21345.05
2018-08-24,ETHSGD,380,384.18,360,382.83,56.04,21128.11
2018-08-23,ETHSGD,358.48,380.51,358.48,380,224.74,85338.22
2018-08-22,ETHSGD,385.17,410.13,358.48,358.48,196.78,76198.4
2018-08-21,ETHSGD,376.55,390.77,372,385.17,56.08,21220.61
2018-08-20,ETHSGD,413.2,417.21,370.39,376.55,85.1,33407.28
2018-08-19,ETHSGD,409.75,423.34,400,413.2,67.99,27536.01
2018-08-18,ETHSGD,432.13,446.14,392.9,409.75,170.52,71312.52
2018-08-17,ETHSGD,394.64,432.13,393.79,432.13,75.4,30885.39
2018-08-16,ETHSGD,387.32,419.04,387.32,394.64,98.45,39323.04
2018-08-15,ETHSGD,383.12,428.22,383.12,387.32,126.33,50368.5
2018-08-14,ETHSGD,399.18,399.18,344.31,383.12,272.93,99982.2
2018-08-13,ETHSGD,437.75,441.09,390,399.18,136.29,55558.37
2018-08-12,ETHSGD,435.65,435.65,435.65,435.65,0.0,0.0
2018-08-11,ETHSGD,465,465,401,435.65,646.73,287850.75
2018-08-10,ETHSGD,498.4,504.75,450,465,142.49,67746.0
2018-08-09,ETHSGD,475,512.56,475,498.4,247.48,123272.37
2018-08-08,ETHSGD,505,522,475,475,313.92,157217.55
2018-08-07,ETHSGD,525,561,505,505,154.72,83033.72
