Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2015-11-03,BTCILS,1400,1641.99,1301,1530,88.7,129960.87
2015-11-02,BTCILS,1300,1490,1250,1425,37.66,51175.85
2015-11-01,BTCILS,1180.01,1300,1170,1300,7.35,9087.64
2015-10-31,BTCILS,1297,1297,1200,1200,5.14,6255.41
2015-10-30,BTCILS,1246,1300,1220,1300,17.16,21699.57
2015-10-29,BTCILS,1176,1250,1176,1250,34.18,41635.25
2015-10-28,BTCILS,1142,1181.99,1138,1175,5.23,6058.22
2015-10-27,BTCILS,1122,1142,1101,1140.5,30.1,33850.33
2015-10-26,BTCILS,1090,1125,1070,1075,40.41,44519.12
2015-10-25,BTCILS,1085,1124,1056,1105,43.68,47310.09
2015-10-24,BTCILS,1070,1089,1060,1085,4.67,5017.48
2015-10-23,BTCILS,1057.99,1087,1023,1070,29.19,30688.13
2015-10-22,BTCILS,1020.01,1055,1020.01,1045,14.68,15216.5
2015-10-21,BTCILS,1030.01,1042.98,1004,1034,10.42,10617.48
2015-10-20,BTCILS,1016.4,1042.99,1016.4,1042.99,10.59,10905.17
2015-10-19,BTCILS,989.23,1030,987,1030,9.53,9601.81
2015-10-18,BTCILS,1037.98,1037.99,950,1009.99,24.08,23922.15
2015-10-17,BTCILS,999,1030,999,1000,15.83,15929.95
2015-10-16,BTCILS,984.99,1000,950.01,998,39.95,38973.37
2015-10-15,BTCILS,970,1000,970,1000,8.88,8754.15
2015-10-14,BTCILS,979.41,1000,960,981,20.76,20326.14
2015-10-13,BTCILS,936.01,980,936.01,979.41,17.42,16761.57
2015-10-12,BTCILS,945,950,933,942,8.45,7941.62
2015-10-11,BTCILS,935,945,935,945,9.78,9176.19
2015-10-10,BTCILS,935,939.99,912,912,8.99,8320.24
2015-10-09,BTCILS,940,940,905,905,6.09,5621.19
2015-10-08,BTCILS,941,950,939,950,1.89,1785.5
2015-10-07,BTCILS,949.99,958,935.17,941,15.13,14419.51
2015-10-06,BTCILS,936.8,949.99,893.1,949.99,19.28,17761.58
2015-10-05,BTCILS,916.01,930,905,915,17.58,16236.45
2015-10-04,BTCILS,920,929,920,929,6.96,6443.02
2015-10-03,BTCILS,919.99,920,892.1,920,6.73,6067.27
2015-10-02,BTCILS,915,926,886.59,922.99,10.47,9516.56
2015-10-01,BTCILS,910,910,806.17,892,41.81,36230.37
2015-09-30,BTCILS,900,900,900,900,1.0,900.0
2015-09-29,BTCILS,909,926,880,880,8.16,7443.4
2015-09-28,BTCILS,890,909,830.01,900,18.47,16212.55
2015-09-27,BTCILS,900,900,880,880,0.4667,414.0
2015-09-26,BTCILS,912,920,820.01,900,6.2,5406.54
2015-09-25,BTCILS,850,912,806.12,912,16.69,14941.51
2015-09-24,BTCILS,880,905,821.1,905,15.63,13941.01
2015-09-23,BTCILS,895,895,806,806,19.89,16908.0
2015-09-22,BTCILS,875,895,860,895,13.6,12138.55
2015-09-21,BTCILS,890,901,850.1,890,6.35,5623.4
2015-09-20,BTCILS,890,890,852,890,2.2,1889.84
2015-09-19,BTCILS,860,899,860,890,0.1908,169.98
2015-09-18,BTCILS,899,907,860,860,7.9,7052.69
2015-09-17,BTCILS,899,900,850,899,23.07,20236.5
2015-09-16,BTCILS,876.1,899,876.1,899,2.45,2160.75
2015-09-15,BTCILS,908.99,914,876.1,876.1,11.06,9783.84
2015-09-14,BTCILS,878,908.99,878,908.99,1.23,1087.29
2015-09-13,BTCILS,919,919,891.58,891.58,2.03,1818.66
2015-09-12,BTCILS,919,919,919,919,0.4,367.6
2015-09-11,BTCILS,920,939.99,915.94,939.99,8.38,7849.07
2015-09-10,BTCILS,932.99,950,915,920,17.37,16153.36
2015-09-09,BTCILS,949.99,952,915,932.99,7.73,7287.73
2015-09-08,BTCILS,947,968.99,914,949.99,24.45,22803.51
2015-09-07,BTCILS,933,947,921,947,7.36,6873.63
2015-09-06,BTCILS,929.99,949,929.5,933,22.06,20667.29
2015-09-05,BTCILS,910,929.99,890,929.99,20.64,18715.61
2015-09-04,BTCILS,909,910,905,910,10.98,9955.0
2015-09-03,BTCILS,910,910,901,909,0.3618,328.1
2015-09-02,BTCILS,895,913.9,895,910,9.16,8293.1
2015-09-01,BTCILS,910,914,895,895,8.59,7796.82
2015-08-31,BTCILS,882,917,875,910,17.79,15778.93
2015-08-30,BTCILS,924,924,890,919,9.53,8537.51
2015-08-29,BTCILS,936.99,936.99,901,901,1.6,1441.6
2015-08-28,BTCILS,900.03,940,900,936.99,5.4,4973.71
2015-08-27,BTCILS,928,949,900.03,900.03,3.51,3254.4
2015-08-26,BTCILS,885,928,880,928,17.37,15427.2
2015-08-25,BTCILS,849.99,888,778.01,885,27.63,22830.02
2015-08-24,BTCILS,887.99,887.99,808,849.99,12.98,10981.3
2015-08-23,BTCILS,865.01,900,854,887.99,13.42,11742.5
2015-08-22,BTCILS,850,865.01,850,865.01,0.1,86.5
2015-08-21,BTCILS,915,925,850,850,17.64,15769.86
2015-08-20,BTCILS,871.01,915,871.01,915,4.1,3705.82
2015-08-19,BTCILS,976.99,976.99,871.01,871.01,22.56,20140.18
2015-08-18,BTCILS,975,998,900,976.99,24.81,23190.69
2015-08-17,BTCILS,950,1000,915.01,975,8.62,8326.6
2015-08-16,BTCILS,1037,1037,950,950,17.6,17229.65
2015-08-15,BTCILS,1028,1037.99,1020,1037,4.1,4210.6
2015-08-14,BTCILS,1057,1057,1008,1028,0.5696,581.6
2015-08-13,BTCILS,1030,1057,1008,1057,8.42,8644.33
2015-08-12,BTCILS,1043,1067.98,1030,1030,6.92,7241.83
2015-08-11,BTCILS,1059.99,1059.99,1020,1043,4.33,4471.11
2015-08-10,BTCILS,1050,1069,1001,1059.99,14.52,14803.72
2015-08-09,BTCILS,1000,1070,1000,1050,67.14,71477.9
2015-08-08,BTCILS,1089,1089,1000,1000,18.07,18633.86
2015-08-07,BTCILS,1052.01,1150,1052.01,1089,66.14,73355.93
2015-08-06,BTCILS,1084,1090,1053,1053,10.1,10840.06
2015-08-05,BTCILS,1089.99,1220,1075,1180,44.34,50732.58
2015-08-04,BTCILS,1053,1089.99,1053,1089.99,0.8109,883.85
2015-08-03,BTCILS,1080,1090,1050,1053,25.21,26896.14
2015-08-02,BTCILS,1107,1107,1050,1080,11.99,12741.78
2015-08-01,BTCILS,1058.01,1107,1050,1107,4.44,4728.34
2015-07-31,BTCILS,1085,1106.99,1060.01,1060.01,0.2758,303.0
2015-07-30,BTCILS,1107,1107,1085,1085,5.77,6269.69
2015-07-29,BTCILS,1179,1179,1100,1107,6.53,7253.67
2015-07-28,BTCILS,1149,1212,1086,1179,10.55,12139.17
2015-07-27,BTCILS,1109,1149,1086,1149,5.13,5693.75
2015-07-26,BTCILS,1085,1135,1085,1115,13.41,14824.62
2015-07-25,BTCILS,1065.99,1109,1065.99,1085,12.19,13319.88
2015-07-24,BTCILS,1025,1066,1025,1065.99,6.95,7261.65
2015-07-23,BTCILS,1035,1035,975,1025,10.52,10590.02
2015-07-22,BTCILS,1010,1035,1010,1035,0.5524,570.5
2015-07-21,BTCILS,1036.97,1059.99,1010,1010,10.18,10470.93
